Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2143,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,7.2,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,16.67,0,0,47.33,0,0,0,6.67,0,49.99,16.67,0,47.34,0,0,0,0

2,00:15-00:30,6.8,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,17.33,0,0,47.33,0,0,0,7.33,0,52.01,17.33,0,47.34,0,0,0,0

3,00:30-00:45,6.6,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,18,0,0,48.33,0,0,0,7.67,0,54,18,0,48.34,0,0,0,0

4,00:45-01:00,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,18.5,0,0,48.67,0,0,0,8,0,55.5,18.5,0,48.66,0,0,0,0

5,01:00-01:15,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,19.17,0,0,49.67,0,0,0,8.33,0,57.49,19.17,0,49.66,0,0,0,0

6,01:15-01:30,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,19.83,0,0,50.33,0,0,0,8.33,0,59.51,19.83,0,50.34,0,0,0,0

7,01:30-01:45,6.4,0,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,20.33,0,0,56,0,0,0,8.33,0,61.01,20.33,0,56,0,0,0,0

8,01:45-02:00,6.4,0,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,20.83,0,0,55,0,0,0,8.67,0,62.51,20.83,0,55,0,0,0,0

9,02:00-02:15,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,22.5,0,0,59.67,0,0,0,8.67,0,67.5,22.5,0,59.66,0,0,0,0

10,02:15-02:30,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,22.5,0,0,59.33,0,0,0,8.67,0,67.5,22.5,0,59.34,0,0,0,0

11,02:30-02:45,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,22.5,0,0,58.67,0,0,0,8.67,0,67.5,22.5,0,58.66,0,0,0,0

12,02:45-03:00,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.2,0.92,132.73,8.66,52.9,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.22,0,0,22.5,0,0,58,0,0,0,9,0,67.5,22.5,0,58,0,0,0,0

13,03:00-03:15,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.3,0.92,132.73,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,22.5,0,0,57.33,0,0,0,9,0,67.5,22.5,0,57.34,0,0,0,0

14,03:15-03:30,6.4,0.7,0,0,70.16,0,57.71,23.08,0,1.3,0.92,132.73,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,22.5,0,0,57.33,0,0,0,9,0,67.5,22.5,0,57.34,0,0,0,0

15,03:30-03:45,6.4,0,0,0,70.16,0,57.71,23.08,0,1.3,0.92,113.49,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,19.83,0,0,49,0,0,0,9,0,59.51,19.83,0,49,0,0,0,0

16,03:45-04:00,6.4,0,0,0,70.16,0,57.71,23.08,0,1.3,0.92,94.26,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,19.17,0,0,48.67,0,0,0,9.33,0,57.49,19.17,0,48.66,0,0,0,0

17,04:00-04:15,6.4,0.63,0,0,70.16,0,57.71,23.08,0,1.2,0.92,75.02,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,18.83,0,0,39.33,0,0,0,9.67,0,56.51,18.83,0,39.34,0,0,0,0

18,04:15-04:30,6.4,0.63,0,0,70.16,0,57.71,23.08,0,1.2,0.92,55.78,8.66,89.45,0,1.25,133.69,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,18.67,0,0,38.33,0,0,0,9.67,0,55.99,18.67,0,38.34,0,0,0,0

19,04:30-04:45,6.4,0.63,0,0,70.16,0,59.47,23.08,0,1.2,0.92,36.55,8.66,100.2,0,1.25,135.61,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,18.83,0,0,37.33,0,0,0,9.67,0,56.51,18.83,0,37.34,0,0,0,0

20,04:45-05:00,6.4,0.63,0,0,70.16,0,59.47,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,135.61,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,19,0,0,36.33,0,0,0,9.67,0,57,19,0,36.34,0,0,0,0

