Block,Time Block,NAPP,NLCIIST1,NLCEXP,NJPC,KUDGI,KOTESHWR,KKNP,KKNPPU2,KOLDAM,DHAULIGNGA,DADRT2,NLCIIST2,NTPL,RAMPUR,PARBATI3,DADRI_RF,KHSTPP-II,KISHANGANGA,FSTPP I & II,DULHASTI,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,AURY_GF,DADRI_LF,AURY_CRF,AURY_RF,DADRI_GF,ANTA_RF,AURY_LF,DADRI_CRF,ANTA_LF,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALST2,TANAKPUR,UNCHAHAR3,TALA,TANDA2,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR1,UNCHAHAR4,ANTA_GF,URI2,URI,ANTA_CRF,VALLURNTECL,MAPS,RIHAND2,RSTPSU1TO6,SEWA2,RIHAND3,RSTPSU7,SALAL,SASAN,SIMHST1,CHAMERA2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,NNTPP,NLCTS2EXP,RAPPC,RIHAND1,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.11,0,0,0,0,8.53,0,0,0,0,180.92,0,0,0,0,0,95.78,0,11.09,15.85,21.27,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,134.33,0,7.51,14.26,0,0,0,22.49,0,5.77,0,0,4.14,1.07,0,0,0,114.2,0,0,119.56,0,1.35,128.69,0,0,19.23,0,0,0,0,0,51.25,88.47,0,0,0,0,0,0

2,00:15-00:30,42.11,0,0,0,0,8.53,0,0,0,0,180.92,0,0,0,0,0,94.74,0,11.09,15.85,21.27,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,134.33,0,7.51,14.26,0,0,0,22.49,0,5.77,0,0,4.14,1.07,0,0,0,114.2,0,0,119.56,0,1.35,129.82,0,0,19.23,0,0,0,0,0,51.25,88.47,0,0,0,0,0,0

3,00:30-00:45,42.11,0,0,0,0,8.53,0,0,0,0,180.92,0,0,0,0,0,94.74,0,11.09,15.85,21.27,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,134.33,0,7.51,14.26,0,0,0,22.49,0,5.77,0,0,4.14,1.07,0,0,0,114.2,0,0,119.56,0,1.35,129.82,0,0,17.9,0,0,0,0,0,51.25,88.47,0,0,0,0,0,0

4,00:45-01:00,42.11,0,0,0,0,8.53,0,0,0,0,180.92,0,0,0,0,0,94.74,0,11.09,15.85,21.27,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,134.33,0,7.51,14.26,0,0,0,22.49,0,5.77,0,0,4.14,1.07,0,0,0,114.2,0,0,119.56,0,1.35,129.82,0,0,12.92,0,0,0,0,0,51.25,88.47,0,0,0,0,0,0

5,01:00-01:15,42.11,0,0,0,0,8.53,0,0,0,0,180.92,0,0,0,0,0,117.71,0,11.09,15.85,21.27,344.82,0,0,0,0,0,0,0,0,0,0,0,0,0,134.33,0,7.51,14.26,0,0,0,22.49,0,5.77,0,0,4.14,1.07,0,0,0,114.2,0,0,119.56,0,1.35,129.82,0,0,10.58,0,0,0,0,0,51.25,88.47,0,0,0,0,0,0

