Block,Time,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,NR/20122023/29022024/IEX_LDC_231218_00501,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/19072037/LT-05,WR/01102023/16072048/L_NR_2022_08,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01012024/31032024/ ChanjuII,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01022024/29022024/79,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/16022024/29022024/HP-38,NR/01102023/08032047/L_NR_2021_14,NR/19022024/29022024/NVVN/OA/16907,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/05012040/L_NR_2020_02,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25122043/GNA_MEJA_DELHI,NR/16022024/29022024/HP-40,NR/16022024/29022024/HP-45,SR/14022024/29022024/SJVN140224NR1518,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/30092023/26122029/SH-06,NR/01102023/02122045/L_NR_2021_13,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/01102023/31102037/L_NR_2019_11,NR/16022024/29022024/HP-36
1,00:00-00:15,96.350000,54.920000,44.29,0,11.2,0,0,19.87,0,8.190000,11.560000,47.210000,15.16,6.740000,2.120000,0.000000,19.86,0,0.000000,0,0,0.000000,6.740000,59.6,0,270.980000,44.29,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,24.090000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

2,00:15-00:30,96.350000,54.920000,44.31,0,10.89,0,0,19.67,0,8.190000,11.560000,47.210000,15.1,6.740000,2.120000,0.000000,19.68,0,0.000000,0,0,0.000000,6.740000,59.01,0,270.980000,44.31,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,23.120000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

3,00:30-00:45,96.350000,54.920000,44.33,0,10.29,0,0,19.29,0,8.190000,11.560000,47.210000,14.84,6.740000,2.120000,0.000000,19.29,0,0.000000,0,0,0.000000,6.740000,57.88,0,270.980000,44.33,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,23.120000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

4,00:45-01:00,96.350000,54.920000,43.82,0,12.11,0,0,18.82,0,8.190000,11.560000,47.210000,14.51,6.740000,2.120000,0.000000,18.81,0,0.000000,0,0,0.000000,6.740000,56.44,0,270.980000,43.82,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,23.120000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

5,01:00-01:15,96.350000,54.920000,43.35,0,11.94,0,0,18.74,0,8.190000,11.560000,47.210000,14.51,6.740000,2.120000,0.000000,18.73,0,0.000000,0,0,0.000000,6.740000,56.22,0,270.980000,43.35,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,24.090000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

6,01:15-01:30,96.350000,54.920000,42.95,0,11.58,0,0,18.74,0,8.190000,11.560000,47.210000,14.18,6.740000,2.120000,0.000000,18.72,0,0.000000,0,0,0.000000,6.740000,56.21,0,270.980000,42.95,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,24.090000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

7,01:30-01:45,96.350000,54.920000,58.19,0,9.16,0,0,23.2,0,8.190000,11.560000,47.210000,16.82,6.740000,2.120000,0.000000,23.2,0,0.000000,0,0,0.000000,6.740000,69.6,0,270.980000,58.19,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

8,01:45-02:00,96.350000,54.920000,58.08,0,9.11,0,0,23,0,8.190000,11.560000,47.210000,16.77,6.740000,2.120000,0.000000,23.02,0,0.000000,0,0,0.000000,6.740000,69.01,0,270.980000,58.08,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

9,02:00-02:15,96.350000,54.920000,57.9,0,9.04,0,0,22.62,0,8.190000,11.560000,47.210000,16.51,6.740000,2.120000,0.000000,22.63,0,0.000000,0,0,0.000000,6.740000,67.88,0,270.980000,57.9,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

10,02:15-02:30,96.350000,54.920000,57.88,0,8.94,0,0,22.15,0,8.190000,11.560000,47.210000,16.18,6.740000,2.120000,0.000000,22.15,0,0.000000,0,0,0.000000,6.740000,66.44,0,270.980000,57.88,0,4.820000,128.130000,0,19.270000,200.760000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

11,02:30-02:45,96.350000,54.920000,57.64,0,8.71,0,0,22.07,0,8.190000,11.560000,33.050000,16.18,6.740000,2.120000,0.000000,22.08,0,0.000000,0,0,0.000000,6.740000,66.21,0,270.980000,57.64,0,4.820000,128.130000,0,19.270000,167.350000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

12,02:45-03:00,96.350000,54.920000,57.52,0,8.32,0,0,22.07,0,8.190000,11.560000,33.050000,15.84,6.740000,2.120000,0.000000,22.06,0,0.000000,0,0,0.000000,6.740000,66.21,0,270.980000,57.52,0,4.820000,128.130000,0,19.270000,167.350000,25.930000,0.000000,25.050000,5.780000,1.200000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

13,03:00-03:15,96.350000,54.920000,43,0,7.01,0,0,22.06,0,8.190000,11.560000,33.050000,10,6.740000,2.120000,0.000000,22.04,0,0.000000,0,0,0.000000,6.740000,66.17,0,270.980000,43,0,4.820000,128.130000,0,19.270000,167.350000,25.930000,0.000000,24.090000,5.780000,1.160000,0,0,52.250000,0.000000,0,0.000000,0.000000,16.320000,0,18.310000,25.930000,0,0,0,0.950000,38.170000

