Time,Block,NR/2023/16334/C,NR/2023/16299/C,NR/2023/13862/A,NR/2023/16311/C,NR/2023/16297/C,NR/2023/12422/A,NR/2023/14895/A,NR/2023/12052/A,NR/2023/14737/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/16293/D,NR/2023/15057/F,NR/2023/16329/C,NR/2023/15937/F,NR/2023/12347/A,NR/2023/12591/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12167/A,WR/2023/18308/C,NR/2023/12168/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/14745/A,NR/2023/15402/F,WR/2023/18318/C,NR/2023/12592/A,NR/2023/16312/C,NR/2023/14746/A,Total
,,HPXL,TPDDL,MANIKARAN,HPXL,GBHHPL,APPCPL,MANIKARAN,KEIPL,NVVNL,KEIPL,IEXL,NVVNL,ITCLH,IEXL,NVVNL,STATKRAFT,NVVNL,NVVNL,MANIKARAN,APPCPL,HPXL,APPCPL,TPTCL,GMRETL,APPCPL,SJVNL,IEXL,NVVNL,IEXL,APPCPL,Total

,,PUNJAB,HIMACHAL PRADESH,TAMIL NADU,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,JAMMU AND KASHMIR,NA,ANDHRA PRADESH,PUNJAB,NA,TAMIL NADU,NA,NA,HIMACHAL PRADESH,MEGHALAYA,DELHI,UTTARAKHAND,NA,MEGHALAYA,GOA,UTTAR PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,
,,PUNJAB,CHANJUII,TANGEDCO,BYPL,GBHHPL,HP,HP,Meghalaya_Ben,SKS Raigarh,Meghalaya_Ben,SAPU1234,SOLAPUR_SOLAR,ITCWIND,PUNJAB,KAMENG,TANGEDCO,JPNIGRIE_JNSTPP,KAMENG,HP,Meghalaya_Ben,BYPL,UTTARAKHAND,JPL-2,Meghalaya_Ben,GOA_Beneficiary,BCMLB001,BYPL,JPNIGRIE_JNSTPP,SCLTPS,HP,
,,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,BALCO_WR,DELHI,DELHI,DELHI,DELHI,DELHI,GOA,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BRPL,NPCL(UP),DIAPL,BYPL,BRPL,BYPL,NDMC,BYPL,MES (Delhi),MES (Delhi),ITCLH,BRPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BYPL,BALCO_LOAD,BYPL,BRPL,BYPL,BRPL,NDMC,GOA_Beneficiary,BRPL,BRPL,BRPL,
,,North-North,North-North,South-East-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North East-East-North,North-North,West-North,South-West-North,North-North,North East-East-North,South-West-North,West-North,North East-East-North,North-North,North East-East-North,North-West,North-North,West-North,North East-East-North,West-North,North-North,North-East-West,West-North,North-North,North-North,
1,00:00-00:15,0.000000,17.680000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.870000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.88

2,00:15-00:30,0.000000,17.680000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.870000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.88

3,00:30-00:45,0.000000,17.680000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.870000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.88

4,00:45-01:00,0.000000,17.680000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.870000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.88

5,01:00-01:15,0.000000,17.600000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.680000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.61

6,01:15-01:30,0.000000,17.600000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.680000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.61

7,01:30-01:45,0.000000,17.600000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.680000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.61

8,01:45-02:00,0.000000,17.600000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.680000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1176.61

9,02:00-02:15,0.000000,17.500000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.580000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1196.41

