Time,Block,NR/2024/19121/A/16307,NR/2024/19337/A/16517,NR/2024/19651/C,NR/2024/19484/A/16876,NR/2024/19643/C,NR/2024/18976/A/16254,NR/2024/19075/A/16222,NR/2024/19650/C,NR/2024/19143/A/16218,NR/2024/18934/A/16235,NR/2024/19290/A/16923,NR/2024/18977/A/16255,NR/2024/19661/C,NR/2024/19030/A/16243,NR/2024/19172/A/16921,NR/2024/19572/A/16730,NR/2024/19485/A/16877,NR/2024/19483/A/16879,NR/2024/19633/C,NR/2024/19629/C,NR/2024/19469/A/16514,NR/2024/19245/A/16519,NR/2024/19631/C,NR/2024/18986/A/16379,NR/2024/19115/A/16220,NR/2024/18935/A/16239,NR/2024/18919/A/16797,NR/2024/19043/A/16231,NR/2024/19663/C,NR/2024/18855/A/16308,NR/2024/19653/C,NR/2024/18978/A/16256,NR/2024/19666/C,NR/2024/19658/C,NR/2024/18996/A/16771,NR/2024/19620/C,NR/2024/18936/A/16244,NR/2024/19024/A/16521,NR/2024/19624/C,Total
,,GMRETL,DIAPL,HPXL,NVVNL,PXIL,PXIL,IEXL,HPXL,IEXL,PXIL,TPDDL,PXIL,HPXL,IEXL,TPDDL,IEXL,NVVNL,NVVNL,NVVNL,NVVNL,DIAPL,DIAPL,NVVNL,ITCLH,IEXL,PXIL,APPCPL,IEXL,IEXL,GMRETL,DIAPL,PXIL,IEXL,PXIL,PTC,HPXL,PXIL,DIAPL,PXIL,Total

,,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,ODISHA,ODISHA,MEGHALAYA,DELHI,TAMIL NADU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MAHARASHTRA,TAMIL NADU,NAGALAND,NA,NA,RAJASTHAN,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,KERALA,TAMIL NADU,HIMACHAL PRADESH,KERALA,
,,RUVNL,GBHHPL,GBHHPL,RKM_POWER,SORANG_HEP,FACORPOWER,VSL,Meghalaya_Ben,EDWPCL12,SAKTHISUGRAR_TN,JHAJJAR,MEENAKSHI,SINGOLI,JHABUA_IPP,JHAJJAR,SEIL,RKM_POWER,SKS Raigarh,SORANG_HEP,SOLAPUR_SOLAR,GBHHPL,GBHHPL,KAMENG,ITCWIND,SWPL,SAKTHISUGARS_ELMTN,Nagaland_Ben,MBMP,JPL,RUVNL,GBHHPL,BIRLACARBONTN,HP,SKS Raigarh,JPL_DHULE,KSEB,SAKTHISUGARSLTD,GBHHPL,KSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,DIAPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,UPPCL,BRPL,TPDDL,BRPL,BYPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,TPDDL,MES (Delhi),DIAPL,DIAPL,TPDDL,ITCLH,BRPL,BRPL,BYPL,BRPL,TPDDL,BYPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,
,,North-North,North-North,North-North,West-North,North-North,East-West-North,East-North,North East-East-North,North-North,South-West-North,North-North,South-West-North,North-North,West-East-North,North-North,South-East-North,West-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,South-West-North,West-East-North,South-West-North,North East-East-North,West-East-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,South-East-North,South-West-North,North-North,South-West-North,
1,00:00-00:15,0.000000,1.930000,33.790000,37.290000,19.310000,0.000000,0.000000,60.810000,2.000000,0.000000,67.570000,0.000000,38.610000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1359.48

2,00:15-00:30,0.000000,1.930000,33.790000,37.290000,19.310000,0.000000,0.000000,50.200000,2.000000,0.000000,67.570000,0.000000,38.610000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1348.87
