Block,Time,UNCHAHAR1,BSIUL,NAPP,TEHRI,UNCHAHAR3,NJPC,DULHASTI,DADRT2,DADRI_GF,TANDA2,UNCHAHAR2,AURY_LF,SINGRAULI_HYDRO,RIHAND2,KISHANGANGA,RIHAND1,RAPPB,RAMPUR,ANTA_GF,PARBATI3,TANAKPUR,URI2,AURY_GF,ANTA_RF,JHAJJAR,AURY_CRF,ANTA_CRF,KOLDAM,DADRI_LF,AURY_RF,RIHAND3,ANTA_LF,SINGRAULI,KOTESHWR,DHAULIGNGA,RAPPC,UNCHAHAR4,DADRI_CRF,CHAMERA3,DADRI_RF,SEWA2,URI,SALAL,CHAMERA1,FSTPP I & II,BRBCL,KHSTPP-II,CHAMERA2,SASAN,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,21.505302,18.924666,49.035723,19.270924,26.157510,43.119673,57.246285,592.137898,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,1.668650,0.000000,0.000000,0.495696,34.008786,0.000000,0.000000,377.565656,0.000000,0.000000,6.729333,0.000000,0.000000,123.227412,0.000000,139.875350,8.921851,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,18.187717,33.642302,80.936554,40.774053,20.121920,19.247580,139.628294,46.918734,391.797000,44.130917,0.000000,0,0,0,0,0

2,00:15-00:30,21.505302,18.924666,49.035723,19.270924,26.157510,43.119673,57.246285,592.137898,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,1.668650,0.000000,0.000000,0.495696,34.008786,0.000000,0.000000,337.894745,0.000000,0.000000,4.486223,0.000000,0.000000,123.227412,0.000000,139.875350,8.921851,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,18.187717,33.642302,80.936554,40.774053,20.121920,19.348000,143.465420,46.918734,391.797000,44.886470,0.000000,0,0,0,0,0

3,00:30-00:45,21.892262,18.924666,49.035723,19.270924,26.157510,43.119673,57.246285,594.234350,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,1.668650,0.000000,0.000000,9.789991,34.008786,0.000000,0.000000,317.513353,0.000000,0.000000,4.486223,0.000000,0.000000,123.227412,0.000000,139.875350,9.479467,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,18.187717,33.642302,80.936554,40.774053,20.121920,19.348000,129.894733,46.918734,391.797000,44.886470,0.000000,0,0,0,0,0

4,00:45-01:00,21.892262,18.924666,49.035723,9.635463,26.737950,43.119673,57.246285,594.234350,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,1.668650,0.000000,3.690020,9.789991,34.008786,0.000000,0.000000,317.513353,0.000000,0.000000,2.243111,0.000000,0.000000,123.227412,0.000000,139.875350,9.479467,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,18.187717,33.642302,80.936554,40.774053,20.121920,15.618294,129.894733,46.918734,391.797000,44.886470,0.000000,0,0,0,0,0

5,01:00-01:15,21.892262,12.616444,49.035723,0.000000,26.157510,43.119673,57.246285,594.234350,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,1.668650,0.000000,17.712092,9.789991,34.008786,0.000000,0.000000,317.513353,0.000000,0.000000,0.000000,0.000000,0.000000,123.227412,0.000000,139.875350,9.479467,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,18.187717,33.642302,80.936554,40.774053,20.121920,13.298003,129.894733,46.918734,391.797000,44.886470,0.000000,0,0,0,0,0

6,01:15-01:30,21.892262,12.616444,49.035723,0.000000,26.737950,64.679509,57.246285,594.234350,0.000000,5.183415,42.185049,0.000000,0.754252,117.519752,4.890149,49.125315,0.000000,2.502974,0.000000,17.712092,9.789991,34.008786,0.000000,0.000000,317.513353,0.000000,0.000000,0.000000,0.000000,0.000000,123.227412,0.000000,139.875350,9.479467,21.009712,66.586408,1.441426,0.000000,33.695754,0.000000,12.149689,33.642302,80.936554,40.774053,20.121920,13.614663,129.894733,46.918734,391.797000,44.886470,0.000000,0,0,0,0,0

