Block,Time,BSIUL,CHAMERA1,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SEWA2,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,DULHASTI,KOLDAM,SALAL,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,KAWAS-zLIQ,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-ComGas,GANDHAR-RLNG,KAWAS-ComGas,LARA-I,SASAN,KAWAS-RLNG,VSTPS V,VSTPS I,KSTPS7,SOLAPUR,GADARWARA-I,KSTPS I&II,SIPAT II,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,KHARGONE-I,VSTPS II,KAPS,TAPS-II,KAWAS-APM,KAWAS-NAPM
1,00:00-00:15,13.09,42.14808,147.214156,0.5124,4.233847,22.444045,44.326064,2.392833,13.248,1.095843,50.957572,36.506751,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.749204,0,1.634584,0,95.888555,122.432091,128.451291,37.821176,3.242419,36.022,53.138889,65.426238,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.49,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.56,0,147.515625,41.5795,20.73185,20.0018,0,0,0,0.014026,0.001107,0.02032,4.228905,348.975,0,1.318423,2.378985,1.332638,1.759081,4.26444,2.674033,1.857394,3.518163,2.665275,3.487597,1.946241,1.9248,3.518163,1.929632,1.140171,1.361689,0,0

2,00:15-00:30,13.09,42.14808,147.214156,0.5124,4.233847,22.444045,44.326064,2.392833,4.416,1.095843,50.957572,36.506751,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.749204,0,1.634584,0,95.888555,122.432091,128.451291,37.821176,3.242419,36.022,53.138889,65.426238,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.5,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.58,0,147.515625,41.5795,20.73185,20.0018,0,0,0,0.014026,0.001107,0.02032,4.228905,348.975,0,1.318423,2.378985,1.332638,1.759081,4.26444,2.674033,1.857394,3.518163,2.665275,3.487597,1.946241,1.9248,3.518163,1.929632,1.140171,1.361689,0,0

3,00:30-00:45,13.09,42.14808,147.214156,0.5124,4.233847,22.444045,44.326064,2.392833,4.416,1.095843,50.957572,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.749204,0,1.362153,0,95.888555,122.432091,128.451291,37.821176,3.242419,36.022,44.318263,65.426238,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.5,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.61,0,147.515625,41.5795,20.73185,20.0018,0,0,0,0.014026,0.001107,0.02032,4.228905,348.975,0,1.318423,2.378985,1.332638,1.759081,4.26444,2.674033,1.857394,3.518163,2.665275,3.487597,1.946241,1.9248,3.518163,1.929632,1.140171,1.361689,0,0

4,00:45-01:00,13.09,42.14808,147.214156,0.5124,4.233847,22.444045,44.326064,2.392833,13.248,1.095843,50.957572,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.749204,0,1.326619,0,95.888555,122.432091,128.451291,37.821176,1.621209,36.022,43.02744,65.426238,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.5,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.64,0,147.515625,41.5795,20.73185,20.0018,0,0,0,0.014026,0.001107,0.02032,4.228905,348.975,0,1.318423,2.378985,1.332638,1.759081,4.26444,2.674033,1.857394,3.518163,2.665275,3.487597,1.946241,1.9248,3.518163,1.929632,1.140171,1.361689,0,0

5,01:00-01:15,13.09,42.14808,147.214156,0.5124,4.233847,22.444045,44.326064,2.392833,48.576,1.095843,50.957572,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,27.85743,47.749204,0,0.663309,0,95.888555,122.432091,128.451291,37.821176,1.621209,36.022,21.51372,65.426238,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.5,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.67,0,147.515625,41.5795,20.73185,20.0018,0,0,0,0.014026,0.001107,0.02032,4.228905,348.975,0,1.318423,2.378985,1.332638,1.759081,4.26444,2.674033,1.857394,3.518163,2.665275,3.487597,1.946241,1.9248,3.518163,1.929632,1.140171,1.361689,0,0

