Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2024/10/01/9072,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/6101,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/9582,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106,NR/01102023/22052037/LT-59
1,00:00-00:15,9.34,0,7.59,0,20.67,101.07,0,20.67,0,0,7.59,22.77,0,0,0,0,0,0,7,0,26.45,67.91,26.45,0,35.37,8.82,3.24,0,134.46,263.38,32,0,25.96,26.45,29.77,3.36,6.21,8.82,3.59

2,00:15-00:30,9.34,0,9.5,0,20,101.07,0,20,0,0,9.5,28.5,0,0,0,0,0,0,7,0,26.45,67.91,26.45,0,35.37,8.82,3.24,0,134.46,263.38,32,0,25.96,26.45,29.77,3.36,6.21,8.82,3.59

3,00:30-00:45,9.34,0,9.34,0,19.33,101.07,0,19.33,0,0,9.33,28,0,0,0,0,0,0,7,0,26.45,67.91,26.45,0,35.37,8.82,3.24,0,134.46,263.38,32,0,25.96,26.45,29.77,3.36,6.21,8.82,3.59

4,00:45-01:00,7.34,0,9.34,0,29.33,101.07,0,29.33,0,0,9.33,28,0,0,0,0,0,0,6.8,0,26.45,67.91,26.45,0,35.37,8.82,3.24,0,134.46,263.38,32,0,25.96,26.45,29.77,3.36,6.21,8.82,3.59

5,01:00-01:15,6.66,0,9.34,0,28.33,101.07,0,28.33,0,0,9.33,28,0,0,0,0,0,0,6.8,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,134.46,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.51

6,01:15-01:30,6.66,0,9.66,0,27.33,101.07,0,27.33,0,0,9.67,29,0,0,0,0,0,0,6.6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,134.46,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.51

7,01:30-01:45,6.66,0,9.84,0,25,101.07,0,25,0,0,9.83,29.5,0,0,0,0,0,0,6.4,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,134.46,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.51

8,01:45-02:00,6.66,0,10,0,23.33,101.07,0,23.33,0,0,10,30,0,0,0,0,0,0,6.2,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,134.46,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.51

9,02:00-02:15,6.66,0,7,0,21.67,101.07,0,21.67,0,0,7,21,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,114.47,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.43

10,02:15-02:30,6.66,0,9.34,0,20,101.07,0,20,0,0,9.33,28,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,97.01,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.43

11,02:30-02:45,6.66,0,8.66,0,18.33,101.07,0,18.33,0,0,8.67,26,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.43

12,02:45-03:00,6.66,0,8.16,0,16.67,101.07,0,16.67,0,0,8.17,24.5,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.43

13,03:00-03:15,6.66,0,9,0,26.67,101.07,0,26.67,0,0,9,27,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.36

14,03:15-03:30,6.66,0,9.34,0,25,77.61,0,25,0,0,9.33,28,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.36

15,03:30-03:45,8.34,0,9.84,0,23.33,101.07,0,23.33,0,0,9.83,29.5,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.36

16,03:45-04:00,8.34,0,10.34,0,22.67,101.07,0,22.67,0,0,10.33,31,0,0,0,0,0,0,6,0,26.45,67.91,26.45,0,35.37,8.82,3.08,0,75.43,207.16,26.87,0,26.87,26.45,29.77,3.36,6.11,8.82,3.36

