Column1,Block,NR/2024/24414/C,NR/2024/24052/A/46382,NR/2024/24051/A/46383,NR/2024/24088/A/46377,NR/2024/24060/A/46578,NR/2024/24097/A/46374,NER/2024/2770/A/46572,NR/2024/24146/A/46370,NR/2024/23952/A/46369,WR/2024/25054/A/46577,NR/2024/24409/C,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/24/5256,NR/2024/24411/C,NR/2024/24225/A/46619,NR/2024/24413/C,NR/2024/24224/A/46617,NR/2024/24227/A/46621,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/24/9178,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/2024/24071/A/46381,Total
,,SJVNL,IEXL,IEXL,IEXL,NVVNL,IEXL,APPCPL,IEXL,ITCLH,APPCPL,SJVNL,MANIKARAN,APPCPL,PUNJAB,BAWANA_GAS,KSEB,NDMC,IEXL,SJVNL,OIDLWM2_AEROCITY,SJVNL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,NDMC,IEXL,DELHI,PTC,NDMC,NDMC,NDMC,PTC,IEXL,
,,KARNATAKA_STATE,TELANGANA_State,TELANGANA_State,KARNATAKA_STATE,NA,KARNATAKA_STATE,DELHI_UT,MP_State,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,Meghalaya_State,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,DELHI_UT,NA,
,,RENUKASUGARSATHANI,NSLKSLWPRTY,NSLKSLWPRTY,NSLSTUNGBHDRA,JITPL,NSLSUGARALAND,BYPL,NSPLN_MP,ITCWIND,BRPL,RENUKASUGARSHAVALGA,BRPL,BYPL,BAWANA_GAS,BAWANA_GAS,BYPL,RKM_POWER,Meghalaya_Ben,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,RKM_POWER,JPL,CHANJUII,BYPL,JPL2,TRN_ENERGY,SKS_Raigarh,BRPL,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,MSEB_State,MSEB_State,PUNJAB_STATE,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,
,,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,Manipur_Ben,MES_Delhi,ITCLH,GOA_Beneficiary,NDMC,AEML,AEML,PUNJAB,HARYANA,KSEB,NDMC,BRPL,NDMC,OIDLWM2_AEROCITY,NDMC,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,NDMC,BRPL,TPDDL,HP,NDMC,NDMC,NDMC,HP,MES_Delhi,
,,South-West-North,South-West-North,South-West-North,South-West-North,East-North,South-West-North,North-East-North East,West-North,South-West-North,North-West,South-West-North,North-West,North-West,North-North,North-North,North-West-South,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

2,00:15-00:30,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

3,00:30-00:45,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

4,00:45-01:00,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

5,01:00-01:15,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.2300000000001

6,01:15-01:30,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.2300000000001

7,01:30-01:45,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.2300000000001

8,01:45-02:00,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.2300000000001

9,02:00-02:15,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.3200000000001

10,02:15-02:30,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.3200000000001

