Column1,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,GNA/WR/2024/11/01/4200,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/10/15/7089,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5444,NR/30092023/26122029/SH-06,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,57.56,0,70.29,24.08,180.9,0,0,53.03,26.03,0,0,1.86,2.3,30.78,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,250.67,26.03,24.08,7,0,0,0,0,0,0,0,0,7,21,0,7,16.33,6.66,0,0,16.33,0

2,00:15-00:30,57.56,0,70.29,24.08,180.9,0,0,53.03,26.03,0,0,1.86,2.3,30.78,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,250.67,26.03,24.08,7,0,0,0,0,0,0,0,0,7,21,0,7,16,6.66,0,0,16,0

3,00:30-00:45,57.56,0,70.29,24.08,171.26,0,0,53.03,26.03,0,0,1.86,2.3,31.29,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,250.67,26.03,24.08,7,0,0,0,0,0,0,0,0,7,21,0,7,16,6.66,0,0,16,0

4,00:45-01:00,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.86,2.3,31.29,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,250.67,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,16,6.66,0,0,16,0

5,01:00-01:15,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.86,2.23,31.29,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,231.38,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

6,01:15-01:30,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.86,2.23,31.29,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,192.82,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

7,01:30-01:45,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.86,2.23,30.78,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,192.82,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

8,01:45-02:00,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.86,2.23,30.28,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,192.82,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

9,02:00-02:15,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,30.28,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,192.82,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

10,02:15-02:30,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,30.28,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,192.82,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

11,02:30-02:45,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,30.28,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

12,02:45-03:00,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,29.77,261.61,8.68,8.68,87.2,1.95,26.03,17.35,3.22,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.66,6.66,0,0,14.67,0

13,03:00-03:15,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,29.77,261.61,8.68,8.68,87.2,1.9,26.03,17.35,3.13,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14.34,6.66,0,0,14.33,0

14,03:15-03:30,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,29.77,261.61,8.68,8.68,87.2,1.9,26.03,17.35,3.13,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,14,6.66,0,0,14,0

15,03:30-03:45,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,29.77,261.61,8.68,8.68,87.2,1.9,26.03,17.35,3.13,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,13.66,6.66,0,0,13.67,0

16,03:45-04:00,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.78,2.23,30.28,261.61,8.68,8.68,87.2,1.9,26.03,17.35,3.13,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,13.34,6.66,0,0,13.33,0

17,04:00-04:15,57.56,0,70.29,26.91,171.26,0,0,53.03,26.03,0,0,1.71,2.15,30.28,261.61,8.68,8.68,87.2,1.9,26.03,17.35,3.13,149.93,26.03,26.91,7,0,0,0,0,0,0,0,0,7,21,0,7,13.34,6.66,0,0,13.33,0

