Block,Time Block,MAPS,SIMHST1,SIMHST2,RSTPSU1TO6,SEWA2,SINGRAULI,RSTPSU7,SALAL,SASAN,KOTESHWR,KUDGI,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,KHSTPP-II,KKNP,KISHANGANGA,KKNPPU2,KOLDAM,KGSU1AND2,KGSU3AND4,RAPPD,RIHAND3,RAPPC,RIHAND2,RIHAND1,KHSTPP-I,NNTPP,NTPL,RAPPB,PARBATI3,PARBATI2,RAMPUR,JHAJJAR,FSTPP I & II,DHAULIGNGA,DULHASTI,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,URI,ANTA_LF,AURY_GF,DADRI_CRF,URI2,ANTA_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,VALLURNTECL,UNCHAHAR4,BSIUL,BRBCL,UNCHAHAR1,TANDA2,UNCHAHAR3,TALST2,TANAKPUR,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,TALA,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,12.18,148.73,0,44.86,394.17,11.2,0,0,0,139.67,0,0,23.64,95.43,0,8.41,0,3.77,0,0,25.69,89.16,66.5,93.1,62.18,44.15,0,0,0,20.77,21.83,5.6,247.21,20.08,21.19,56.74,22.56,47.2,197.46,40.68,50.54,0,0,0,36.83,0,0,0,0,0,0,0,0,0,0,2.01,6.29,19.3,21.07,6.16,26.93,0,2.36,1.12,0,42.87,9.62,27.25,0,0,0,0,0

2,00:15-00:30,0,0,0,0,6.09,148.73,0,44.86,394.17,11.2,0,0,0,139.67,0,0,23.64,95.43,0,8.41,0,3.77,0,0,25.69,89.16,66.5,93.1,62.18,44.15,0,0,0,20.77,21.83,5.6,247.21,20.08,21.19,56.74,22.56,47.2,245.43,40.68,50.54,0,0,0,36.83,0,0,0,0,0,0,0,0,0,0,2.01,6.29,15.15,21.07,6.16,26.93,0,2.36,1.12,0,42.87,9.62,27.25,0,0,0,0,0

3,00:30-00:45,0,0,0,0,6.09,148.73,0,44.86,394.17,11.2,0,0,0,139.67,0,0,23.64,95.43,0,8.41,0,6.5,0,0,25.69,89.16,66.5,93.1,62.18,44.15,0,0,0,22.25,21.83,5.6,247.21,20.08,10.59,56.74,33.87,47.2,266.68,40.68,50.54,0,0,0,36.83,0,0,0,0,0,0,0,0,0,0,2.31,6.29,11.91,21.07,6.09,26.93,0,2.36,1.12,0,42.87,9.82,27.25,0,0,0,0,0

4,00:45-01:00,0,0,0,0,6.09,148.73,0,44.86,394.17,11.2,0,0,0,133.6,0,0,23.64,95.43,0,8.41,0,7.01,0,0,25.69,89.16,66.5,93.1,62.18,44.15,0,0,0,22.25,21.83,5.36,247.21,20.08,10.59,56.74,33.87,47.2,238.54,40.68,50.54,0,0,0,36.83,0,0,0,0,0,0,0,0,0,0,2.31,6.29,10.38,21.07,5.98,26.93,0,2.36,1.12,0,42.87,9.82,27.25,0,0,0,0,0

5,01:00-01:15,0,0,0,0,6.09,148.73,0,44.86,394.17,11.2,0,0,0,133.6,0,0,23.64,95.43,0,8.41,0,9.35,0,0,25.69,89.16,66.5,93.1,62.18,44.15,0,0,0,22.25,21.83,5.35,247.21,20.08,10.59,56.74,22.56,47.2,180.71,27.12,50.54,0,0,0,36.83,0,0,0,0,0,0,0,0,0,0,2.31,6.29,9.3,21.07,6.09,26.93,0,2.36,1.12,0,42.87,9.82,27.25,0,0,0,0,0

