Block,Time,CHAMERA3,DADRT2,KGSU3AND4,KOTESHWR,RAMPUR,RIHAND1,RIHAND3,RSTPSU1TO6,UNCHAHAR3,URI,DADRI_LF,KKNP,KKNPPU2,NNTPP,RAPPB,SINGRAULI_HYDRO,TANAKPUR,ANTA_RF,DADRI_GF,CHAMERA1,CHAMERA2,DHAULIGNGA,KISHANGANGA,NLCIIST1,NLCTS2EXP,RIHAND2,AURY_CRF,BRBCL,KGSU1AND2,KUDGI,NLCIIST2,SASAN,TANDA2,TelanganaSTPP,URI2,AURY_GF,AURY_RF,DADRI_CRF,DADRI_RF,BSIUL,MAPS,NAPP,NJPC,NLCEXP,RAPPC,RAPPD,SALAL,SIMHST2,UNCHAHAR2,UNCHAHAR4,ANTA_CRF,AURY_LF,FSTPP I & II,KHSTPP-I,KOLDAM,PARBATI3,SEWA2,TEHRI,KHSTPP-II,NTPL,RSTPSU7,UNCHAHAR1,ANTA_LF,DULHASTI,JHAJJAR,PARBATI2,SIMHST1,SINGRAULI,TALA,TALST2,VALLURNTECL,ANTA_GF
1,00:00-00:15,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,49.86,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,42.96,18.9,30.33,148.3,0,0,21.94,0,58.69,467.67,32.31,0,150.34,7.64,0,0,0

2,00:15-00:30,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,49.86,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,42.96,18.9,30.33,148.3,0,0,21.94,0,58.69,458.67,32.31,0,150.34,7.64,0,0,0

3,00:30-00:45,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,49.86,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,38.36,18.9,30.33,148.3,0,0,21.94,0,58.69,458.67,32.31,0,150.34,5.88,0,0,0

4,00:45-01:00,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,49.86,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,38.36,18.9,30.33,148.3,0,0,21.94,0,58.69,458.67,32.31,0,150.34,5.88,0,0,0

5,01:00-01:15,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,51.17,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,38.36,18.9,30.33,148.3,0,0,21.94,0,58.69,458.67,32.31,0,150.34,5.88,0,0,0

6,01:15-01:30,35.03,458.92,0,10.43,6.5,97.23,95.79,0,27.68,51.01,0,0,0,0,0,1.08,6.27,51.17,0,42.15,48.81,21.88,8.63,0,0,124.58,0,20,0,0,0,412.88,2.75,0,38.1,0,80.77,0,98.41,19.56,0,25.38,165.99,0,67.88,21.66,84.24,0,44.5,2.3,0,0,18.2,45.53,9.59,38.36,18.9,30.33,148.3,0,0,21.94,0,58.69,458.67,32.31,0,150.34,5.88,0,0,0

