Block,Time Block,JHAJJAR,DADRI_RF,DADRI_LF,TANDA2,UNCHAHAR1,TALST2,TANAKPUR,TelanganaSTPP,TALA,TEHRI,VALLURNTECL,ANTA_CRF,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,UNCHAHAR2,AURY_CRF,URI,AURY_RF,DHAULIGNGA,FSTPP I & II,DULHASTI,KKNPPU2,KUDGI,KOLDAM,NAPP,KISHANGANGA,MAPS,KOTESHWR,KKNP,RAPPD,NLCIIST1,NLCIIST2,RAMPUR,RIHAND2,NJPC,NLCTS2EXP,RAPPC,NNTPP,NTPL,PARBATI3,RIHAND1,PARBATI2,RAPPB,NLCEXP,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,SASAN,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,KHSTPP-II,KHSTPP-I,CHAMERA1,BSIUL,CHAMERA3,DADRT2,CHAMERA2,BRBCL,KGSU3AND4,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,448.64,0,0,3.31,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,16.1,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,93.86,18.13,0,0,0,51.6,12.17,108.22,126.25,333.24,0,0.86,0,0,114.84,35.26,27.15,6.29,22.52,296.74,47.12,18.56,0,0,0,0,0,0,0

2,00:15-00:30,313.05,0,0,3.31,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,16.1,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,114.84,35.26,27.15,6.29,22.52,177.03,47.12,17.07,0,0,0,0,0,0,0

3,00:30-00:45,255.13,0,0,5.33,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,16.65,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,27.15,6.29,22.52,86.01,47.12,14.72,0,0,0,0,0,0,0

4,00:45-01:00,255.13,0,0,5.33,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,27.15,6.29,22.52,86.01,47.12,15.78,0,0,0,0,0,0,0

5,01:00-01:15,255.13,0,0,5.33,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,27.15,6.29,22.52,86.01,47.12,13.18,0,0,0,0,0,0,0

6,01:15-01:30,255.13,0,0,5.33,16.3,0,6.05,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.4,0,0,0,33.27,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,13.56,6.29,22.52,86.01,47.12,13.44,0,0,0,0,0,0,0

7,01:30-01:45,255.13,0,0,5.33,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,76.63,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,13.56,12.59,22.52,86.01,47.12,13.49,0,0,0,0,0,0,0

8,01:45-02:00,255.13,0,0,5.33,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,86.01,47.12,12.57,0,0,0,0,0,0,0

9,02:00-02:15,232.93,0,0,5.33,12.24,0,0.49,0,0,21.69,0,0,0,1.12,0,0,36.78,0,17.39,0,0,0,28.08,0,50.54,0,10.57,16.91,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,45.37,47.12,12.66,0,0,0,0,0,0,0

10,02:15-02:30,232.93,0,0,5.33,12.24,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,16.04,0,0,0,25.76,0,50.54,0,10.57,16.91,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,45.37,47.12,12.75,0,0,0,0,0,0,0

11,02:30-02:45,254.16,0,0,5.33,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,19.66,0,0,0,29.15,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,71.89,47.12,14.79,0,0,0,0,0,0,0

12,02:45-03:00,254.16,0,0,5.33,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,86.01,47.12,13.77,0,0,0,0,0,0,0

13,03:00-03:15,254.16,0,0,5.33,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,20.08,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,143.15,43.95,0,12.59,22.52,45.37,47.12,15.17,0,0,0,0,0,0,0

14,03:15-03:30,254.16,0,0,4.32,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,47.12,15.52,0,0,0,0,0,0,0

15,03:30-03:45,254.16,0,0,3.87,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,63.2,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,15.65,0,0,0,0,0,0,0

16,03:45-04:00,254.16,0,0,3.87,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,63.2,18.13,0,0,0,64.5,12.17,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.2,0,0,0,0,0,0,0

