Block,Time,CHAMERA3,KKNPPU2,NNTPP,AURY_RF,NJPC,NLCTS2EXP,RSTPSU7,SASAN,DADRI_GF,BSIUL,DHAULIGNGA,DULHASTI,JHAJJAR,KHSTPP-I,KISHANGANGA,NAPP,RAMPUR,RAPPB,TALST2,TANDA2,ANTA_LF,DADRI_LF,CHAMERA1,PARBATI3,UNCHAHAR4,ANTA_RF,KGSU1AND2,KHSTPP-II,KOLDAM,NLCEXP,RIHAND1,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,ANTA_CRF,AURY_CRF,CHAMERA2,KUDGI,NLCIIST2,NTPL,RAPPC,RSTPSU1TO6,SIMHST1,SIMHST2,TEHRI,URI,DADRI_CRF,DADRI_RF,BRBCL,FSTPP I & II,KKNP,KOTESHWR,SALAL,TALA,TANAKPUR,UNCHAHAR1,UNCHAHAR3,URI2,VALLURNTECL,ANTA_GF,DADRT2,KGSU3AND4,MAPS,NLCIIST1,TelanganaSTPP,UNCHAHAR2,AURY_GF,AURY_LF
1,00:00-00:15,21.37,0,0,78.06,127.78,0,0,154.12,0,6.52,40.4,53.79,469.31,41.89,0,45.46,2.74,0,0,2.89,0,0,42.15,15.46,1.62,48.26,0,98.87,4.01,0,47.33,121.71,127.6,5.71,132.43,0,0,0,44.22,0,0,0,60.53,0,0,0,76.9,33.12,0,97.42,15,20.8,0,38.64,38.35,6.94,13,20.96,0,36.35,0,0,686.07,0,0,0,0,43.55,0,0

2,00:15-00:30,21.37,0,0,78.06,127.78,0,0,154.12,0,6.52,40.4,53.79,469.31,41.89,0,45.46,2.74,0,0,2.89,0,0,42.15,15.46,1.62,48.26,0,98.87,4.01,0,47.33,121.71,127.6,0,132.43,0,0,0,28.34,0,0,0,60.53,0,0,0,76.9,33.12,0,97.42,15,20.8,0,38.64,63.92,6.91,13,20.96,0,36.35,0,0,686.07,0,0,0,0,43.24,0,0

3,00:30-00:45,21.37,0,0,78.06,127.78,0,0,154.12,0,6.52,40.4,53.79,469.31,41.89,0,45.46,2.74,0,0,2.89,0,0,28.1,15.46,1.62,48.26,0,98.87,4.01,0,47.33,121.71,127.6,0,132.43,0,0,0,28.34,0,0,0,60.53,0,0,0,76.9,37.53,0,97.42,15,20.8,0,38.64,79.38,7,13,20.96,0,36.35,0,0,686.07,0,0,0,0,43.05,0,0

4,00:45-01:00,21.37,0,0,78.06,127.78,0,0,154.12,0,6.52,40.4,53.79,469.31,41.89,0,45.46,2.74,0,0,2.89,0,0,28.1,3.51,1.62,48.26,0,98.87,4.01,0,47.33,121.71,127.6,0,132.43,0,0,0,28.34,0,0,0,60.53,0,0,0,76.9,37.53,0,97.42,15,20.8,0,38.64,79.38,7.15,13,20.96,0,36.35,0,0,686.07,0,0,0,0,43.05,0,0

5,01:00-01:15,21.37,0,0,78.06,127.78,0,0,154.12,0,6.52,40.4,53.79,604.55,41.89,0,45.46,2.74,0,0,2.89,0,0,28.1,3.51,1.62,48.26,0,98.87,4.01,0,47.33,121.71,127.6,0,132.43,0,0,0,28.34,0,0,0,60.53,0,0,0,76.9,37.53,0,97.42,15,20.8,0,38.64,79.38,7.15,13,20.96,0,20.68,0,0,686.07,0,0,0,0,43.05,0,0

