Block,Time Block,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,BRBCL,BSIUL,CHAMERA1,CHAMERA3,DADRT2,CHAMERA2,RSTPSU7,TALST2,SINGRAULI_HYDRO,SALAL,SEWA2,TANDA2,TANAKPUR,SIMHST2,TALA,TEHRI,SINGRAULI,SIMHST1,SASAN,UNCHAHAR4,URI,VALLURNTECL,UNCHAHAR3,URI2,UNCHAHAR2,TelanganaSTPP,UNCHAHAR1,AURY_CRF,AURY_RF,DADRI_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_LF,ANTA_GF,RAMPUR,RIHAND3,RAPPB,RIHAND2,RIHAND1,RAPPC,RSTPSU1TO6,JHAJJAR,NNTPP,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NTPL,MAPS,NLCTS2EXP,NAPP,KKNP,KISHANGANGA,KHSTPP-I,KHSTPP-II,KOTESHWR,KUDGI,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,11.25,0,19.23,0,0,0,293.46,0,0,0,0,1.35,0,0,3.08,0,0,0,115.78,0,248.75,0,25.48,0,17.96,18.11,11.2,0,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,119.56,0,114.21,88.48,51.99,0,294.05,0,0,0,0,0,0,0,0,0,40.16,0,0,39.33,82.49,8.53,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,11.25,0,17.56,0,0,0,245.38,0,0,0,0,1.35,0,0,8.01,0,0,0,115.78,0,265.06,0,25.48,0,16.85,18.11,11.2,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,119.56,0,114.21,88.48,51.99,0,230.81,0,0,0,0,0,0,0,0,0,40.16,0,0,37.49,81.96,8.53,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,9.82,0,14.02,0,0,0,230.9,0,0,0,0,1.35,0,0,8.01,0,0,0,115.78,0,281.3,0,25.48,0,14.25,18.11,11.2,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,119.56,0,114.21,88.48,51.99,0,230.81,0,0,0,0,0,0,0,0,0,40.16,0,0,37.49,81.96,8.53,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,9.82,0,13.4,0,0,0,188.63,0,0,0,0,1.35,0,0,2.46,0,0,0,115.78,0,292.12,0,1.28,0,14.25,18.11,11.2,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,119.56,0,114.21,88.48,51.99,0,230.81,0,0,0,0,0,0,0,0,0,40.16,0,0,37.49,81.96,8.53,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,9.82,0,13.08,0,0,0,188.63,0,0,0,0,1.35,0,0,2.46,0,0,0,115.78,0,308.34,0,1.28,0,14.25,18.11,11.2,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,119.56,0,114.21,88.48,51.99,0,230.81,0,0,0,0,0,0,0,0,0,40.16,0,0,37.49,81.96,8.53,0,0,0,0,0,0,0,0

