Block,Time Block,KGSU3AND4,KGSU1AND2,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,PARBATI2,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,NLCEXP,NAPP,NJPC,JHAJJAR,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,CHAMERA3,DADRT2,RIHAND2,SASAN,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,TALST2,SEWA2,SINGRAULI,RIHAND3,TALA,BRBCL,BSIUL,CHAMERA2,CHAMERA1,PARBATI3,RAPPC,RAPPD,RAMPUR,RAPPB,RIHAND1,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TelanganaSTPP,TANAKPUR,UNCHAHAR2,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,17.58,21.14,57.48,0,23.9,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,29.74,0,17.2,0,0,0,0,0,33.84,443.32,120.34,398.84,0,1.04,0,0,0,81.38,0,18.26,145.23,92.53,0,18.05,12.6,47.15,40.72,37.94,65.57,0,6.74,0,93.92,29.53,21.19,0,1.87,5.33,36.8,26.74,0,0.49,42.51,49.28,0,0,0,0,0

2,00:15-00:30,0,0,17.58,21.14,57.48,0,23.4,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,19.31,0,11.82,0,0,0,0,0,33.84,443.32,120.34,398.84,0,1.04,0,0,0,81.38,0,12.18,145.23,92.53,0,16.4,12.6,47.15,40.72,37.94,65.57,0,6.74,0,93.92,29.53,21.19,0,1.87,5.33,36.8,26.74,0,0.49,42.51,49.28,0,0,0,0,0

3,00:30-00:45,0,0,17.58,21.14,57.48,0,23.4,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,19.31,0,11.82,0,0,0,0,0,33.84,443.32,120.34,398.84,0,1.04,0,0,0,81.38,0,5.75,145.23,92.53,0,16.16,12.6,47.15,40.72,37.94,65.57,0,6.74,0,93.92,29.53,21.19,0,1.87,5.33,36.8,26.74,0,6.06,42.51,49.28,0,0,0,0,0

4,00:45-01:00,0,0,17.58,21.14,57.48,0,23.4,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,19.31,0,11.82,0,0,0,0,0,33.84,380.62,120.34,398.84,0,1.04,0,0,0,81.38,0,5.75,145.23,92.53,0,17.28,12.6,47.15,40.72,37.94,65.57,0,6.74,0,93.92,29.53,21.19,0,1.87,5.33,36.8,26.74,0,6.06,42.51,49.28,0,0,0,0,0

5,01:00-01:15,0,0,17.58,21.14,57.48,0,23.4,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,56.02,0,12.13,0,0,0,0,0,33.84,322.66,120.34,398.84,0,0.63,0,0,0,81.38,0,5.75,145.23,92.53,0,15.56,12.6,47.15,40.72,32.61,65.57,0,6.74,0,93.92,29.53,21.19,0,1.64,5.33,36.8,26.74,0,6.06,42.51,49.28,0,0,0,0,0

6,01:15-01:30,0,0,17.58,21.14,57.48,0,23.4,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,56.02,0,12.13,0,0,0,0,0,33.84,284.02,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,92.53,0,13.09,12.6,47.15,40.72,32.61,65.57,0,6.74,0,93.92,29.53,21.19,0,1.64,5.33,36.8,26.74,0,6.06,42.51,49.28,0,0,0,0,0

7,01:30-01:45,0,0,17.58,21.14,57.48,0,1.76,0,0,31.21,0,0,0,0,0,0,0,24.64,174.74,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,17.78,0,1.23,0,0,0,0,0,33.84,315.42,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,92.53,0,9.09,12.6,47.15,40.72,32.61,65.57,0,6.74,0,93.92,29.53,21.19,0,1.64,5.33,36.8,26.74,0,0.49,42.51,49.28,0,0,0,0,0

8,01:45-02:00,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,380.62,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,92.53,0,9.09,12.6,47.15,40.72,32.61,65.57,0,6.37,0,93.92,29.53,21.19,0,1.64,5.33,36.8,26.74,0,0.49,42.51,49.28,0,0,0,0,0

9,02:00-02:15,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,440.95,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,92.53,0,9.87,12.6,47.15,40.72,32.61,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.47,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

10,02:15-02:30,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,443.08,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,440.95,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,92.53,0,10.4,12.6,47.15,40.72,32.61,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.47,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

11,02:30-02:45,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,434.19,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,440.95,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,91.91,0,12.84,12.6,47.15,40.72,32.61,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.32,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

12,02:45-03:00,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,400.39,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,435.32,120.34,398.84,0,0.63,0,0,0,81.38,0,0,145.23,91.91,0,14.38,12.6,47.15,40.72,32.61,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.32,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

13,03:00-03:15,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,313.45,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,400.77,120.34,398.84,0,0.63,0,0,0,76.68,0,0,145.23,92.53,0,17.76,12.6,47.15,40.72,22.24,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.27,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

14,03:15-03:30,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,383.39,120.34,398.84,0,0.63,0,0,0,76.68,0,0,145.23,92.53,0,16.48,12.6,47.15,40.72,22.24,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.27,3.05,36.8,26.21,0,0.49,41.92,49.28,0,0,0,0,0

15,03:30-03:45,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,309.6,120.34,398.84,0,0.63,0,0,0,76.68,0,0,145.23,92.53,0.85,16.28,12.6,47.15,40.72,22.24,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.27,3.05,36.8,26.21,0,6.06,42.39,49.28,0,0,0,0,0

16,03:45-04:00,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,160.35,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,245.91,120.34,398.84,0,0.63,0,0,0,76.68,0,0,145.23,92.53,0.85,16.2,12.6,47.15,40.72,22.24,65.57,20.92,6.37,0,93.92,29.53,20.86,0,1.77,3.05,36.8,26.21,0,6.06,42.39,49.28,0,0,0,0,0

17,04:00-04:15,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,209.21,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,17.81,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.53,20.86,0,1.77,3.05,36.8,26.21,0,6.06,42.39,49.28,0,0,0,0,0

18,04:15-04:30,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,181.19,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.53,20.86,0,1.77,3.05,36.8,26.21,0,6.06,42.39,49.28,0,0,0,0,0

19,04:30-04:45,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,148.35,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.53,20.86,0,1.77,3.05,36.8,26.21,0,0.99,42.39,49.28,0,0,0,0,0

20,04:45-05:00,0,0,17.58,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,234.24,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,116.47,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.53,20.86,0,1.27,3.05,36.8,26.21,0,0.99,42.39,49.28,0,0,0,0,0

21,05:00-05:15,0,0,15.05,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,264.64,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,95.28,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.53,15.51,0,1.77,3.05,36.8,19.4,0,0.99,31.65,49.28,0,0,0,0,0

22,05:15-05:30,0,0,12.33,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,259.83,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,95.28,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,0.85,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,29.3,11.91,0,1.77,3.05,36.8,14.7,0,0.99,23.91,49.28,0,0,0,0,0

23,05:30-05:45,0,0,10.15,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,259.83,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,95.28,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,2.27,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,28.37,11.91,0,1.77,3.05,36.8,14.7,0,6.06,23.91,49.28,0,0,0,0,0

24,05:45-06:00,0,0,11.87,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,142.82,259.88,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,95.28,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,2.27,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.67,0,93.92,18.91,14.09,0,1.77,3.05,36.8,17.55,0,6.06,28.45,49.28,0,0,0,0,0

25,06:00-06:15,0,0,11.87,21.14,57.48,0,0,0,0,31.21,0,0,0,0,0,0,0,24.64,132,259.88,0,9.26,8.34,0,43.98,10.08,143.26,0,0,0,0,0,0,0,0,0,33.84,95.28,120.34,398.84,0,0.63,0,0,0,76.32,0,0,145.23,126.34,2.27,19.32,12.6,47.15,40.72,22.24,65.57,20.92,5.25,0,93.92,18.91,14.09,0,1.77,3.05,36.8,17.55,0,6.06,28.45,49.28,0,0,0,0,0

