Block,Time,UNCHAHAR1,UNCHAHAR2,CHAMERA3,KISHANGANGA,ANTA_RF,SINGRAULI,ANTA_LF,AURY_GF,RAPPB,CHAMERA1,AURY_LF,KOLDAM,ANTA_GF,URI2,SALAL,BSIUL,KOTESHWR,RAMPUR,TEHRI,PARBATI3,ANTA_CRF,TANDA2,DADRI_CRF,UNCHAHAR4,DHAULIGNGA,TANAKPUR,RIHAND3,NAPP,DULHASTI,RAPPC,SEWA2,DADRI_LF,RIHAND1,CHAMERA2,DADRI_GF,AURY_CRF,NJPC,AURY_RF,SINGRAULI_HYDRO,URI,RIHAND2,JHAJJAR,DADRT2,UNCHAHAR3,DADRI_RF,KHSTPP-I,FSTPP I & II,BRBCL,KHSTPP-II,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,6.375600,113.695312,231.000000,360.090500,14.437500,0.000000,29.448265,13.287698,17.894212,73.312085,0.000000,403.066125,0,0,0,0,0

2,00:15-00:30,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,37.191000,113.695312,231.000000,360.090500,14.437500,0.000000,29.448265,13.287698,17.213998,73.312085,0.000000,403.066125,0,0,0,0,0

3,00:30-00:45,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,37.191000,113.695312,231.000000,360.090500,14.437500,0.000000,29.448265,13.287698,19.114966,73.312085,0.000000,403.066125,0,0,0,0,0

4,00:45-01:00,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,4.250400,113.695312,231.000000,360.090500,14.437500,0.000000,29.448265,13.287698,16.623235,73.312085,0.000000,403.066125,0,0,0,0,0

5,01:00-01:15,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,13.374547,61.782875,0.000000,403.066125,0,0,0,0,0

6,01:15-01:30,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.823492,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.342629,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,13.997479,61.782875,0.000000,403.066125,0,0,0,0,0

7,01:30-01:45,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.531642,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,13.046289,61.782875,0.000000,403.066125,0,0,0,0,0

8,01:45-02:00,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.531642,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,12.180113,61.782875,0.000000,403.066125,0,0,0,0,0

9,02:00-02:15,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.531642,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,11.863251,61.782875,0.000000,403.066125,0,0,0,0,0

10,02:15-02:30,8.250261,23.100000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.531642,1.342110,0.000000,8.541225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.511375,42.145950,1.852331,52.398596,0.000000,0.000000,88.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644442,2.125200,113.695312,231.000000,360.090500,14.437500,0.000000,25.025000,13.287698,11.358814,61.782875,0.000000,403.066125,0,0,0,0,0

