Block,Time,PARBATI3,TANAKPUR,TANDA2,UNCHAHAR1,ANTA_LF,AURY_GF,BRBCL,KKNP,NJPC,NLCEXP,RAMPUR,SINGRAULI_HYDRO,VALLURNTECL,ANTA_GF,AURY_LF,DADRI_CRF,CHAMERA2,CHAMERA3,DHAULIGNGA,KHSTPP-I,KHSTPP-II,SALAL,SIMHST2,UNCHAHAR2,UNCHAHAR4,ANTA_CRF,DADRI_LF,CHAMERA1,FSTPP I & II,NLCTS2EXP,UNCHAHAR3,KOLDAM,NAPP,NNTPP,NTPL,RAPPB,RAPPC,RIHAND3,SINGRAULI,URI2,BSIUL,JHAJJAR,KGSU3AND4,KOTESHWR,MAPS,NLCIIST2,TALA,TALST2,URI,DADRI_RF,KGSU1AND2,KUDGI,RIHAND1,RSTPSU1TO6,RSTPSU7,SEWA2,SIMHST1,TEHRI,TelanganaSTPP,AURY_CRF,AURY_RF,DADRT2,DULHASTI,KISHANGANGA,KKNPPU2,NLCIIST1,RIHAND2,SASAN,ANTA_RF,DADRI_GF
1,00:00-00:15,21.08,8.71,0.19,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,23.65,6.52,413.81,0,9.66,0,0,10.49,0,38.64,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

2,00:15-00:30,21.08,8.71,0.19,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,23.65,6.52,413.81,0,9.66,0,0,10.49,0,38.64,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

3,00:30-00:45,17.56,8.71,0.19,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,38.64,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

4,00:45-01:00,17.56,8.71,0.19,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,38.64,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

5,01:00-01:15,17.56,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,22.08,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

