Block,Time,BRBCL,NLCIIST1,RIHAND3,TANDA2,UNCHAHAR2,ANTA_CRF,AURY_LF,DADRI_LF,DADRI_RF,KOTESHWR,NNTPP,VALLURNTECL,KKNP,NLCIIST2,RIHAND1,TALA,TANAKPUR,UNCHAHAR3,AURY_CRF,DULHASTI,KISHANGANGA,NLCEXP,RAPPB,RIHAND2,SASAN,SIMHST2,TelanganaSTPP,UNCHAHAR1,URI,ANTA_RF,DADRI_GF,BSIUL,CHAMERA1,CHAMERA3,DHAULIGNGA,KHSTPP-II,KKNPPU2,NLCTS2EXP,SIMHST1,SINGRAULI_HYDRO,CHAMERA2,JHAJJAR,MAPS,NAPP,PARBATI3,RAMPUR,RAPPC,RSTPSU7,SEWA2,SINGRAULI,ANTA_GF,AURY_RF,DADRI_CRF,FSTPP I & II,KHSTPP-I,KUDGI,NJPC,SALAL,TEHRI,AURY_GF,DADRT2,KGSU1AND2,KGSU3AND4,KOLDAM,NTPL,RSTPSU1TO6,TALST2,UNCHAHAR4,URI2,ANTA_LF
1,00:00-00:15,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,281.25,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

2,00:15-00:30,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,292.5,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

3,00:30-00:45,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,303.75,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

4,00:45-01:00,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,315,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

5,01:00-01:15,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,326.25,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

6,01:15-01:30,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,337.5,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

7,01:30-01:45,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,348.75,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

8,01:45-02:00,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,5.76,26.39,0,16.48,0,0,0,118.75,360,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

9,02:00-02:15,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,0,26.39,0,16.48,0,0,0,118.75,371.25,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

10,02:15-02:30,20,0,124.32,0,42.39,0,0,23.57,69.05,8.88,0,0,0,0,92,0,0,26.39,0,16.48,0,0,0,118.75,382.5,0,0,10.27,1.11,44.83,0,0,0,0,0,148.3,0,0,0,0,0,654.3,0,43.79,0,0,53.3,0,0,125.96,0,56.04,0,20.8,33.69,0,0,1.4,0,0,683.14,0,0,0,0,0,0,0,4.31,0

