Block,Time,L_NR_2022_09,L_NR_2021_15,L_NR_2021_12,L_NR_2012_04,LT-36,L_NR_2021_13,L_NR_2019_11,LT-05,L_NR_2019_07,L_NR_2021_14,LT-31,LT_MEJA_Delhi,L_NR_2019_05,L_NR_2020_05,L_NR_2021_17,SH-07,L_NR_2020_06,L_NR_2012_01,L_NR_2012_07,L_NR_2018_61,L_NR_2020_02,L_NR_2022_10,L_NR_2019_06,L_NR_2012_02,LT-35,SH-06,LT-59,L_NR_2021_16,L_NR_2019_19,L_NR_2020_07,L_NR_2022_08
1,00:00-00:15,52.17,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,72.68,0,29.710000,24.23,100.910000,73.870000,6.9,8.060000,52.17,0,130.330000,0.000000,30.830000,7.360000,0,0.000000,24.22,13.03

2,00:15-00:30,52.2,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,73.57,0,29.710000,24.52,100.910000,73.870000,6.91,8.060000,52.2,0,130.330000,0.000000,30.830000,7.360000,0,0.000000,24.52,13.04

3,00:30-00:45,52.31,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,80.03,0,29.710000,26.68,100.910000,73.870000,13.08,8.060000,52.31,0,130.330000,0.000000,30.830000,7.360000,0,0.000000,26.67,13.14

4,00:45-01:00,53.14,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,80.9,0,29.710000,26.97,100.910000,73.870000,12.86,8.060000,53.14,0,130.330000,0.000000,30.830000,7.360000,0,0.000000,26.97,13.28

5,01:00-01:15,53.6,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,81.65,0,29.710000,27.22,100.910000,73.870000,12.48,7.920000,53.6,0,130.330000,0.000000,30.830000,7.130000,0,0.000000,27.21,13.35

6,01:15-01:30,53.9,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,82.67,0,29.710000,27.56,100.910000,73.870000,11.06,7.920000,53.9,0,130.330000,0.000000,30.830000,7.130000,0,0.000000,27.55,18.12

7,01:30-01:45,54.12,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,81.92,0,29.710000,27.31,100.910000,73.870000,9.88,7.920000,54.12,0,130.330000,0.000000,30.830000,7.130000,0,0.000000,27.3,17.99

8,01:45-02:00,53.75,0,0,270.930000,0.000000,0,8.040000,115.660000,0,0,0.000000,6.620000,0,81.07,0,29.710000,27.02,100.910000,73.870000,8.06,7.920000,53.75,0,130.330000,0.000000,30.830000,7.130000,0,0.000000,27.04,17.97

9,02:00-02:15,53.73,0,0,270.930000,0.000000,0,7.810000,115.660000,0,0,0.000000,6.620000,0,79.8,0,29.710000,26.6,100.910000,73.870000,13.68,7.780000,53.73,0,130.330000,0.000000,30.830000,6.820000,0,0.000000,26.6,17.78

10,02:15-02:30,54.49,0,0,270.930000,0.000000,0,7.810000,115.660000,0,0,0.000000,6.620000,0,80.5,0,29.710000,26.83,100.910000,73.870000,13.46,7.780000,54.49,0,130.330000,0.000000,30.830000,6.820000,0,0.000000,26.84,17.59

11,02:30-02:45,54.79,0,0,270.930000,0.000000,0,7.810000,115.660000,0,0,0.000000,6.620000,0,82.19,0,29.710000,27.4,100.910000,73.870000,13.08,7.780000,54.79,0,130.330000,0.000000,30.830000,6.820000,0,0.000000,27.39,17.49

12,02:45-03:00,55.83,0,0,270.930000,0.000000,0,7.810000,115.660000,0,0,0.000000,6.620000,0,83.46,0,29.710000,27.82,100.910000,73.870000,12.66,7.780000,55.83,0,130.330000,0.000000,30.830000,6.820000,0,0.000000,27.81,17.33

13,03:00-03:15,55.5,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,84.07,0,29.710000,28.02,100.910000,73.870000,11.48,7.600000,55.5,0,130.330000,0.000000,30.830000,6.670000,0,0.000000,28.04,17.17

14,03:15-03:30,55.63,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,83.69,0,29.710000,27.9,100.910000,73.870000,9.66,7.600000,55.63,0,130.330000,0.000000,30.830000,6.670000,0,0.000000,27.9,13.45

15,03:30-03:45,55.57,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,77.72,0,29.710000,25.91,100.910000,73.870000,9.33,7.600000,55.57,0,130.330000,0.000000,30.830000,6.670000,0,0.000000,25.91,13.57

16,03:45-04:00,55.98,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,78.02,0,29.710000,26.01,100.910000,73.870000,8.72,7.600000,55.98,0,130.330000,0.000000,30.830000,6.670000,0,0.000000,26,13.21

17,04:00-04:15,55.01,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,78.57,0,29.710000,26.19,100.910000,73.870000,8.79,7.410000,55.01,0,130.330000,0.000000,30.830000,6.430000,0,0.000000,26.19,13.42

18,04:15-04:30,55.94,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,79.11,0,29.710000,26.37,100.910000,73.870000,8.81,7.410000,55.94,0,130.330000,0.000000,30.830000,6.430000,0,0.000000,26.36,13.21

19,04:30-04:45,56.77,0,0,270.930000,0.000000,0,7.660000,115.660000,0,0,0.000000,6.620000,0,72.15,0,29.710000,24.05,100.910000,73.870000,8.76,7.410000,56.77,0,130.330000,0.000000,30.830000,6.430000,0,0.000000,24.05,12.1

