Block,Time,AURY_GF,RIHAND2,RIHAND1,RIHAND3,ANTA_CRF,DULHASTI,RAMPUR,UNCHAHAR4,TANDA2,DADRI_LF,ANTA_LF,DADRI_GF,CHAMERA3,URI,AURY_RF,DADRI_CRF,ANTA_RF,URI2,KISHANGANGA,TANAKPUR,BSIUL,DADRT2,AURY_CRF,CHAMERA2,PARBATI3,AURY_LF,RAPPB,KOTESHWR,RAPPC,JHAJJAR,SINGRAULI_HYDRO,UNCHAHAR1,SEWA2,DADRI_RF,UNCHAHAR2,ANTA_GF,SALAL,NJPC,DHAULIGNGA,CHAMERA1,KOLDAM,NAPP,UNCHAHAR3,TEHRI,SINGRAULI,FSTPP I & II,KHSTPP-II,TALA,SASAN,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,120.014262,93.649279,125.996738,0.190193,57.098346,5.810321,2.981541,5.170020,0.000000,0.000000,0.000000,33.608676,35.153237,2.636467,0.000000,0.000000,36.560562,8.047894,0.494415,6.291920,664.252547,0.000000,46.797484,16.194126,0.000000,0.000000,0.000000,65.604402,407.612356,1.149350,21.835976,18.140715,3.788799,43.330402,0.000000,80.727394,150.528842,31.506014,40.668682,8.949257,46.628272,26.668853,0.000000,144.724338,20.069920,142.546800,0.000000,385.356938,42.754719,17.581384,0,0,0,0,0

2,00:15-00:30,0.000000,120.014262,93.649279,125.996738,0.000000,57.098346,5.810321,2.981541,5.170020,0.000000,0.000000,0.000000,33.608676,35.153237,0.000000,0.000000,0.000000,36.560562,8.047894,0.494415,6.291920,664.252547,0.000000,46.797484,16.194126,0.000000,0.000000,0.000000,65.604402,407.612356,1.149350,21.835976,18.140715,0.000000,43.330402,0.000000,80.727394,150.528842,31.506014,40.668682,8.949257,46.628272,26.668853,0.000000,144.724338,20.069920,142.546800,0.000000,385.356938,42.754719,17.740924,0,0,0,0,0

3,00:30-00:45,0.000000,120.014262,93.649279,125.996738,0.000000,57.098346,5.810321,2.981541,5.170020,0.000000,0.000000,0.000000,33.608676,35.153237,0.000000,0.000000,0.000000,36.560562,8.047894,0.494415,6.291920,664.252547,0.000000,46.797484,16.194126,0.000000,0.000000,0.000000,65.604402,407.612356,1.149350,10.922572,12.087690,0.000000,43.330402,0.000000,80.727394,150.528842,31.506014,40.668682,8.949257,46.628272,26.668853,0.000000,144.724338,20.069920,142.546800,0.000000,385.356938,42.754719,15.582190,0,0,0,0,0

4,00:45-01:00,0.000000,120.014262,93.649279,125.996738,0.000000,57.098346,5.810321,2.981541,5.170020,0.000000,0.000000,0.000000,33.608676,35.153237,0.000000,0.000000,0.000000,36.560562,8.047894,1.730452,6.291920,664.252547,0.000000,46.797484,0.000000,0.000000,0.000000,0.000000,65.604402,407.612356,1.149350,10.922572,12.087690,0.000000,43.330402,0.000000,80.727394,150.528842,31.506014,40.668682,8.949257,46.628272,26.668853,0.000000,144.724338,20.069920,142.546800,0.000000,385.356938,42.754719,12.915591,0,0,0,0,0

5,01:00-01:15,0.000000,120.014262,93.649279,125.996738,0.000000,57.098346,5.810321,2.981541,5.170020,0.000000,0.000000,0.000000,33.608676,35.153237,0.000000,0.000000,0.000000,36.560562,8.047894,1.730452,6.291920,664.252547,0.000000,46.797484,0.000000,0.000000,0.000000,0.000000,65.604402,407.292588,1.149350,10.922572,10.710611,0.000000,43.330402,0.000000,80.727394,150.528842,31.506014,40.668682,8.949257,46.628272,26.668853,0.000000,144.724338,20.069920,142.546800,0.000000,385.356938,42.754719,13.131303,0,0,0,0,0

