Block,Time,ANTA_GF,RIHAND2,JHAJJAR,KOTESHWR,URI,RAMPUR,CHAMERA1,NAPP,SALAL,SEWA2,UNCHAHAR2,RIHAND3,ANTA_RF,DADRI_RF,UNCHAHAR1,RIHAND1,SINGRAULI_HYDRO,TEHRI,ANTA_CRF,DADRI_CRF,AURY_LF,KISHANGANGA,UNCHAHAR4,RAPPC,RAPPB,AURY_RF,TANDA2,CHAMERA2,SINGRAULI,DADRT2,ANTA_LF,DADRI_LF,DULHASTI,DADRI_GF,CHAMERA3,TANAKPUR,DHAULIGNGA,NJPC,PARBATI3,URI2,AURY_GF,BSIUL,KOLDAM,AURY_CRF,UNCHAHAR3,KHSTPP-II,TALA,FSTPP I & II,SASAN,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,56.880686,284.742923,8.546549,2.339177,0.000000,0.000000,0.000000,6.714733,0.000000,16.372700,57.169134,0.000000,0.000000,6.741700,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,339.011200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,10.594100,112.933973,0.000000,14.410892,332.630662,28.048747,14.446451,0,0,0,0,0

2,00:15-00:30,0.000000,56.880686,341.900500,8.546549,2.339177,0.000000,0.000000,0.000000,1.342947,0.000000,16.372700,57.169134,0.000000,0.000000,6.741700,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,339.011200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,10.594100,102.541353,0.000000,3.852400,332.630662,18.144034,14.446451,0,0,0,0,0

3,00:30-00:45,0.000000,56.880686,341.900500,8.546549,2.339177,0.000000,0.000000,0.000000,1.342947,0.000000,16.372700,57.169134,0.000000,0.000000,6.741700,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,329.418724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,10.594100,65.490800,0.000000,3.852400,332.630662,13.483400,14.223175,0,0,0,0,0

4,00:45-01:00,0.000000,56.880686,341.900500,8.546549,3.721418,0.000000,0.000000,0.000000,1.342947,0.000000,16.372700,57.169134,0.000000,0.000000,6.741700,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,329.418724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,10.594100,51.044300,0.000000,3.852400,332.630662,13.483400,13.792256,0,0,0,0,0

5,01:00-01:15,0.000000,56.880686,341.900500,8.546549,34.024397,0.000000,0.000000,0.000000,1.342947,0.000000,18.298900,57.169134,0.000000,0.000000,7.261774,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,329.418724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,11.557200,50.081200,0.000000,3.852400,332.630662,13.338935,13.441811,0,0,0,0,0

6,01:15-01:30,0.000000,56.880686,341.900500,8.546549,34.024397,0.000000,0.000000,0.000000,1.342947,0.000000,18.298900,57.169134,0.000000,0.000000,7.261774,88.605200,0.792236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.553478,0.000000,0.000000,0.000000,0.000000,120.953321,329.418724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,11.557200,57.786000,0.000000,3.852400,332.630662,13.338935,13.094292,0,0,0,0,0

