Block,Time,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01032024/31032024/SJVN010324NR1588,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01032024/31032024/NVVN/OA/16997,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/30092023/31122025/SH-07,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/13082046/L_NR_2021_12,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,L_NR_2019_19,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/02122045/L_NR_2021_13,NR/23032024/30032024/HP-57,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01012024/31032024/ ChanjuII,NR/01102023/30042040/GNA_LT_35,NR/23032024/30032024/HP-64,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,WR/01102023/01102023/L_NR_2022_09,NR/23032024/30032024/HP-60,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31102037/L_NR_2019_11,SR/01032024/31032024/SJVN010324NR1590
1,00:00-00:15,22.560000,0.000000,3.040000,2.600000,0,18.66,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,56,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,40.33,0,58.000000,7.01,0,261.670000,0,18.67,10.250000,0.000000,29.590000,48.35,40.33,74.210000,11.66,0,3.000000,0

2,00:15-00:30,22.560000,0.000000,3.040000,2.600000,0,19.34,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,58,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,40.33,0,58.000000,7.01,0,261.670000,0,19.33,10.250000,0.000000,29.590000,48.35,40.33,74.210000,11.66,0,3.000000,0

3,00:30-00:45,22.560000,0.000000,3.040000,2.600000,0,19.66,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,59,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,41.33,0,58.000000,7.01,0,261.670000,0,19.67,10.250000,0.000000,29.590000,48.35,41.33,74.210000,11.75,0,3.000000,0

4,00:45-01:00,22.560000,0.000000,3.040000,2.600000,0,20.16,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,60.5,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,41.67,0,58.000000,7.01,0,261.670000,0,20.17,10.250000,0.000000,29.590000,48.35,41.67,74.210000,11.97,0,3.000000,0

5,01:00-01:15,22.560000,0.000000,2.960000,2.600000,0,20.5,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,61.5,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,42,0,58.000000,7.01,0,261.670000,0,20.5,10.070000,0.000000,29.590000,48.35,42,74.210000,12.16,0,3.000000,0

6,01:15-01:30,22.560000,0.000000,2.960000,2.600000,0,20.84,0,0,0,100.200000,0,0,213.710000,87.220000,48.350000,62.5,0,22.560000,48.35,0,0.000000,29.010000,193.400000,0,0.000000,0,173.290000,37,0,58.000000,7.01,0,261.670000,0,20.83,10.070000,0.000000,29.590000,48.35,37,74.210000,12.25,0,3.000000,0

