Column1,Block,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27731/C,NR/2025/27462/A/76622,NR/2025/27499/A/77004,NR/2025/27393/A/76946,NR/2025/27360/A/76950,NR/2025/26889/A/77006,NR/2025/26561/A/76960,NR/2025/26861/A/76966,NR/2025/27242/A/76761,NR/2025/27724/A/77018,NR/2025/26085/A/76995,NR/2025/27168/A/76983,NR/2025/27167/A/76978,NR/2025/26952/A/76657,NR/2025/26785/A/76627,NR/2025/27725/A/77031,NR/2025/27088/A/77060,NR/2025/26445/A/77069,NR/2025/26777/A/76690,NR/2025/27359/A/76952,NR/2025/26860/A/76908,NR/2025/27749/C,NR/2025/26563/A/76961,NR/2025/26569/A/76963,NR/2025/27162/A/77114,NR/2025/26570/A/76964,NR/2025/27281/A/77105,NR/2025/27727/A/77022,NR/2025/27157/A/76688,NR/2025/26975/A/77115,NR/2025/26564/A/76962,NR/2025/27361/A/76948,NR/2025/27834/C,NR/2025/27763/C,NR/2025/27765/C,NR/2025/27836/C,NR/2025/27816/C,NR/2025/27806/C,NR/2025/27728/A/77023,NR/2025/27726/A/77024,NR/2025/27817/C,NR/2025/27809/C,NR/2025/27835/C,NR/2025/27810/C,NR/2025/27837/C,NR/2025/27818/C,NR/2025/27811/C,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/76954,NR/2025/27622/A/77010,Total
,,NDMC,APPCPL,APPCPL,NVVNL,MANIKARAN,PTC,PowerPulse,INSTINCT,SIMHAPURI,BAWANA_GAS,KEIPL,PUNJAB,PTC,DELHI,IEXL,IEXL,HPXL,BRPL,BRPL,HPXL,PowerPulse,PowerPulse,GMRETL,DIAPL,ITCLH,PTC,PTC,PXIL,IEXL,APPCPL,NVVNL,NVVNL,INSTINCT,BRPL,BRPL,BRPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,MANIKARAN,APPCPL,KEIPL,APPCPL,PowerPulse,BRPL,APPCPL,PXIL,MANIKARAN,APPCPL,NVVNL,INSTINCT,APPCPL,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,IEXL,NVVNL,SECI_Trader,BRPL,IEXL,
,,NA,CSEB_State,NA,NA,MP_State,TELANGANA_State,NA,NA,NA,DELHI_UT,CSEB_State,DELHI_UT,ODISHA_STATE,HIMACHAL_STATE,NA,MSEB_State,JK_and_LADAKH_UT,NA,NA,MSEB_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,GoHP_Rampur_STATE,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,CSEB_State,NA,CSEB_State,Manipur_State,NA,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,Manipur_State,NA,CSEB_State,NA,MSEB_State,NA,NA,NA,NA,
,,JIPL,CSPDCL,DBPL,JHABUA_IPP,BLAPOWER_MP,NAVABHARAT,COASTGEN,SIMHAPURI,SIMHAPURI,BAWANA_GAS,CSPDCL,BAWANA_GAS,NBVL_OTCL,CHANJUII,MBMP,JSWEL_MSEB,O2Z,DADRT2,RIHAND2,GRETAENERGY,APL_Raipur_TPP,COASTGEN,GBHHPL,GBHHPL,ITCWIND,GoHP_Rampur,GoHP_Chamera1,MBMP,MBMP,SKS_Raigarh,ILFS,JPNIGRIE_JNSTPP,JPL2,RIHAND1,JPL2,JPL2,MAHAN_ENERGEN,APL_Raigarh_TPP,CSEB_Beneficiary,APL_Raigarh_TPP,CSEB_Beneficiary,JPL2,CSEB_Beneficiary,Manipur_Ben,MAHAN_ENERGEN,RIHAND3,SKS_Raigarh,MBMP,CSEB_Beneficiary,JPL2,SORANG_HEP,JPL2,RKM_POWER,RKM_POWER,Kameng,Manipur_Ben,RKM_POWER,CSEB_Beneficiary,RKM_POWER,JSWEL_MSEB,ILFS,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,PUNJAB,BRPL,TPDDL,NDMC,MES_Delhi,BYPL,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,DIAPL,ITCLH,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BYPL,TPDDL,BYPL,NDMC,BYPL,BYPL,TPDDL,BRPL,NDMC,BRPL,BYPL,NDMC,TPDDL,BRPL,NDMC,NDMC,TPDDL,BYPL,NDMC,BYPL,NDMC,MES_Delhi,BRPL,TPDDL,BRPL,MES_Delhi,
,,East-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,South-West-North,South-East-North,North-North,West-North,North-North,East-West-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,North East-East-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.58,11.91,30,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1847.43

2,00:15-00:30,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.58,11.91,30,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1847.43

3,00:30-00:45,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.73

4,00:45-01:00,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.73

5,01:00-01:15,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.54

6,01:15-01:30,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.54

7,01:30-01:45,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.54

8,01:45-02:00,17.39,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,26.94,11.91,26.94,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1844.54

