Column1,Block,NR/2025/25623/C,NR/2025/25622/C,NR/2025/25518/A/58354,NR/2025/25516/A/58350,NR/2025/25517/A/58352,WR/2025/26426/A/58220,NR/2025/25159/A/58135,GNA/NR/2025/03/01/3469,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,WR/2025/26499/A/58445,WR/2025/26427/A/58221,WR/2025/26582/A/58441,GNARE/NR/2024/12/20/3668,Total
,,SJVNL,SJVNL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,KEIPL,ITCLH,NDMC,TPTCL,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,APPCPL,PTC,BAWANA_GAS,APPCPL,DELHI,APPCPL,PTC,APPCPL,KEIPL,APPCPL,SECI_Trader,
,,NA,NA,NA,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,RSRPL_BKN,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,BYPL,ITCWIND,TRN_ENERGY,BYPL,RKM_POWER,BAWANA_GAS,RKM_POWER,JPL2,SKS_Raigarh,JIPL,BYPL,BRPL,BAWANA_GAS,BYPL,CHANJUII,BRPL,BYPL,BRPL,BRPL,BRPL,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,HARYANA_STATE,KERALA_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,MSEB_State,CSEB_State,CSEB_State,DELHI_UT,
,,NDMC,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,CSEB_Beneficiary,ITCLH,NDMC,TPC_MSEB,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,AEML,HP,HARYANA,KSEB,TPDDL,AEML,HP,AEML,CSEB_Beneficiary,CSEB_Beneficiary,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-West,South-West-North,West-North,North-West,West-North,North-North,West-North,West-North,West-North,East-North,North-West,North-North,North-North,North-West-South,North-North,North-West,North-North,North-West,North-West,North-West,North-North,
1,00:00-00:15,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,200,3.95,42,63.42,0,24,24,0,868.45

2,00:15-00:30,0,0,0,0,0,167.53,0.43,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,190.26,25.16,200,3.95,42,63.42,0,24,24,0,864.7900000000001

3,00:30-00:45,0,0,0,0,0,167.53,0.43,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,190.26,25.16,200,3.95,42,63.42,0,24,24,0,864.7900000000001

4,00:45-01:00,0,0,0,0,0,167.53,0.43,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,190.26,25.16,200,3.95,42,63.42,0,24,24,0,864.7900000000001

5,01:00-01:15,0,0,0,0,0,167.53,0.43,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,190.26,25.16,200,3.68,42,63.42,0,24,24,0,864.52

