Block,Time,SASAN,KHSTPP-II,TALA,FSTPP I & II,KHSTPP-I,BRBCL,NJPC,KISHANGANGA,SEWA2,AURY_RF,ANTA_CRF,DADRI_CRF,RIHAND3,UNCHAHAR4,RAPPB,SINGRAULI,ANTA_RF,SALAL,AURY_GF,RAMPUR,URI,RIHAND2,UNCHAHAR2,ANTA_LF,DADRI_LF,DADRT2,TEHRI,PARBATI3,AURY_CRF,TANDA2,DADRI_GF,CHAMERA2,KOLDAM,CHAMERA3,JHAJJAR,DHAULIGNGA,NAPP,UNCHAHAR3,AURY_LF,CHAMERA1,BSIUL,ANTA_GF,RAPPC,UNCHAHAR1,DULHASTI,KOTESHWR,URI2,RIHAND1,SINGRAULI_HYDRO,DADRI_RF,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,403.819911,142.458160,0.000000,20.057440,44.742633,18.862546,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,12.325683,0.000000,0.000000,37.260552,119.939634,43.303458,0.000000,0.000000,587.488396,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,565.723663,0.000000,50.271504,26.652269,0.000000,0.000000,12.576015,0.000000,67.991888,19.370762,19.020948,10.004919,36.537827,93.591046,0.730951,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,403.819911,142.458160,0.000000,20.057440,44.742633,19.286003,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,12.325683,0.000000,0.000000,37.260552,119.939634,43.303458,0.000000,0.000000,587.488396,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,565.723663,0.000000,50.271504,26.652269,0.000000,0.000000,12.576015,0.000000,67.991888,19.370762,19.020948,10.004919,36.537827,93.591046,0.730951,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,403.819911,142.458160,0.000000,20.057440,44.742633,17.798145,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,31.937616,119.939634,43.303458,0.000000,0.000000,533.237538,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,565.723663,0.000000,50.271504,26.652269,0.000000,0.000000,12.576015,0.000000,67.991888,19.370762,19.020948,10.004919,36.537827,93.591046,0.730951,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,403.819911,142.458160,0.000000,20.057440,44.742633,17.147737,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,31.937616,119.939634,43.303458,0.000000,0.000000,509.336124,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,565.723663,0.000000,50.271504,26.652269,0.000000,0.000000,12.576015,0.000000,67.991888,19.370762,19.020948,10.004919,36.537827,93.591046,0.730951,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,403.819911,142.458160,0.000000,19.871137,44.742633,15.196350,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,31.937616,119.939634,38.707581,0.000000,0.000000,440.870824,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,565.723663,0.000000,50.271504,24.044435,0.000000,0.000000,12.576015,0.000000,67.991888,19.370762,19.020948,10.004919,36.537827,93.591046,0.730951,0.000000,0.370580,0,0,0,0,0

6,01:15-01:30,403.819911,123.654310,0.000000,17.092603,38.595625,15.016943,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,31.937616,119.939634,33.108951,0.000000,0.000000,365.655424,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,493.160088,0.000000,50.271504,20.577005,0.000000,0.000000,12.576015,0.000000,67.991888,16.356167,19.020948,20.009838,36.537827,93.591046,0.730951,0.000000,0.370580,0,0,0,0,0

7,01:30-01:45,403.819911,142.458160,0.000000,17.855750,44.742633,13.171843,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,37.260552,119.939634,33.108951,0.000000,0.000000,365.655424,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,416.016088,0.000000,50.271504,20.577005,0.000000,0.000000,12.576015,0.000000,67.991888,16.356167,19.020948,20.009838,36.537827,93.591046,0.730951,0.000000,0.370580,0,0,0,0,0

8,01:45-02:00,403.819911,142.458160,0.000000,17.855750,44.742633,13.920130,0.000000,5.297584,9.174815,0.000000,0.000000,0.000000,125.918390,2.979687,0.000000,144.634344,0.000000,76.542489,0.000000,0.000000,37.260552,119.939634,38.707581,0.000000,0.000000,365.655424,23.973047,0.000000,0.000000,5.166805,0.000000,15.589461,0.000000,11.184643,366.836788,0.000000,50.271504,24.044435,0.000000,0.000000,12.576015,0.000000,67.991888,19.264689,19.020948,20.009838,36.537827,93.591046,0.730951,0.000000,0.370580,0,0,0,0,0

