Block,Time Block,KOTESHWR,KOLDAM,KKNP,KISHANGANGA,KKNPPU2,KHSTPP-II,KHSTPP-I,PARBATI2,BRBCL,CHAMERA1,BSIUL,KGSU3AND4,KGSU1AND2,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,DULHASTI,FSTPP I & II,JHAJJAR,TANAKPUR,TALST2,TANDA2,NNTPP,NLCEXP,NLCIIST1,NJPC,MAPS,NLCIIST2,NTPL,NLCTS2EXP,NAPP,RIHAND1,RAPPB,SASAN,RSTPSU1TO6,TALA,SINGRAULI_HYDRO,RAPPD,RSTPSU7,SIMHST1,SALAL,SIMHST2,RIHAND3,RAPPC,SEWA2,SINGRAULI,RIHAND2,DADRI_RF,AURY_LF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_LF,ANTA_GF,AURY_CRF,DADRI_GF,AURY_RF,ANTA_CRF,ANTA_RF,PARBATI3,RAMPUR,KUDGI,UNCHAHAR1,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TEHRI,TelanganaSTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.08,9.26,0,8.34,0,143.26,38.41,47.18,19.32,40.72,18.89,0,0,47.15,373.62,33.84,21.14,56.69,15.16,369.11,6.06,0,5.33,0,0,0,174.74,0,0,0,0,24.38,93.92,0,360.69,0,4.54,1.07,0,0,0,81.38,0,92.53,65.41,12.18,145.23,120.34,0,0,0,0,0,0,0,0,0,0,0,0,56.33,6.74,0,18.38,37.15,49.28,0,1.34,36.8,23.22,29.3,0,0,0,0,0,0

2,00:15-00:30,10.08,9.26,0,8.34,0,143.26,38.21,47.18,18.33,40.72,18.89,0,0,47.15,332.49,33.84,21.14,56.69,15.16,311.15,6.06,0,5.33,0,0,0,174.74,0,0,0,0,24.38,93.92,0,360.8,0,4.54,1.07,0,0,0,81.38,0,92.53,65.41,12.18,145.23,120.34,0,0,0,0,0,0,0,0,0,0,0,0,56.33,6.74,0,18.38,37.15,49.28,0,1.34,36.8,23.22,29.3,0,0,0,0,0,0

3,00:30-00:45,10.08,9.26,0,8.34,0,143.26,38.21,47.18,17.47,40.72,12.6,0,0,47.15,252.87,33.84,21.14,56.69,15.16,264.78,6.06,0,5.33,0,0,0,174.74,0,0,0,0,24.38,93.92,0,360.8,0,4.54,1.07,0,0,0,81.38,0,92.53,65.41,12.18,145.23,120.34,0,0,0,0,0,0,0,0,0,0,0,0,56.33,6.74,0,18.38,37.15,49.28,0,1.34,36.8,23.22,29.3,0,0,0,0,0,0

4,00:45-01:00,10.08,9.26,0,8.34,0,143.26,38.21,47.18,15.88,40.72,12.6,0,0,47.72,194.91,33.84,21.14,56.69,15.16,264.78,6.06,0,5.33,0,0,0,174.74,0,0,0,0,24.38,93.92,0,360.8,0,4.54,1.07,0,0,0,81.38,0,92.53,65.41,12.18,145.23,120.34,0,0,0,0,0,0,0,0,0,0,0,0,56.33,6.74,0,18.38,37.15,49.28,0,1.34,36.8,23.22,29.3,0,0,0,0,0,0

5,01:00-01:15,10.08,9.26,0,8.34,0,143.26,38.21,47.18,15.64,40.72,12.6,0,0,47.72,163.3,33.84,21.14,56.69,11.58,258.64,6.06,0,5.33,0,0,0,174.74,0,0,0,0,24.38,93.92,0,360.8,0,4.54,1.07,0,0,0,81.38,0,92.53,65.41,12.18,145.23,120.34,0,0,0,0,0,0,0,0,0,0,0,0,56.33,6.74,0,13.79,28.25,49.28,0,1.34,36.8,17.78,29.3,0,0,0,0,0,0

