Block,Time,DHAULIGNGA,CHAMERA2,DADRI_RF,RAPPC,CHAMERA3,PARBATI3,BSIUL,RAPPB,DADRI_LF,SEWA2,AURY_GF,NAPP,DADRI_CRF,AURY_LF,SINGRAULI_HYDRO,RIHAND1,ANTA_LF,ANTA_GF,ANTA_CRF,NJPC,AURY_CRF,DULHASTI,CHAMERA1,UNCHAHAR4,ANTA_RF,KOLDAM,DADRI_GF,TANDA2,TANAKPUR,UNCHAHAR1,URI2,RAMPUR,AURY_RF,RIHAND2,SINGRAULI,SALAL,TEHRI,JHAJJAR,DADRT2,URI,KOTESHWR,UNCHAHAR3,RIHAND3,KISHANGANGA,UNCHAHAR2,SASAN,KUDGI,TALA,FSTPP I & II,KHSTPP-I,KHSTPP-II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.450528,38.218139,17.495654,49.713900,28.112454,0.000000,6.277777,0.000000,0.000000,0.000000,0.000000,37.190750,0.000000,0.000000,1.036249,88.991600,0.000000,0.000000,0.000000,147.939346,0.000000,47.819981,27.127928,0.000000,0.000000,0.000000,0.000000,0.000000,12.886758,19.141468,14.313332,0.000000,17.203624,114.262312,134.754563,83.176192,43.876728,631.792092,664.322252,23.493782,8.583820,25.527144,119.621759,0.000000,41.003944,401.520184,67.77,25.594758,8.067282,36.416910,142.691864,19.346045,0,0,0,0,0

2,00:15-00:30,26.450528,38.218139,24.324792,49.713900,28.112454,0.000000,6.277777,0.000000,0.000000,0.000000,0.000000,37.190750,0.000000,0.000000,1.036249,88.991600,0.000000,0.000000,0.000000,147.939346,0.000000,47.819981,27.127928,0.000000,0.000000,0.000000,0.000000,0.000000,12.886758,19.331490,14.313332,0.000000,18.853644,114.262312,134.754563,83.176192,43.876728,631.792092,664.322252,23.493782,8.583820,25.527144,119.621759,0.000000,41.003944,401.550412,60.94,25.594758,8.067282,36.416910,142.691864,16.915154,0,0,0,0,0

3,00:30-00:45,26.450528,38.218139,23.220230,49.713900,28.112454,0.000000,6.277777,0.000000,0.000000,0.000000,0.000000,37.190750,0.000000,0.000000,1.036249,88.991600,0.000000,0.000000,0.000000,147.939346,0.000000,47.819981,27.127928,0.000000,0.000000,0.000000,0.000000,0.000000,12.886758,18.779162,14.313332,0.000000,18.853644,114.262312,134.754563,83.176192,43.876728,625.649640,664.322252,23.493782,8.583820,25.527144,119.621759,0.000000,41.003944,401.550412,54.20,25.594758,8.067282,34.959189,142.691864,17.160211,0,0,0,0,0

4,00:45-01:00,26.450528,38.218139,23.220230,49.713900,28.112454,0.000000,6.277777,0.000000,0.000000,0.000000,0.000000,37.190750,0.000000,0.000000,1.036249,88.991600,0.000000,0.000000,0.000000,147.939346,0.000000,47.819981,27.127928,0.000000,0.000000,0.000000,0.000000,0.000000,12.886758,18.779162,14.313332,0.000000,18.853644,114.262312,134.754563,83.176192,43.876728,580.960380,664.322252,23.493782,8.583820,25.527144,119.621759,0.000000,41.003944,401.550412,54.20,25.594758,8.067282,34.959189,142.691864,19.171309,0,0,0,0,0

5,01:00-01:15,26.450528,38.218139,43.939796,49.713900,28.112454,0.000000,6.307570,0.000000,0.000000,0.000000,0.000000,37.190750,0.000000,0.000000,1.036249,88.991600,0.000000,0.000000,0.000000,147.939346,0.000000,47.819981,27.127928,0.000000,0.000000,0.000000,0.000000,0.000000,12.886758,18.779162,31.749572,0.000000,51.103426,114.262312,134.754563,83.176192,43.876728,536.271120,664.322252,23.493782,8.583820,25.527144,119.621759,0.000000,41.003944,401.550412,41.35,25.594758,8.067282,34.959189,142.691864,18.828492,0,0,0,0,0

