Block,Time,FSTPP I & II,KHSTPP-II,KOTESHWR,NAPP,NJPC,NLCIIST2,RIHAND3,TALA,UNCHAHAR3,VALLURNTECL,ANTA_GF,NNTPP,RIHAND1,RIHAND2,ANTA_CRF,AURY_RF,BRBCL,BSIUL,CHAMERA2,KGSU1AND2,PARBATI3,RAPPC,RSTPSU1TO6,SASAN,SINGRAULI,UNCHAHAR2,ANTA_LF,DADRI_CRF,DADRI_RF,DADRT2,DHAULIGNGA,KKNPPU2,NLCIIST1,SALAL,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,UNCHAHAR4,URI2,ANTA_RF,DADRI_LF,CHAMERA3,KGSU3AND4,KOLDAM,RAMPUR,RAPPB,TALST2,DADRI_GF,CHAMERA1,JHAJJAR,KKNP,MAPS,NLCEXP,NLCTS2EXP,NTPL,SIMHST2,AURY_CRF,KHSTPP-I,KUDGI,SEWA2,TANDA2,AURY_LF,DULHASTI,KISHANGANGA,RSTPSU7,SIMHST1,TEHRI,TelanganaSTPP,URI,AURY_GF
1,00:00-00:15,20.8,98.87,38.64,45.82,139.68,0,127.6,10.09,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,65.07,0,3.2,20.96,1.62,36.35,48.26,0,32.08,0,4.01,3,0,0,0,42.15,608.81,0,0,0,0,0,0,0,44.92,0,11.58,0.12,0,53.79,1.44,0,0,76.9,0,41.95,0

2,00:15-00:30,20.8,98.87,38.64,45.82,139.68,0,127.6,10.09,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,65.07,0,3.2,20.96,1.62,36.35,48.26,0,32.08,0,4.01,3,0,0,0,42.15,608.81,0,0,0,0,0,0,0,44.92,0,11.58,0.12,0,53.79,1.44,0,0,76.9,0,41.95,0

3,00:30-00:45,20.8,98.87,38.64,45.82,139.68,0,127.6,10.09,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,5.13,20.96,1.62,36.35,48.26,0,32.08,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,11.58,0.12,0,53.79,1.44,0,0,76.9,0,41.95,0

4,00:45-01:00,20.8,98.87,38.64,45.82,139.68,0,127.6,10.29,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,11.91,20.96,1.62,36.35,48.26,0,32.08,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,11.58,0.12,0,53.79,1.44,0,0,76.9,0,41.95,0

5,01:00-01:15,20.8,98.87,38.64,45.82,139.68,0,127.6,10.29,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,11.91,20.96,1.62,36.35,48.26,0,21.37,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,11.58,2.89,0,53.79,1.44,0,0,76.9,0,41.95,0

6,01:15-01:30,20.8,98.87,38.64,45.82,139.68,0,127.6,10.64,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,17.56,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,12.94,20.96,1.62,36.35,48.26,0,21.37,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,11.58,2.89,0,53.79,1.44,0,0,76.9,0,50.23,0

7,01:30-01:45,20.8,98.87,38.64,45.82,139.68,0,127.6,10.64,0,0,0,0,47.33,121.71,0,78.06,15,6.52,44.22,0,15.46,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,12.94,20.96,1.62,36.35,48.26,0,21.37,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,11.58,2.89,0,53.79,1.44,0,0,76.9,0,50.23,0

8,01:45-02:00,20.8,98.87,38.64,45.82,139.68,0,127.6,10.64,0,0,0,0,47.33,121.71,0,78.06,15,6.52,28.34,0,15.46,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,12.94,20.96,1.62,36.35,48.26,0,21.37,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,5.75,2.89,0,53.79,1.44,0,0,76.9,0,41.95,0

9,02:00-02:15,20.8,98.87,38.64,45.82,139.68,0,127.6,10.82,0,0,0,0,47.33,121.71,0,78.06,15,6.52,28.34,0,15.46,60.53,0,225,141.78,19.62,0,0,101.12,686.07,40.4,0,0,79.38,0,12.94,20.96,1.62,36.35,48.26,0,21.37,0,4.01,3,0,0,0,28.1,608.81,0,0,0,0,0,0,0,44.92,0,5.75,2.89,0,53.79,1.44,0,0,76.9,0,41.95,0

