Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/05012040/L_NR_2020_02,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/16/6639,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8510,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/6490,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/4565,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/9334,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,GNA/NR/2025/04/16/2341
1,00:00-00:15,0,85.99,28.67,11,0,0,0,0,0,0,0,0,0,0,0,0,65,65,28.67,21.67,0,28.87,96.23,72.17,115.06,5.99,272.09,72.17,13.17,8.75,4.5,9.62,2.89,260.4,0,7.7,0,9.62,52.5,48.12,86.8,0,1.92,9.62,2.89,3.85,0,2.89,30.27,30,100.25,3.85,22.13,30,19.25

2,00:15-00:30,0,87.49,29.17,10.4,0,0,0,0,0,0,0,0,0,0,0,0,63.34,63.33,29.17,21.67,0,28.87,96.23,72.17,115.06,5.99,272.09,72.17,13.17,8.75,4.5,9.62,2.89,260.4,0,7.7,0,9.62,52.5,48.12,86.8,0,1.92,9.62,2.89,3.85,0,2.89,30.27,30,100.25,3.85,22.13,30,19.25

3,00:30-00:45,0,88.01,29.33,9.6,0,0,0,0,0,0,0,0,0,0,0,0,62.66,62.67,29.33,21.33,0,28.87,96.23,72.17,115.06,5.99,272.09,72.17,13.17,8.75,4.5,9.62,2.89,260.4,0,7.7,0,9.62,52.5,48.12,86.8,0,1.92,9.62,2.89,3.85,0,2.89,31.28,30,100.25,3.85,22.13,30,19.25

4,00:45-01:00,0,88.99,29.67,9,0,0,0,0,0,0,0,0,0,0,0,0,61.66,61.67,29.67,21,0,28.87,96.23,72.17,115.06,5.99,272.09,72.17,13.17,8.75,4.5,9.62,2.89,260.4,0,7.7,0,9.62,52.5,48.12,86.8,0,1.92,9.62,2.89,3.85,0,2.89,31.28,30,100.25,3.85,22.13,30,19.25

5,01:00-01:15,0,85.99,28.67,8.4,0,0,0,0,0,0,0,0,0,0,0,0,60.66,60.67,28.67,20.67,0,28.87,96.23,72.17,115.06,5.83,272.09,72.17,13.08,8.75,4.5,9.62,2.89,260.4,0,7.7,0,9.62,52.5,48.12,86.8,0,1.92,9.62,2.89,3.85,0,2.89,31.28,30,100.25,3.85,22.13,30,19.25

