Block,Time,DADRT2,FSTPP I & II,KKNPPU2,KUDGI,NLCIIST2,NLCTS2EXP,NTPL,RIHAND3,DADRI_LF,JHAJJAR,KKNP,NJPC,PARBATI3,RIHAND2,UNCHAHAR4,URI,URI2,AURY_GF,DADRI_RF,KGSU3AND4,NLCIIST1,RAMPUR,RAPPB,RAPPC,RSTPSU1TO6,SALAL,SINGRAULI,TALA,TALST2,VALLURNTECL,DADRI_GF,CHAMERA3,KOTESHWR,NAPP,SEWA2,SIMHST2,TANDA2,TelanganaSTPP,UNCHAHAR2,AURY_RF,CHAMERA2,DULHASTI,KOLDAM,NNTPP,RAPPD,RSTPSU7,SIMHST1,TEHRI,UNCHAHAR3,ANTA_RF,DADRI_CRF,BSIUL,CHAMERA1,KGSU1AND2,MAPS,NLCEXP,PARBATI2,RIHAND1,TANAKPUR,TEHRIPSP,UNCHAHAR1,AURY_LF,KHSTPP-I,KISHANGANGA,SINGRAULI_HYDRO,ANTA_LF,AURY_CRF,BRBCL,DHAULIGNGA,KHSTPP-II,SASAN,ANTA_CRF,ANTA_GF
1,00:00-00:15,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,49.95,0,13.04,42.15,0,0,0,56.54,64.81,5.64,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

2,00:15-00:30,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,49.95,0,13.04,42.15,0,0,0,56.54,64.81,5.64,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

3,00:30-00:45,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,49.95,0,13.04,42.15,0,0,0,56.54,64.81,9.99,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

4,00:45-01:00,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,49.95,0,13.04,42.15,0,0,0,56.54,64.81,9.99,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

5,01:00-01:15,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,51.27,0,13.04,42.15,0,0,0,56.54,64.81,9.99,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

6,01:15-01:30,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.23,38.16,0,67.78999999999999,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,51.27,0,13.04,42.15,0,0,0,56.54,64.81,9.99,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

7,01:30-01:45,550.85,16.96,0,0,0,0,0,92.37,0,447.13,0,181.16,76.85,96.8,2.48,50.79,38.16,0,76.69,0,0,7.04,0,68.22,0,85.41,155.58,0.59,0,0,0,35.09,7.54,24.62,0,0,6.87,0,45.12,78.22,48.9,58.79,10.65,0,25.64,0,0,18.82,27.99,51.27,0,13.04,42.15,0,0,0,56.54,64.81,5.64,51.99,21.83,0,45.83,8.71,0.69,0,0,20,43.85,148.3,410.62,0,0

