Block,Time Block,CHAMERA3,DADRT2,DHAULIGNGA,BRBCL,CHAMERA1,BSIUL,CHAMERA2,FSTPP I & II,DULHASTI,JHAJJAR,NLCEXP,NLCIIST1,NJPC,NLCIIST2,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNPPU2,KKNP,KOTESHWR,KOLDAM,KUDGI,NAPP,MAPS,NLCTS2EXP,NNTPP,NTPL,RAMPUR,PARBATI3,DADRI_GF,DADRI_CRF,RAPPC,RAPPB,RSTPSU1TO6,RIHAND3,RIHAND1,RIHAND2,SASAN,RSTPSU7,SALAL,SEWA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,TelanganaSTPP,TEHRI,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,ANTA_CRF,ANTA_LF,ANTA_GF,AURY_RF,ANTA_RF,AURY_LF,AURY_GF,AURY_CRF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,311.92,0,17.53,0,0,1.79,13.52,31.62,230.15,0,0,0,0,0,0,43.38,0,94.85,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,7.99,0,0,0,11.52,0,4.38,14.26,11.3,38.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,311.92,0,16.56,0,0,1.79,11.54,31.62,230.15,0,0,0,0,0,0,37.39,0,81.76,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,7.99,0,0,0,11.52,0,4.38,14.26,11.3,38.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,311.92,0,15.36,0,0,1.79,11.54,31.62,230.15,0,0,0,0,0,0,37.39,0,81.76,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,3.07,0,0,0,11.52,0,4.38,14.26,11.3,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,311.92,0,12.05,0,0,1.79,11.54,31.62,230.15,0,0,0,0,0,0,37.39,0,81.76,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,3.07,0,0,0,11.52,0,4.38,14.26,11.3,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,311.92,0,13.03,0,0,1.79,9.6,31.62,230.15,0,0,0,0,0,0,26.13,0,61.2,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,3.07,0,0,0,11.52,0,4.38,14.26,11.3,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,297.53,0,11.2,0,0,1.79,9.6,31.62,230.15,0,0,0,0,0,0,26.13,0,61.2,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,3.07,0,0,0,11.52,0,4.38,14.26,11.3,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,283.14,0,10.87,0,0,1.79,9.6,15.81,230.15,0,0,0,0,0,0,26.13,0,61.2,0,0,8.51,0,0,41.29,0,0,0,0,0,0,0,0,50.28,0,0,119.26,88.26,113.93,401.73,0,1.34,0,0,0,0,134,0,0,3.07,0,0,0,11.52,0,4.38,14.26,11.3,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

