Block,Time Block,KISHANGANGA,KKNP,DULHASTI,DHAULIGNGA,BSIUL,BRBCL,CHAMERA1,DADRT2,CHAMERA3,CHAMERA2,ANTA_LF,AURY_LF,DADRI_GF,ANTA_GF,AURY_GF,DADRI_CRF,AURY_CRF,DADRI_RF,ANTA_CRF,ANTA_RF,AURY_RF,DADRI_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,UNCHAHAR2,URI,TANAKPUR,TALA,TelanganaSTPP,TEHRI,TANDA2,TALST2,SASAN,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RIHAND2,KHSTPP-I,KHSTPP-II,KGSU3AND4,KGSU1AND2,NLCIIST2,NLCTS2EXP,RAMPUR,RIHAND1,NNTPP,NTPL,RAPPC,PARBATI3,NLCIIST1,RAPPB,FSTPP I & II,JHAJJAR,KOTESHWR,MAPS,KKNPPU2,KUDGI,NLCEXP,KOLDAM,NJPC,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,18.92,0,346.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,4.15,14.26,22.5,1.07,0,0,0,0,0,0,402.77,0.52,0,0,0,0,1.35,0,100.17,58.36,114.22,18.41,78.45,0,0,0,0,0,88.49,0,0,51.87,0,0,0,11,229.34,17.07,0,0,0,0,0,0,42.21,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,18.28,0,361.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,4.15,14.26,22.5,1.07,0,0,0,0,0,0,402.77,0.52,0,0,0,0,1.35,0,100.17,58.36,114.22,18.41,78.45,0,0,0,0,0,88.49,0,0,51.87,0,0,0,11,229.34,17.07,0,0,0,0,0,0,42.21,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,16.49,0,361.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,4.15,14.26,22.5,1.07,0,0,0,0,0,0,402.77,0,0,0,0,0,1.35,0,100.17,58.36,114.22,18.41,78.45,0,0,0,0,0,88.49,0,0,51.87,0,0,0,11,229.34,17.07,0,0,0,0,0,0,42.21,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,15.71,0,361.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,4.15,14.26,22.5,1.07,0,0,0,0,0,0,402.77,0,0,0,0,0,1.35,0,100.17,58.36,114.22,18.41,78.45,0,0,0,0,0,88.49,0,0,51.87,0,0,0,11,229.34,17.07,0,0,0,0,0,0,42.21,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,12.96,0,361.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,4.15,14.26,22.5,1.07,5.54,0,0,0,0,0,402.77,0,0,0,0,0,1.35,0,100.17,58.36,114.22,18.41,78.45,0,0,0,0,0,88.49,0,0,51.87,0,0,0,11,229.34,17.07,0,0,0,0,0,0,42.21,0,0,0,0,0

