Block,Time,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06
1,00:00-00:15,0,7,18.34,7.34,18.34,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.760000,27.060000,179.890000,67.660000,30.930000,0.000000,30.930000

2,00:15-00:30,0,7,17.34,7.34,17.34,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.760000,27.060000,179.890000,67.660000,30.930000,0.000000,30.930000

3,00:30-00:45,0,7,16.67,7.34,16.67,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.760000,27.060000,179.890000,67.660000,30.930000,0.000000,30.930000

4,00:45-01:00,0,7,16.42,7.34,16.42,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.760000,27.060000,179.890000,67.660000,30.930000,0.000000,30.930000

5,01:00-01:15,0,7,16.08,7.34,16.08,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.690000,27.060000,179.890000,67.660000,23.470000,0.000000,23.470000

6,01:15-01:30,0,7,20.01,7.34,20.01,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.690000,27.060000,179.890000,67.660000,23.470000,0.000000,23.470000

7,01:30-01:45,0,7,16.17,7.34,16.17,0,0,22,0,0,0,0,7.33,0,0,0,0,0,59.100000,7.01,101.230000,0.000000,0.000000,0.000000,2.640000,3.060000,271.830000,2.690000,27.060000,179.890000,67.660000,23.470000,0.000000,23.470000

