Block,Time,JHAJJAR,SIMHST2,ANTA_GF,DADRT2,KISHANGANGA,NLCIIST2,RSTPSU7,SEWA2,TALST2,TEHRI,UNCHAHAR2,ANTA_CRF,AURY_GF,DADRI_GF,KUDGI,NAPP,RAMPUR,RSTPSU1TO6,SALAL,ANTA_RF,DULHASTI,KHSTPP-I,KHSTPP-II,KKNP,KOLDAM,NLCEXP,NLCTS2EXP,RIHAND2,RIHAND3,SINGRAULI_HYDRO,UNCHAHAR3,BRBCL,CHAMERA1,KGSU1AND2,KKNPPU2,RAPPC,RIHAND1,VALLURNTECL,ANTA_LF,DADRI_RF,BSIUL,NLCIIST1,RAPPB,SINGRAULI,URI,AURY_RF,DADRI_CRF,CHAMERA2,FSTPP I & II,KOTESHWR,NTPL,PARBATI2,SASAN,TelanganaSTPP,UNCHAHAR1,CHAMERA3,DHAULIGNGA,KGSU3AND4,MAPS,NJPC,NNTPP,PARBATI3,SIMHST1,TALA,TANAKPUR,TANDA2,UNCHAHAR4,URI2,AURY_CRF,AURY_LF,DADRI_LF
1,00:00-00:15,458.51,0,0,684.5,8.56,0,0,18.88,0,12.66,20.77,0,0,0,0,52.26,3.27,0,13.36,53.44,19.81,45.53,148.3,0,0,0,0,124.53,130.75,0.98,27.67,20,28.1,0,0,67.58,97.18,0,0,74.38,13.04,0,0,150.25,51.34,85.35,0,16.25,11.7,10.41,0,0,348.98,0,21.63,0,0,0,0,82.89,0,4.29,0,0,0,5.65,2.28,39.63,0,0,0

2,00:15-00:30,458.51,0,0,684.5,8.56,0,0,18.88,0,12.66,20.77,0,0,0,0,52.26,2.18,0,13.36,53.44,19.81,45.53,148.3,0,0,0,0,124.53,130.75,0.98,27.67,20,28.1,0,0,67.58,97.18,0,0,74.38,13.04,0,0,150.25,51.34,85.35,0,16.25,11.7,10.41,0,0,348.98,0,21.63,0,0,0,0,55.26,0,4.29,0,0,0,5.65,2.28,39.63,0,0,0

3,00:30-00:45,458.51,0,0,684.5,8.56,0,0,18.88,0,0,20.77,0,0,0,0,52.26,2.18,0,13.36,53.44,19.81,45.53,148.3,0,0,0,0,124.53,130.75,0.98,27.67,20,28.1,0,0,67.58,97.18,0,0,74.38,13.04,0,0,150.25,51.34,85.35,0,16.25,11.7,10.41,0,0,348.98,0,21.63,0,0,0,0,55.26,0,4.29,0,0,0,5.65,2.28,39.63,0,0,0

4,00:45-01:00,458.51,0,0,684.5,8.56,0,0,18.88,0,0,20.77,0,0,0,0,52.26,2.18,0,13.36,53.44,19.81,45.53,148.3,0,0,0,0,124.53,130.75,0.98,27.67,20,28.1,0,0,67.58,97.18,0,0,74.38,13.04,0,0,150.25,51.34,85.35,0,16.25,11.7,10.41,0,0,348.98,0,21.63,0,0,0,0,55.26,0,4.29,0,0,0,5.65,2.28,39.63,0,0,0

5,01:00-01:15,458.51,0,0,684.5,8.56,0,0,18.88,0,0,20.77,0,0,0,0,52.26,2.18,0,13.36,53.44,19.81,45.53,148.3,0,0,0,0,124.53,130.75,0.98,27.67,20,28.1,0,0,67.58,97.18,0,0,74.38,13.04,0,0,150.25,48.57,85.35,0,4.11,11.7,10.41,0,0,348.98,0,21.63,0,0,0,0,55.26,0,16.86,0,0,0.77,5.65,2.28,37.71,0,0,0

