Time,Block,NR/2023/10959/A,NR/2023/10786/A,NR/2023/11953/A,NR/2023/10947/A,NR/2023/13513/C,NR/2023/13502/C,NR/2023/12706/A,NR/2023/13491/D,NR/2023/13495/D,NR/2023/12915/F,NR/2023/11447/A,NR/2023/12872/F,NR/2023/13369/F,NR/2023/10561/A,NR/2023/11507/A,NR/2023/12169/A,NR/2023/11709/A,NR/2023/13490/D,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/13494/D,NR/2023/10956/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13509/C,NR/2023/13506/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/10460/A,NR/2023/11266/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12920/F,NR/2023/12917/F,NR/2023/13504/C,NR/2023/12919/F,NR/2023/12922/F,NR/2023/13315/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/13493/D,Total
,,NVVNL,STATKRAFT,KEIPL,APPCPL,IEXL,TPTCL,HPXL,NVVNL,TS1PL_BKN,SHPPBPL,TPTCL,ITCLH,SJVNL,PTC,TPTCL,APPCPL,MANIKARAN,NVVNL,TPTCL,MANIKARAN,APPCPL,TS1PL_BKN,NVVNL,SHPPBPL,NVVNL,TPDDL,GBHHPL,SHPPBPL,NVVNL,KEIPL,GMRETL,TPTCL,MANIKARAN,KEIPL,SHPPBPL,SHPPBPL,SHPPBPL,HPXL,SHPPBPL,SHPPBPL,IEXL,SHPPBPL,TPTCL,MANIKARAN,NVVNL,Total

,,NA,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,WEST BENGAL,NA,NA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,TAMIL NADU,MEGHALAYA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,NA,
,,KAMENG,TANGEDCO,Meghalaya_Ben,HP,ACBIL,HP-GOVT,B_S_ISPAT_MH,KAMENG,TS1PL_BKN,SHPPBPL,HP-GOVT,ITCWIND,IPCL_WB,JPNIGRIE_JNSTPP,JPL,HP,TANGEDCO,SOLAPUR_SOLAR,APNRL,TANGEDCO,Meghalaya_Ben,TS1PL_BKN,JPNIGRIE_JNSTPP,SHPPBPL,SEIL,CHANJUII,GBHHPL,SHPPBPL,SKS Raigarh,TANGEDCO,Meghalaya_Ben,KWHEP,HP,Meghalaya_Ben,SHPPBPL,SHPPBPL,SHPPBPL,Teesta_III,SHPPBPL,SHPPBPL,SAPU1234,SHPPBPL,NBVLIPP,HP,SORANG_HEP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,BYPL,BYPL,BRPL,BRPL,NDMC,TPDDL,BYPL,BAL184,BRPL,ITCLH,NDMC,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),TPDDL,BRPL,BYPL,BRPL,BRPL,MHIL,TPDDL,TPDDL,DIAPL,BAL224,NDMC,BYPL,BYPL,BRPL,BRPL,BYPL,MAX-HPTL,BMDRC,BAL234,BRPL,AISHER,JHPL-DL,MES (Delhi),UHL,TPDDL,BRPL,TPDDL,
,,North East-East-North,South-West-North,North East-East-North,North-North,West-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,South-West-North,East-North,West-North,West-North,North-North,South-West-North,West-North,East-North,South-West-North,North East-East-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,North-North,East-North,North-North,North-North,
1,00:00-00:15,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,15.060000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,322.240000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1726.13

2,00:15-00:30,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,15.060000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,306.760000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1710.65

3,00:30-00:45,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,15.060000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,304.830000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1708.72

4,00:45-01:00,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,15.060000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,252.570000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1656.46

5,01:00-01:15,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,212.890000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1616.74

6,01:15-01:30,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,183.860000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1587.71

7,01:30-01:45,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,102.580000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1506.43

8,01:45-02:00,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,65.800000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1469.65

