Block,Time,ANTA_GF,NAPP,FSTPP I & II,RAMPUR,URI2,AURY_CRF,TEHRI,RAPPB,KOLDAM,PARBATI3,NJPC,AURY_RF,KHSTPP-II,UNCHAHAR3,TALA,KHSTPP-I,ANTA_LF,UNCHAHAR1,BRBCL,DADRI_RF,KUDGI,SASAN,DHAULIGNGA,TANDA2,UNCHAHAR2,UNCHAHAR4,CHAMERA3,ANTA_CRF,SEWA2,ANTA_RF,SINGRAULI,SINGRAULI_HYDRO,RAPPC,AURY_LF,DADRT2,TANAKPUR,URI,KOTESHWR,RIHAND2,RIHAND1,JHAJJAR,CHAMERA2,DADRI_CRF,BSIUL,DADRI_LF,DADRI_GF,SALAL,KISHANGANGA,AURY_GF,DULHASTI,CHAMERA1,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,19.336503,14.972826,0.000000,9.768170,0.000000,0.000000,0.000000,0.000000,0.000000,20.171479,0.000000,95.212788,21.584664,1.423254,43.782004,0.000000,8.120874,18.796510,0.000000,39.70,405.453114,1.278992,0.000000,38.505475,0.000000,0.000000,0.000000,0.000000,0.000000,100.208700,0.574172,25.432968,0.000000,330.698392,4.961057,49.703515,8.591807,0.000000,89.074400,379.952759,0.000000,0.000000,0.000000,0.000000,0.000000,2.475106,0.000000,0.000000,15.954825,0.000000,119.733058,0,0,0,0,0

2,00:15-00:30,0.000000,19.336503,14.972826,0.000000,9.768170,0.000000,0.000000,0.000000,0.000000,0.000000,20.171479,0.000000,95.212788,21.584664,1.423254,43.782004,0.000000,8.120874,17.873588,0.000000,38.73,405.453114,1.278992,0.000000,35.458389,0.000000,0.000000,0.000000,0.000000,0.000000,100.208700,0.574172,25.432968,0.000000,330.698392,4.961057,49.703515,8.591807,0.000000,89.074400,348.970359,0.000000,0.000000,0.000000,0.000000,0.000000,2.475106,0.000000,0.000000,15.954825,0.000000,119.733058,0,0,0,0,0

3,00:30-00:45,0.000000,19.336503,14.972826,0.000000,9.768170,0.000000,0.000000,0.000000,0.000000,0.000000,20.171479,0.000000,95.212788,21.584664,1.423254,43.782004,0.000000,8.120874,16.969129,0.000000,35.82,405.453114,1.278992,0.000000,35.458389,0.000000,0.000000,0.000000,0.000000,0.000000,100.208700,0.574172,25.432968,0.000000,330.698392,11.782510,10.688928,8.591807,0.000000,89.074400,348.963485,0.000000,0.000000,0.000000,0.000000,0.000000,2.475106,0.000000,0.000000,15.954825,0.000000,119.733058,0,0,0,0,0

4,00:45-01:00,0.000000,19.336503,14.972826,0.000000,9.768170,0.000000,0.000000,0.000000,0.000000,0.000000,20.171479,0.000000,95.212788,21.584664,1.423254,43.782004,0.000000,8.120874,16.549133,0.000000,35.82,405.453114,1.278992,0.000000,35.458389,0.000000,0.000000,0.000000,0.000000,0.000000,100.208700,0.574172,25.432968,0.000000,309.323537,11.782510,10.688928,8.591807,0.000000,89.074400,348.963485,0.000000,0.000000,0.000000,0.000000,0.000000,2.475106,0.000000,0.000000,15.954825,0.000000,119.733058,0,0,0,0,0

5,01:00-01:15,0.000000,19.336503,14.972826,0.000000,9.768170,0.000000,0.000000,0.000000,0.000000,0.000000,20.171479,0.000000,95.212788,17.999322,1.423254,43.782004,0.000000,8.120874,13.658192,0.000000,33.89,405.453114,1.278992,0.000000,35.458389,0.000000,0.000000,0.000000,0.000000,0.000000,100.208700,0.574172,25.432968,0.000000,309.323537,11.782510,10.688928,8.591807,0.000000,89.074400,348.963485,0.000000,0.000000,0.000000,0.000000,0.000000,2.475106,0.000000,0.000000,15.954825,0.000000,119.733058,0,0,0,0,0

