Block,Time Block,DADRI_RF,DADRI_LF,TEHRI,TelanganaSTPP,TANDA2,SINGRAULI,UNCHAHAR1,TALST2,TANAKPUR,TEHRIPSP,TALA,SINGRAULI_HYDRO,UNCHAHAR2,URI,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,AURY_RF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,SIMHST2,RSTPSU1TO6,SALAL,SEWA2,RSTPSU7,RIHAND3,SASAN,SIMHST1,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NAPP,NNTPP,NTPL,PARBATI3,PARBATI2,KUDGI,RAPPB,RAPPD,RAPPC,RIHAND1,RIHAND2,KKNP,KKNPPU2,KISHANGANGA,KHSTPP-II,KGSU1AND2,JHAJJAR,BRBCL,CHAMERA3,CHAMERA2,CHAMERA1,FSTPP I & II,DULHASTI,KHSTPP-I,KGSU3AND4,KOTESHWR,KOLDAM,BSIUL,DHAULIGNGA,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,76.08,0,49.87,0,5.34,143.49,20.56,0,11.46,68.06,23.63,1.09,42.58,34.01,0,0,0,3.1,0,0,0,72.5,37.51,25.97,0,32.85,0,0,0,0,82.21,0,0,125.93,332.88,0,0,0,0,169.2,0,5.49,0,23.56,0,0,31.48,0,0,0,23.87,31.88,74.06,120.57,0,0,6.79,142.74,0,233.94,17.07,32.67,45.35,40.57,20.02,53.3,32.43,0,19.53,8.3,0,40.87,528.78,0,0,0,0,0

2,00:15-00:30,0,0,49.87,0,5.34,143.49,20.56,0,3.71,68.06,23.63,1.09,42.58,34.01,0,0,0,3.1,0,0,0,0,37.51,25.97,0,0,0,0,0,0,82.21,0,0,125.93,332.97,0,0,0,0,169.2,0,5.49,0,23.56,0,0,31.48,0,0,0,23.87,31.88,74.06,120.57,0,0,6.79,142.74,0,222.4,13.51,32.67,45.35,40.57,20.02,53.3,32.43,0,19.53,8.3,0,40.87,528.78,0,0,0,0,0

3,00:30-00:45,0,0,49.87,0,5.34,143.49,20.56,0,3.71,68.06,23.63,1.09,42.58,34.01,0,0,0,3.1,0,0,0,0,37.51,25.97,0,0,0,0,0,0,82.21,0,0,125.93,332.97,0,0,0,0,169.2,0,5.49,0,23.56,0,0,21.46,0,0,0,23.87,31.88,74.06,120.57,0,0,6.79,142.74,0,222.4,13.48,32.67,45.35,40.57,20.02,53.3,32.43,0,19.53,8.3,0,40.87,528.78,0,0,0,0,0

4,00:45-01:00,0,0,49.87,0,5.34,143.49,20.56,0,3.71,68.06,23.63,1.09,42.58,34.01,0,0,0,3.1,0,0,0,0,37.51,25.97,0,0,0,0,0,0,82.21,0,0,125.93,332.97,0,0,0,0,169.2,0,5.49,0,23.56,0,0,21.46,0,0,0,23.87,31.88,74.06,120.57,0,0,6.79,142.74,0,222.4,13.48,32.67,45.35,40.57,20.02,53.3,32.43,0,19.53,8.3,0,40.87,528.78,0,0,0,0,0

5,01:00-01:15,0,0,49.87,0,5.34,143.49,20.56,0,11.46,68.06,23.63,1.09,42.58,29.75,0,0,0,3.1,0,0,0,0,37.51,25.97,0,0,0,0,0,0,82.21,0,0,125.93,332.97,0,0,0,0,169.2,0,5.49,0,23.56,0,0,21.46,0,0,0,23.87,31.88,74.06,120.57,0,0,6.79,142.74,0,222.4,13.48,32.67,45.35,40.57,20.02,53.3,32.43,0,19.53,8.3,0,40.87,528.78,0,0,0,0,0

