Block,Time,UNCHAHAR4,ANTA_CRF,DADRI_GF,RAPPC,NAPP,DHAULIGNGA,CHAMERA2,AURY_CRF,AURY_LF,SINGRAULI_HYDRO,RIHAND1,KOTESHWR,AURY_GF,ANTA_LF,NJPC,DADRI_RF,DADRI_CRF,RAPPB,ANTA_RF,CHAMERA1,UNCHAHAR3,KISHANGANGA,CHAMERA3,UNCHAHAR1,URI2,FSTPP I & II,SINGRAULI,UNCHAHAR2,TEHRI,KHSTPP-I,RIHAND3,DULHASTI,KOLDAM,RAMPUR,RIHAND2,TALA,BRBCL,BSIUL,SEWA2,KUDGI,DADRI_LF,KHSTPP-II,SASAN,ANTA_GF,DADRT2,TANAKPUR,JHAJJAR,URI,AURY_RF,PARBATI3,TANDA2,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,25.477003,0.000000,28.397762,18.738414,31.297612,13.756950,134.489874,40.923403,53.521776,30.991275,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.480989,0.000000,15.257228,86.89,0.000000,94.937436,325.822500,0.000000,663.017370,6.183387,400.308034,45.829469,22.306289,0.000000,0.000000,82.451918,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,25.477003,0.000000,28.397762,18.738414,31.297612,13.756950,134.489874,40.923403,40.141332,31.057883,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.480989,0.000000,15.257228,86.89,0.000000,94.937436,325.822500,0.000000,663.017370,6.183387,400.308034,45.829469,47.179098,0.000000,0.000000,82.451918,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,25.477003,0.000000,28.397762,18.738414,31.297612,13.756950,134.489874,40.923403,40.141332,31.057883,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.480989,0.000000,15.257228,90.48,0.000000,94.937436,325.822500,0.000000,663.017370,6.183387,361.692034,45.829469,47.179098,0.000000,0.000000,82.451918,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,25.477003,0.000000,28.397762,18.738414,31.297612,13.756950,134.489874,40.923403,40.141332,31.057883,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.480989,0.000000,15.257228,90.51,0.000000,94.937436,325.822500,0.000000,663.017370,12.119439,361.692034,45.829469,15.320898,0.000000,0.000000,82.451918,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,25.477003,0.000000,28.397762,18.738414,30.793734,13.756950,134.489874,40.923403,40.141332,31.057883,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.087470,0.000000,15.257228,90.51,0.000000,94.937436,325.822500,0.000000,663.017370,12.119439,361.692034,45.829469,0.000000,0.000000,0.000000,82.451918,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,49.003704,37.530118,35.325627,0.000000,0.000000,0.000000,0.627915,88.816800,22.464472,0.000000,0.000000,147.648759,0.000000,0.000000,0.000000,0.000000,41.183964,21.902030,0.000000,28.397762,15.909695,30.793734,13.756950,134.489874,40.923403,53.521776,31.057883,119.386794,15.854185,0.000000,0.000000,114.037875,26.963622,14.083068,0.000000,15.257228,90.51,0.000000,94.937436,325.822500,0.000000,580.926361,12.119439,317.061495,45.829469,0.000000,0.000000,0.000000,82.451918,0,0,0,0,0

