Block,Time Block,CHAMERA2,CHAMERA1,BRBCL,BSIUL,RAMPUR,RAPPB,RIHAND3,RAPPC,RIHAND1,RIHAND2,RSTPSU1TO6,RSTPSU7,SALAL,SASAN,SEWA2,KGSU3AND4,KGSU1AND2,NLCEXP,NJPC,NAPP,NTPL,PARBATI3,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KOLDAM,MAPS,KKNP,KUDGI,KKNPPU2,KOTESHWR,CHAMERA3,DADRT2,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,KHSTPP-I,KISHANGANGA,KHSTPP-II,DADRI_RF,TEHRI,UNCHAHAR1,SINGRAULI_HYDRO,TANDA2,SIMHST1,TALST2,SIMHST2,TALA,UNCHAHAR2,TANAKPUR,TelanganaSTPP,SINGRAULI,AURY_LF,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,URI,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.69,0,16.76,6.28,0,0,119.82,24.46,88.66,114.45,0,0,12.32,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,654.28,333.47,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,23.33,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,12.69,0,17.19,12.57,0,0,119.82,24.46,88.66,114.45,0,0,12.32,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,658.34,403.13,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,23.33,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,12.69,0,16.51,12.57,0,0,119.82,24.46,88.66,114.45,0,0,13.44,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,658.34,399.13,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,32.02,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,12.69,0,14.7,12.57,0,0,119.82,24.46,88.66,114.45,0,0,68.31,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,658.34,399.13,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,32.02,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,12.69,0,12.07,12.57,0,0,119.82,24.46,88.66,114.45,0,0,68.31,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,654.28,361.81,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,32.02,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,12.69,0,12.54,12.57,0,0,119.82,24.46,88.66,114.45,0,0,68.31,396.8,10.15,0,0,0,0,41.17,0,3.44,0,0,0,0,0,0,0,0,0,6.18,0,654.28,345.57,0,17.54,15.88,44.17,0,142.92,0,0,20.09,0.76,0,0,0,0,0,40.85,0,0,134.62,0,0,32.02,0,25.44,0,0,0,0,33.52,0,0,0,0,0,0,0,0,0,0,0

