Time,Block,NR/2023/18055/C,WR/2023/20256/A/1212,NR/2023/17901/A/1192,NR/2023/17905/A/1164,NR/2023/17064/A,NR/2023/16187/A,WR/2023/20254/A/1210,WR/2023/18560/A,WR/2023/18560/A/II,NR/2023/18058/C,NR/2023/18056/C,Total
,,TPDDL,MANIKARAN,ITCLH,IEXL,GMRETL,APPCPL,APPCPL,MANIKARAN,MANIKARAN,SJVNL,NVVNL,Total

,,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,NA,
,,CHANJUII,BRPL,ITCWIND,BSHP,BYPL,BYPL,BRPL,BYPL,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI,GOA,DELHI,DELHI,RAJASTHAN,HIMACHAL PRADESH,GOA,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,
,,TPDDL,GOA_Beneficiary,ITCLH,MES (Delhi),RUVNL,HP,GOA_Beneficiary,AEML,AEML,NDMC,MES (Delhi),
,,North-North,North-West,South-West-North,North-North,North-North,North-North,North-West,North-East-West,North-West,North-North,West-North,
1,00:00-00:15,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

2,00:15-00:30,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

3,00:30-00:45,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

4,00:45-01:00,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

5,01:00-01:15,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

6,01:15-01:30,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

7,01:30-01:45,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

8,01:45-02:00,2.670000,0.000000,0.480000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

9,02:00-02:15,2.670000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.2

10,02:15-02:30,2.670000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.2

11,02:30-02:45,2.670000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.2

12,02:45-03:00,2.670000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.2

13,03:00-03:15,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

14,03:15-03:30,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

15,03:30-03:45,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

16,03:45-04:00,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

17,04:00-04:15,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

18,04:15-04:30,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

19,04:30-04:45,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

20,04:45-05:00,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

21,05:00-05:15,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

22,05:15-05:30,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

23,05:30-05:45,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

24,05:45-06:00,2.570000,0.000000,0.430000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.1

25,06:00-06:15,2.570000,0.000000,0.430000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,204.93

26,06:15-06:30,2.570000,0.000000,0.430000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,204.93

27,06:30-06:45,2.570000,0.000000,0.430000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,204.93

28,06:45-07:00,2.570000,0.000000,0.430000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,204.93

29,07:00-07:15,2.570000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.1,205.18

30,07:15-07:30,2.570000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.54,205.62

31,07:30-07:45,2.570000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.95,206.03

32,07:45:08:00,2.570000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,1.24,206.32

33,08:00-08:15,2.570000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,0,1.72,157.18

34,08:15-08:30,2.570000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,0,2.22,157.68

35,08:30-08:45,2.570000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,0,2.51,157.97

36,08:45:09:00,2.570000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,0,2.92,158.38

37,09:00:09:15,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,3.36,183.02

38,09:15-09:30,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,3.87,183.53

39,09:30-09:45,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.26,183.92

40,09:45-10:00,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.34,184

41,10:00-10:15,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.82,184.48

42,10:15-10:30,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.1,184.76

43,10:30-10:45,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.46,185.12

44,10:45-11:00,2.670000,0.000000,0.960000,1.930000,50.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.76,185.42

45,11:00-11:15,2.670000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.16,235.82

46,11:15-11:30,2.670000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.29,235.95

