Column1,Block,NR/2025/25518/A/60650,NR/2025/25517/A/60641,NR/2025/25516/A/60639,NR/2025/25776/C,GNARE/NR/2024/12/20/3668,NR/2025/25777/C,GNA/WR/2025/01/01/8625,WR/2025/26426/A/60438,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,WR/2025/26427/A/60439,GNA/WR/2025/01/01/9606,WR/2025/26582/A/60673,WR/2025/26499/A/60675,GNA/SR/2025/03/01/7500,NR/2025/25159/A/60308,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,SECI_Trader,SJVNL,TPTCL,KEIPL,NDMC,APPCPL,KEIPL,APPCPL,APPCPL,APPCPL,APPCPL,ITCLH,NDMC,NDMC,NDMC,PTC,BAWANA_GAS,PTC,NDMC,NDMC,PUNJAB,DELHI,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,
,,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,APSEPL_FTG,RSRPL_BKN,BYPL,BYPL,TRN_ENERGY,BRPL,BRPL,BYPL,BRPL,BRPL,BYPL,ITCWIND,RKM_POWER,RKM_POWER,SKS_Raigarh,BYPL,BAWANA_GAS,BRPL,JIPL,JPL2,BAWANA_GAS,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,CSEB_State,DELHI_UT,MSEB_State,CSEB_State,MSEB_State,CSEB_State,MSEB_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,TPDDL,NDMC,TPC_MSEB,CSEB_Beneficiary,NDMC,AEML,CSEB_Beneficiary,AEML,CSEB_Beneficiary,AEML,KSEB,ITCLH,NDMC,NDMC,NDMC,HP,HARYANA,HP,NDMC,NDMC,PUNJAB,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-West,North-West,West-North,North-West,North-West,North-West,North-West,North-West,North-West-South,South-West-North,West-North,West-North,West-North,North-North,North-North,North-North,East-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

2,00:15-00:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

3,00:30-00:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

4,00:45-01:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

5,01:00-01:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

6,01:15-01:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,32,237.82,17.35,23.41,32,6.6,947.59

7,01:30-01:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,937.57

8,01:45-02:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,200,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,937.57

9,02:00-02:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

10,02:15-02:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

11,02:30-02:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

12,02:45-03:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

13,03:00-03:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

14,03:15-03:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

15,03:30-03:45,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

16,03:45-04:00,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

17,04:00-04:15,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

18,04:15-04:30,0,0,0,0,0,0,0,168.21,6.75,42,24.09,0,24.09,0,0,0.43,23.41,23.41,6.75,79.27,26.99,237.82,17.35,23.41,26.99,6.6,737.57

