Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01042024/30042024/PTC/OA/32001,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,0.000000,115.280000,30.280000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,1.550000,86.980000,0.000000,7.180000,30.860000,2.460000,100.460000,0.000000,30.860000,17.84,53.5,0,0,36.67,36.67,14,0,22.01,0,0,0,17.83,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,115.280000,30.280000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,1.550000,86.980000,0.000000,7.180000,30.860000,2.460000,100.460000,0.000000,30.860000,18,54,0,0,37.33,37.33,13.66,0,20.6,0,0,0,18,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,115.280000,30.280000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,1.550000,86.980000,0.000000,7.180000,22.500000,2.460000,100.460000,0.000000,22.500000,18.16,54.5,0,0,37.67,37.67,13.34,0,26.01,0,0,0,18.17,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,115.280000,29.270000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,1.550000,86.980000,0.000000,7.180000,22.500000,2.460000,100.460000,0.000000,22.500000,18,54,0,0,37.67,37.67,13.34,0,23.01,0,0,0,18,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,115.280000,29.270000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,2.320000,86.980000,0.000000,7.090000,22.500000,2.460000,100.460000,0.000000,22.500000,21.34,64,0,0,38,38,13.34,0,20,0,0,0,21.33,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,115.280000,28.770000,261.810000,40.980000,16.080000,0.000000,272.660000,2.230000,0.000000,2.320000,86.980000,0.000000,7.090000,22.500000,2.460000,100.460000,0.000000,22.500000,20.84,62.5,0,0,38.33,38.33,13.34,0,17,0,0,0,20.83,0,0,0,0,0,0,0,0,0

