Column1,Block,NR/2024/23567/C,GNA/NR/2024/10/07/4941,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/07/7135,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/07/5167,NR/2024/23215/A/40178,NR/2024/23560/C,NR/2024/23414/A/40068,NR/2024/23569/C,NR/2024/23384/A/40069,NR/2024/23588/C,NR/2024/23382/A/40206,NR/2024/23397/A/40096,NR/2024/23356/A/40075,NR/2024/23446/A/40204,NR/2024/23389/A/40074,NR/2024/23383/A/40062,GNA/NR/2024/10/01/9582,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/01/8106,Total
,,NVVNL,HPXL,BAWANA_GAS,DELHI,PXIL,NDMC,NDMC,NDMC,PXIL,PTC,TPDDL,IEXL,HPXL,IEXL,PXIL,NVVNL,DIAPL,SJVNL,NVVNL,SJVNL,ITCLH,NDMC,PUNJAB,PTC,NDMC,
,,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,KARNATAKA_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,KARNATAKA_STATE,ODISHA_STATE,NA,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,HIMACHAL_STATE,NA,
,,SOLAPUR_SOLAR,JITPL,BAWANA_GAS,CHANJUII,APL_Raipur_TPP,RKM_POWER,RKM_POWER,JPL2,JSWEL,HP,JHAJJAR,NSLSUGAR,SINGOLI,NSLSUGAR,ODISHA,JITPL,GBHHPL,TPSL_BKN2,JITPL,RSRPL_BKN,ITCWIND,SKS_Raigarh,BAWANA_GAS,HP,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,MES_Delhi,BRPL,HARYANA,TPDDL,BRPL,NDMC,NDMC,NDMC,BRPL,BYPL,TPDDL,MES_Delhi,BYPL,MES_Delhi,TPDDL,NDMC,DIAPL,NDMC,NDMC,NDMC,ITCLH,NDMC,PUNJAB,BRPL,NDMC,
,,West-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,South-East-North,North-North,North-North,South-West-North,North-North,South-West-North,East-North,East-North,North-North,North-North,East-North,North-North,South-West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,0,242.52,0,6.48,0,39.77,39.77,39.77,48.5,18.19,174.62,0,63.06,6.79,0,24.99,2.91,0,0,0,0.58,12.49,18.25,54.57,12.49,805.7499999999999

2,00:15-00:30,0,242.52,0,6.48,0,39.77,39.77,39.77,48.5,18.19,174.62,0,63.06,6.79,0,24.99,2.91,0,0,0,0.58,12.49,18.25,54.57,12.49,805.7499999999999

3,00:30-00:45,0,242.52,18.25,6.48,0,39.77,39.77,39.77,48.5,18.19,174.62,0,63.06,6.79,0,24.99,2.91,0,0,0,0.58,12.49,18.25,54.57,12.49,823.9999999999999

4,00:45-01:00,0,242.52,18.25,6.48,0,39.77,39.77,39.77,48.5,18.19,174.62,0,63.06,6.79,0,24.99,2.91,0,0,0,0.58,12.49,18.25,54.57,12.49,823.9999999999999

5,01:00-01:15,0,242.52,25.8,6.48,0,37.47,37.47,37.47,48.5,18.19,174.62,0,0,6.79,0,24.99,2.91,0,0,0,0.53,12.49,25.8,54.57,12.49,769.0899999999999

