Column1,Time,GNA/NR/2024/09/16/2535,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7908,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/6020,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171
1,00:00-00:15,145.38,87.42,8.81,32.95,20.6,5.87,274.04,0,263.14,0,0,0,0,0,0,0,0,0,57.5,41.67,0,0,19.16,19.17,16.34,0,41.67,0,33.01,0,0,0,18.51,7.98,80.77,0,27.25,111.95,82.38,11.84,17.52,32,2.13

2,00:15-00:30,145.38,87.42,8.81,32.95,20.6,5.87,274.04,0,263.14,0,0,0,0,0,0,0,0,0,58,42,0,0,19.34,19.33,16,0,42,0,32.41,0,0,0,18.51,7.98,80.77,0,28.26,107.68,82.38,11.84,17.52,32,2.13

3,00:30-00:45,145.38,87.42,8.81,32.95,20.6,5.87,274.04,0,263.14,0,0,0,0,0,0,0,0,0,58.5,42.33,0,0,19.5,19.5,16,0,42.33,0,32.01,0,0,0,18.51,7.98,80.77,0,28.26,103.4,82.38,11.84,17.52,0,2.13

4,00:45-01:00,145.38,87.42,8.81,32.95,20.6,5.87,274.04,0,263.14,0,0,0,0,0,0,0,0,0,59,43,0,0,19.66,19.67,16,0,43,0,31.41,0,0,0,18.51,7.98,80.77,0,28.26,99.13,82.38,11.84,17.52,0,2.13

5,01:00-01:15,145.38,87.42,8.81,32.95,20.6,5.78,274.04,0,263.14,0,0,0,0,0,0,0,0,0,59.5,43.33,0,0,19.84,19.83,16.34,0,43.33,0,30.61,0,0,0,18.51,7.98,80.77,0,28.26,94.86,82.38,11.66,17.52,0,2.13

6,01:15-01:30,145.38,87.42,8.81,32.95,20.6,5.78,274.04,0,263.14,0,0,0,0,0,0,0,0,0,60,43.67,0,0,20,20,16.34,0,43.67,0,29.81,0,0,0,18.51,7.98,80.77,0,28.26,90.58,82.38,11.66,17.52,0,2.13

