Block,Time,PARBATI3,CHAMERA3,DADRT2,NAPP,KISHANGANGA,AURY_RF,BSIUL,ANTA_GF,AURY_GF,JHAJJAR,RIHAND3,ANTA_LF,SEWA2,RAPPC,UNCHAHAR2,DADRI_CRF,RIHAND1,DHAULIGNGA,TEHRI,CHAMERA1,URI,RAMPUR,AURY_CRF,TANAKPUR,DULHASTI,AURY_LF,RAPPB,DADRI_GF,RIHAND2,DADRI_LF,SINGRAULI,ANTA_RF,DADRI_RF,SINGRAULI_HYDRO,ANTA_CRF,UNCHAHAR1,UNCHAHAR3,URI2,KOLDAM,KOTESHWR,SALAL,NJPC,CHAMERA2,UNCHAHAR4,TANDA2,BRBCL,FSTPP I & II,KHSTPP-I,TALA,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,394.666000,119.040531,0.000000,15.212977,51.671117,24.065000,0.000000,88.559200,0.000000,0.000000,0.000000,40.382995,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,6.738200,0.000000,30.704420,0.000000,8.067551,12.303953,21.877973,0.000000,0.000000,0.000000,14.438987,15.530300,35.636511,0.000000,372.526200,141.998541,0,0,0,0,0

15,03:30-03:45,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,471.674000,119.040531,0.000000,15.212977,51.671117,24.065000,0.000000,88.559200,0.000000,0.000000,0.000000,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,8.035015,0.000000,30.704420,0.000000,8.067551,12.303953,21.877973,0.000000,0.000000,0.000000,14.438987,15.530300,35.636511,0.000000,372.526200,141.998541,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,471.674000,119.040531,0.000000,15.212977,51.671117,28.083120,0.000000,88.559200,0.000000,0.000000,0.000000,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,8.035015,0.000000,30.704420,0.000000,8.067551,12.303953,21.877973,0.000000,0.000000,0.000000,14.438987,15.530300,44.177218,0.000000,372.526200,141.998541,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,471.674000,119.040531,0.000000,15.212977,51.671117,28.883102,0.000000,88.559200,0.000000,0.000000,0.000000,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,8.035015,0.000000,30.704420,0.000000,8.067551,12.303953,21.877973,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,471.674000,119.040531,0.000000,15.212977,51.671117,28.883102,0.000000,88.559200,0.000000,0.000000,0.000000,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,8.035015,0.000000,30.704420,0.000000,8.067551,12.303953,36.463288,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

19,04:30-04:45,0.000000,0.000000,182.561518,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,432.929350,119.040531,0.000000,15.212977,51.671117,28.883102,0.000000,88.559200,0.000000,0.000000,13.523914,40.382995,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,8.035015,0.000000,30.704420,0.000000,8.067551,12.303953,54.694932,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

20,04:45-05:00,0.000000,0.000000,191.199928,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,436.466905,119.040531,0.000000,15.212977,51.671117,35.621302,0.000000,88.559200,0.000000,0.000000,13.523914,40.382995,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.759705,0.000000,30.704420,0.000000,8.067551,12.303953,90.064321,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

21,05:00-05:15,0.000000,0.000000,209.552862,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,436.466905,119.040531,0.000000,15.212977,51.671117,35.621302,0.000000,88.559200,0.000000,0.000000,13.523914,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.759705,0.000000,30.704420,0.000000,8.067551,12.303953,90.064321,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

22,05:15-05:30,0.000000,0.000000,226.655193,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,441.279905,119.040531,0.000000,15.212977,51.671117,35.621302,0.000000,88.559200,0.000000,12.371335,13.523914,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.759705,0.000000,30.704420,0.000000,8.067551,12.303953,90.064321,0.000000,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

23,05:30-05:45,0.000000,9.315889,243.808731,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,446.092905,119.040531,0.000000,15.212977,51.671117,35.621302,0.000000,88.559200,0.000000,24.742670,27.047828,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.759705,2.400935,30.704420,0.000000,8.067551,12.303953,90.064321,3.207864,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

24,05:45-06:00,0.000000,18.631778,260.729540,41.739106,0.000000,0.000000,6.276922,0.000000,0.000000,383.523905,119.040531,0.000000,15.212977,51.671117,35.621302,0.000000,88.559200,0.000000,24.742670,27.047828,32.944022,0.000000,0.000000,0.000000,15.862543,0.000000,0.000000,0.000000,113.707125,0.000000,134.099806,0.000000,0.000000,0.644509,0.000000,9.759705,3.988052,30.704420,0.000000,16.135101,12.303953,90.064321,12.677481,0.000000,0.000000,14.438987,17.394182,44.663754,0.000000,372.526200,141.998541,0,0,0,0,0

