Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2024/11/01/5474,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5428,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/9061,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/3646,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/5444,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/4503,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/9042,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/1868,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07
1,00:00-00:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,14.79,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,27.76,7.2,76.09,17.45,0,233.71,271.33,8.72,69.96,26.91,6.85,14.79,0,0,0,26.91

2,00:15-00:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.43,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,27.76,7.2,76.09,17.45,0,233.71,271.33,8.72,69.96,26.91,6.85,15.43,0,0,0,26.91

3,00:30-00:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.43,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,28.26,7.2,76.09,17.45,0,233.71,271.33,8.72,69.96,26.91,6.85,15.43,0,0,0,26.91

4,00:45-01:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.75,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,28.26,7.2,76.09,17.45,0,233.71,271.33,8.72,69.96,26.91,6.85,15.75,0,0,0,26.91

5,01:00-01:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.75,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,28.26,7.2,76.09,17.45,0,204.92,271.33,8.72,69.96,26.91,6.85,15.75,0,0,0,26.91

6,01:15-01:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.75,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,28.26,7.2,76.09,17.45,0,204.92,271.33,8.72,69.96,26.91,6.85,15.75,0,0,0,26.91

7,01:30-01:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.75,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,28.26,7.2,57.29,17.45,0,204.92,230.3,8.72,69.96,26.91,6.85,15.75,0,0,0,26.91

8,01:45-02:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,15.75,285.39,2.31,26.17,0,26.17,2.22,95.12,2.51,26.17,3.75,52.78,27.25,7.2,57.29,17.45,0,204.92,191.92,8.72,69.96,26.91,6.85,15.75,0,0,0,26.91

9,02:00-02:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,13.67,285.39,2.16,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,13.67,0,0,0,26.91

10,02:15-02:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,13.67,285.39,2.16,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,13.67,0,0,0,26.91

11,02:30-02:45,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,13.67,285.39,2.16,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,13.67,0,0,0,26.91

12,02:45-03:00,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,13.67,285.39,2.16,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,13.67,0,0,0,26.91

13,03:00-03:15,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.33,285.39,1.54,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.33,0,0,0,26.91

14,03:15-03:30,20.56,0,0,0,0,7.01,0,0,0,0,0,6.85,0,6.66,0,0,12.67,285.39,2.01,26.17,0,26.17,2.22,95.12,2.45,26.17,3.75,52.78,26.75,7.2,57.29,17.45,0,204.92,149.23,8.72,69.96,26.91,6.85,12.67,0,0,0,26.91

