Block,Time,L_NR_2022_08,L_NR_2019_05,L_NR_2023_04,LT-31,L_NR_2019_11,L_NR_2020_02,L_NR_2021_15,L_NR_2019_19,L_NR_2019_06,LT-59,L_NR_2021_12,L_NR_2012_04,LT-36,L_NR_2012_01,L_NR_2018_61,L_NR_2021_16,L_NR_2022_09,SH-06,LT-35,L_NR_2020_06,L_NR_2012_02,L_NR_2019_07,L_NR_2012_07,L_NR_2020_05,L_NR_2020_07,L_NR_2021_13,L_NR_2021_17,L_NR_2022_10,L_NR_2021_14,SH-07,LT-05
1,00:00-00:15,8.67,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,31.48,30.910000,0.000000,12.78,261.400000,0,74.070000,38.35,12.78,0,0,31.48,0,30.910000,115.960000

2,00:15-00:30,8.91,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,31.71,30.910000,0.000000,12.88,261.400000,0,74.070000,38.63,12.88,0,0,31.71,0,30.910000,115.960000

3,00:30-00:45,9.07,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,24.96,30.910000,0.000000,13.68,261.400000,0,74.070000,41.04,13.69,0,0,24.96,0,30.910000,115.960000

4,00:45-01:00,9.2,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,24.41,30.910000,0.000000,13.68,261.400000,0,74.070000,41.02,13.67,0,0,24.41,0,30.910000,115.960000

5,01:00-01:15,8.98,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,23.7,30.910000,0.000000,13.45,261.400000,0,74.070000,40.35,13.46,0,0,23.7,0,30.910000,115.960000

6,01:15-01:30,8.78,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,23.08,30.910000,0.000000,13.18,261.400000,0,74.070000,39.54,13.18,0,0,23.08,0,30.910000,115.960000

7,01:30-01:45,8.7,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,23.13,30.910000,0.000000,12.94,261.400000,0,74.070000,38.83,12.95,0,0,23.13,0,30.910000,115.960000

8,01:45-02:00,8.65,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,23.11,30.910000,0.000000,12.65,261.400000,0,74.070000,37.96,12.65,0,0,23.11,0,30.910000,115.960000

9,02:00-02:15,9.28,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,30.12,30.910000,0.000000,13.2,261.400000,0,74.070000,39.61,13.21,0,0,30.12,0,30.910000,115.960000

10,02:15-02:30,9.28,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,30.47,30.910000,0.000000,12.99,261.400000,0,74.070000,38.97,12.99,0,0,30.47,0,30.910000,115.960000

11,02:30-02:45,9.28,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,30.48,30.910000,0.000000,12.78,261.400000,0,74.070000,38.35,12.78,0,0,30.48,0,30.910000,115.960000

12,02:45-03:00,9.35,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.410000,0,271.690000,0.000000,101.190000,43.02,0,31.23,30.910000,0.000000,12.44,261.400000,0,74.070000,37.31,12.42,0,0,31.23,0,30.910000,115.960000

13,03:00-03:15,9.59,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,33.01,25.520000,0.000000,12.15,261.400000,0,74.070000,36.44,12.14,0,0,33.01,0,30.910000,115.960000

14,03:15-03:30,9.32,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,26.52,25.520000,0.000000,12.05,261.400000,0,74.070000,36.13,12.04,0,0,26.52,0,30.910000,115.960000

15,03:30-03:45,9.03,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,26.3,25.520000,0.000000,10.82,261.400000,0,64.920000,32.45,10.81,0,0,26.3,0,30.910000,115.960000

16,03:45-04:00,8.71,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,25.6,25.520000,0.000000,10.88,261.400000,0,64.920000,32.65,10.89,0,0,25.6,0,30.910000,115.960000

17,04:00-04:15,8.35,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,24.64,25.520000,0.000000,10.2,261.400000,0,64.920000,30.59,10.2,0,0,24.64,0,30.910000,115.960000

18,04:15-04:30,8.44,0,31.750000,0.000000,0.000000,11.890000,0,0,0,10.490000,0,271.690000,0.000000,101.190000,43.02,0,24.22,25.520000,0.000000,9.51,261.400000,0,64.920000,28.54,9.52,0,0,24.22,0,30.910000,115.960000

