Time,Block,NR/2024/18691/A/6061,NR/2024/18388/A/5859,NR/2024/18721/C,NER/2024/2023/A/6021,WR/2024/21675/A/6047,WR/2024/21740/A/6064,WR/2024/21710/A/6060,Total
,,MANIKARAN,ITCLH,NVVNL,APPCPL,APPCPL,MANIKARAN,MANIKARAN,Total

,,DELHI,ANDHRA PRADESH,NA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,ITCWIND,SOLAPUR_SOLAR,BRPL,BRPL,BYPL,BRPL,
,,HIMACHAL PRADESH,DELHI,DELHI,MANIPUR,GOA,MAHARASHTRA,GOA,
,,HP,ITCLH,MES (Delhi),Manipur_Ben,GOA_Beneficiary,AEML,GOA_Beneficiary,
,,North-North,South-West-North,West-North,North-East-North East,North-West,North-West,North-West,
1,00:00-00:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

2,00:15-00:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

3,00:30-00:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

4,00:45-01:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

5,01:00-01:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

6,01:15-01:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

7,01:30-01:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

8,01:45-02:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

9,02:00-02:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

10,02:15-02:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

11,02:30-02:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

12,02:45-03:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

13,03:00-03:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

14,03:15-03:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

15,03:30-03:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

16,03:45-04:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

17,04:00-04:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

18,04:15-04:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

19,04:30-04:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

20,04:45-05:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

21,05:00-05:15,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

22,05:15-05:30,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

23,05:30-05:45,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

24,05:45-06:00,0.000000,0.390000,0,25.000000,0.000000,100.000000,0.000000,125.39

25,06:00-06:15,182.660000,0.530000,0,25.000000,0.000000,100.000000,0.000000,308.19

26,06:15-06:30,182.660000,0.530000,0,25.000000,0.000000,100.000000,0.000000,308.19

27,06:30-06:45,182.660000,0.530000,0,25.000000,0.000000,100.000000,0.000000,308.19

28,06:45-07:00,182.660000,0.530000,0,25.000000,0.000000,100.000000,0.000000,308.19

29,07:00-07:15,182.660000,0.580000,0.26,25.000000,0.000000,100.000000,0.000000,308.5

30,07:15-07:30,182.660000,0.580000,0.57,25.000000,0.000000,100.000000,0.000000,308.81

31,07:30-07:45,182.660000,0.580000,1,25.000000,0.000000,100.000000,0.000000,309.24

32,07:45:08:00,182.660000,0.580000,1.53,25.000000,0.000000,100.000000,0.000000,309.77

33,08:00-08:15,182.660000,0.960000,2.11,25.000000,0.000000,100.000000,0.000000,310.73

34,08:15-08:30,182.660000,0.960000,2.74,25.000000,0.000000,100.000000,0.000000,311.36

35,08:30-08:45,182.660000,0.960000,3.36,25.000000,0.000000,100.000000,0.000000,311.98

36,08:45:09:00,182.660000,0.960000,4,25.000000,0.000000,100.000000,0.000000,312.62

37,09:00:09:15,182.660000,0.960000,4.59,25.000000,0.000000,100.000000,0.000000,313.21

38,09:15-09:30,182.660000,0.960000,5.17,25.000000,0.000000,100.000000,0.000000,313.79

39,09:30-09:45,182.660000,0.960000,5.75,25.000000,0.000000,100.000000,0.000000,314.37

40,09:45-10:00,182.660000,0.960000,6.29,25.000000,0.000000,100.000000,0.000000,314.91

41,10:00-10:15,182.660000,0.960000,6.69,25.000000,0.000000,100.000000,0.000000,315.31

42,10:15-10:30,182.660000,0.960000,7.14,25.000000,0.000000,100.000000,0.000000,315.76

43,10:30-10:45,182.660000,0.960000,7.47,25.000000,0.000000,100.000000,0.000000,316.09

44,10:45-11:00,182.660000,0.960000,7.81,25.000000,0.000000,100.000000,0.000000,316.43

45,11:00-11:15,182.660000,0.960000,8.08,25.000000,0.000000,100.000000,0.000000,316.7

46,11:15-11:30,182.660000,0.960000,8.27,25.000000,0.000000,100.000000,0.000000,316.89

47,11:30-11:45,182.660000,0.960000,8.51,25.000000,0.000000,100.000000,0.000000,317.13

48,11:45-12:00,182.660000,0.960000,8.56,25.000000,0.000000,100.000000,0.000000,317.18

49,12:00-12:15,182.660000,0.960000,8.65,25.000000,0.000000,100.000000,0.000000,317.27

50,12:15-12:30,182.660000,0.960000,8.68,25.000000,0.000000,100.000000,0.000000,317.3

51,12:30-12:45,182.660000,0.960000,8.68,25.000000,0.000000,100.000000,0.000000,317.3

52,12:45-13:00,182.660000,0.960000,8.73,25.000000,0.000000,100.000000,0.000000,317.35

53,13:00-13:15,182.660000,0.960000,8.68,25.000000,0.000000,100.000000,0.000000,317.3

54,13:15-13:30,182.660000,0.960000,8.61,25.000000,0.000000,100.000000,0.000000,317.23

55,13:30-13:45,182.660000,0.960000,8.52,25.000000,0.000000,100.000000,0.000000,317.14

56,13:45-14:00,182.660000,0.960000,7.8,25.000000,0.000000,100.000000,0.000000,316.42

57,14:00-14:15,182.660000,0.960000,5.58,25.000000,0.000000,100.000000,0.000000,314.2

58,14:15-14:30,182.660000,0.960000,4.09,25.000000,0.000000,100.000000,0.000000,312.71

59,14:30-14:45,182.660000,0.960000,2.19,25.000000,0.000000,100.000000,0.000000,310.81

60,14:45-15:00,182.660000,0.960000,6.74,25.000000,0.000000,100.000000,0.000000,315.36

61,15:00-15:15,182.660000,0.770000,6.81,25.000000,0.000000,100.000000,0.000000,315.24

62,15:15-15:30,182.660000,0.770000,6.34,25.000000,0.000000,100.000000,0.000000,314.77

63,15:30-15:45,182.660000,0.770000,5.51,25.000000,0.000000,100.000000,0.000000,313.94

64,15:45-16:00,182.660000,0.770000,4.44,25.000000,0.000000,100.000000,0.000000,312.87

65,16:00-16:15,182.660000,0.530000,4.46,25.000000,0.000000,100.000000,0.000000,312.65

66,16:15-16:30,182.660000,0.530000,4.04,25.000000,0.000000,100.000000,0.000000,312.23

67,16:30-16:45,182.660000,0.530000,2.55,25.000000,0.000000,100.000000,0.000000,310.74

68,16:45-17:00,182.660000,0.530000,2.48,25.000000,0.000000,100.000000,0.000000,310.67

69,17:00-17:15,182.660000,0.530000,1.59,25.000000,0.000000,100.000000,0.000000,309.78

70,17:15-17:30,182.660000,0.530000,1.24,25.000000,0.000000,100.000000,0.000000,309.43

71,17:30-17:45,182.660000,0.530000,0.84,25.000000,0.000000,100.000000,0.000000,309.03

72,17:45-18:00,182.660000,0.530000,0.52,25.000000,0.000000,100.000000,0.000000,308.71

73,18:00-18:15,102.010000,0.530000,0.26,25.000000,57.760000,100.000000,25.000000,310.56

74,18:15-18:30,102.010000,0.530000,0.1,25.000000,57.760000,100.000000,25.000000,310.4

