Block,Time,KISHANGANGA,AURY_GF,ANTA_RF,ANTA_GF,KOTESHWR,DHAULIGNGA,BSIUL,TANAKPUR,NAPP,CHAMERA1,TANDA2,RAPPC,UNCHAHAR2,DADRI_GF,RAPPB,CHAMERA2,DADRI_CRF,PARBATI3,URI,ANTA_CRF,SEWA2,KOLDAM,ANTA_LF,SINGRAULI,NJPC,SINGRAULI_HYDRO,AURY_LF,DADRI_RF,RIHAND2,RAMPUR,AURY_RF,CHAMERA3,JHAJJAR,RIHAND1,UNCHAHAR1,SALAL,AURY_CRF,RIHAND3,UNCHAHAR4,BRBCL,UNCHAHAR3,FSTPP I & II,URI2,KHSTPP-I,TALA,TEHRI,DADRT2,DULHASTI,DADRI_LF,KHSTPP-II,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,5.573119,19.515051,0.000000,0.000000,25.396192,40.982749,0.000000,0.000000,0.000000,0.000000,0.000000,48.030624,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,23.591854,0.000000,119.559926,0.000000,17.698136,17.006495,20.041764,30.838389,43.718696,1.136957,0.000000,330.220305,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,5.573119,19.515051,0.000000,0.000000,25.396192,40.982749,0.000000,0.000000,0.000000,0.000000,0.000000,48.030624,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,68.528718,0.000000,119.559926,0.000000,17.097691,17.006495,20.041764,30.838389,43.718696,1.136957,0.000000,330.220305,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,11.765473,19.515051,0.000000,0.000000,25.396192,36.630511,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,68.528718,0.000000,119.559926,0.000000,14.764573,17.006495,20.041764,30.838389,43.718696,1.136957,0.000000,330.220305,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,11.765473,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,68.528718,0.000000,119.559926,0.000000,12.928512,17.006495,20.041764,30.838389,43.718696,1.136957,0.000000,330.220305,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,11.765473,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,68.528718,0.000000,119.559926,0.000000,11.976050,17.006495,14.951175,30.838389,43.718696,1.136957,0.000000,299.208358,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,11.765473,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,20.142311,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,23.591854,0.000000,119.559926,0.000000,11.382042,17.006495,14.951175,30.838389,43.718696,1.136957,0.000000,299.208358,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,4.953883,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,13.250973,17.006495,14.951175,10.664423,43.718696,1.136957,0.000000,308.876358,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,4.953883,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,15.506645,17.006495,14.951175,9.754045,43.718696,1.136957,0.000000,308.876358,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,0.000000,4.953883,19.515051,0.000000,0.000000,25.396192,35.407116,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,13.398452,17.006495,14.951175,9.754045,43.718696,1.136957,0.000000,288.573558,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,1.063480,4.953883,19.515051,0.000000,0.000000,25.396192,35.242760,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,13.020783,17.006495,14.951175,9.754045,43.718696,1.136957,0.000000,288.573558,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,6.304309,4.953883,19.515051,0.000000,0.000000,25.396192,22.833592,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,14.924146,17.006495,15.826516,9.103776,32.239396,1.136957,0.000000,322.411558,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,6.304309,4.953883,19.515051,0.000000,0.000000,25.396192,22.833592,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,8.109132,12.919348,0.000000,119.559926,0.000000,16.211067,17.006495,10.735927,9.103776,32.239396,1.136957,0.000000,322.411558,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,1.063480,11.765473,19.515051,0.000000,0.000000,25.396192,22.833592,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,5.208732,12.919348,0.000000,119.559926,0.000000,15.855052,17.006495,10.735927,9.103776,32.239396,1.136957,0.000000,288.573558,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,8.579383,1.277143,1.063480,11.765473,19.515051,0.000000,0.000000,25.396192,22.833592,0.000000,0.000000,0.000000,0.000000,0.000000,10.673472,0.000000,0.000000,0.000000,0.000000,100.063800,0.000000,0.573341,0.000000,0.000000,22.139720,0.000000,0.000000,0.000000,348.458890,88.945600,5.208732,12.919348,0.000000,119.559926,0.000000,18.402266,17.006495,10.735927,9.103776,32.239396,1.136957,0.000000,283.082714,15.931754,0.000000,95.075112,404.866836,0.00,0,0,0,0,0

