Block,Time,SEWA2,NJPC,AURY_CRF,CHAMERA3,SALAL,UNCHAHAR3,UNCHAHAR4,CHAMERA1,DADRI_GF,ANTA_RF,NAPP,DADRI_CRF,KOLDAM,KISHANGANGA,UNCHAHAR1,TANDA2,DADRT2,DADRI_LF,URI,ANTA_LF,ANTA_GF,PARBATI3,RIHAND3,UNCHAHAR2,DADRI_RF,DHAULIGNGA,SINGRAULI,ANTA_CRF,RIHAND1,DULHASTI,AURY_LF,RAPPC,AURY_GF,RAPPB,JHAJJAR,BSIUL,URI2,RIHAND2,TANAKPUR,SINGRAULI_HYDRO,TEHRI,CHAMERA2,KOTESHWR,RAMPUR,AURY_RF,KHSTPP-II,FSTPP I & II,KHSTPP-I,SASAN,TALA,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,533.369375,0.000000,25.502400,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,126.831056,15.067552,38.686169,403.066125,0.000000,17.750807,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,493.906875,0.000000,25.502400,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,122.488616,15.067552,38.523581,403.066125,0.000000,18.107403,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,469.844375,0.000000,3.187800,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,122.488616,15.067552,38.523581,403.066125,0.000000,18.295482,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,434.231875,0.000000,3.187800,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,122.488616,15.067552,38.523581,403.066125,0.000000,14.631605,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,405.356875,0.000000,3.187800,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,104.711145,15.067552,32.954941,403.066125,0.000000,15.389572,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,2.236850,19.337106,0.000000,0.000000,0.000000,0.000000,41.837565,0.000000,0.000000,0.000000,10.167369,0.000000,382.256875,0.000000,3.187800,0.000000,0.000000,0.000000,59.511375,30.624536,0.000000,0.000000,120.877969,0.000000,83.737500,0.000000,0.000000,51.910031,0.000000,0.000000,233.197772,0.000000,16.054962,113.695312,0.246592,0.626029,0.000000,0.000000,7.592200,0.000000,0.000000,104.711145,15.067552,32.954941,403.066125,0.000000,14.570190,0,0,0,0,0

