Block,Time,NR/16022024/16022024/DD20240216NR22816,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31032024/ ChanjuII,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/16022024/29022024/HP-45,NR/01022024/29022024/79,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/16022024/29022024/HP-38,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/16022024/29022024/HP-40,NR/01102023/31052040/LT-31,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/16022024/29022024/HP-36,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468
1,00:00-00:15,0.000000,23.100000,8.180000,139.580000,1.560000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.070000,231.020000,96.260000,0.000000,0.000000,6.740000,33.020000,25.990000,0.690000,0.000000,4.810000,38.140000,59.33,0,59.33,0,0,0,0,0,0,0,0,0,15,23.46,0,0,0,24.26,0,24.27,72.8,0,0,0

2,00:15-00:30,0.000000,23.100000,8.180000,110.700000,1.560000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.070000,192.520000,96.260000,0.000000,0.000000,6.740000,33.020000,25.990000,0.690000,0.000000,4.810000,38.140000,59.67,0,59.67,0,0,0,0,0,0,0,0,0,15.34,23.26,0,0,0,24.21,0,24.23,72.68,0,0,0

3,00:30-00:45,0.000000,23.100000,8.180000,110.700000,1.560000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.070000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,60,0,60,0,0,0,0,0,0,0,0,0,16,23.06,0,0,0,24.22,0,24.22,72.66,0,0,0

4,00:45-01:00,0.000000,23.100000,8.180000,110.700000,1.560000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.070000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,60.67,0,60.67,0,0,0,0,0,0,0,0,0,16.66,22.66,0,0,0,24.29,0,24.3,72.89,0,0,0

5,01:00-01:15,0.000000,23.100000,8.180000,110.700000,1.660000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.030000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,61.67,0,61.67,0,0,0,0,0,0,0,0,0,17,22.46,0,0,0,24.42,0,24.4,73.21,0,0,0

6,01:15-01:30,0.000000,23.100000,8.180000,110.700000,1.660000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.030000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,49.42,0,49.42,0,0,0,0,0,0,0,0,0,21.75,22.3,0,0,0,24.56,0,24.55,73.66,0,0,0

7,01:30-01:45,0.000000,23.100000,8.180000,110.700000,1.660000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.030000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,40.91,0,40.91,0,0,0,0,0,0,0,0,0,21.42,21.66,0,0,0,24.67,0,24.67,74,0,0,0

8,01:45-02:00,0.000000,23.100000,8.180000,110.700000,1.660000,0.000000,33.690000,18.290000,6.740000,11.550000,5.780000,16.310000,0.000000,30.800000,0.000000,1.340000,51.980000,128.010000,1.030000,148.890000,96.260000,0.000000,0.000000,6.740000,33.020000,24.090000,0.690000,0.000000,4.810000,38.140000,40.53,0,40.53,0,0,0,0,0,0,0,0,0,21.34,21.51,0,0,0,24.68,0,24.67,74.01,0,0,0

