Block,Time Block,KGSU1AND2,KGSU3AND4,JHAJJAR,ANTA_LF,URI,ANTA_GF,UNCHAHAR4,VALLURNTECL,URI2,ANTA_CRF,UNCHAHAR3,CHAMERA3,CHAMERA2,DADRT2,SINGRAULI_HYDRO,UNCHAHAR1,TALST2,SINGRAULI,TANAKPUR,TEHRIPSP,TALA,UNCHAHAR2,TEHRI,TelanganaSTPP,TANDA2,SIMHST1,RAPPD,RSTPSU1TO6,RAMPUR,RSTPSU7,SIMHST2,SALAL,SEWA2,RAPPC,RIHAND3,NTPL,PARBATI3,PARBATI2,RIHAND2,RAPPB,RIHAND1,SASAN,NLCEXP,NJPC,NLCIIST1,NAPP,BSIUL,BRBCL,CHAMERA1,MAPS,KUDGI,NNTPP,NLCIIST2,NLCTS2EXP,FSTPP I & II,KHSTPP-I,DHAULIGNGA,DULHASTI,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,KOTESHWR,KOLDAM,DADRI_RF,DADRI_LF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,531.62,0,50.26,0,1.46,0,35.92,0,25.91,32.58,45.23,654.98,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.78,0,168.72,0,23.26,18.77,16.92,40.46,0,0,0,0,0,19.27,43.7,40.75,51.71,2.23,93.62,0,0,41.32,8.27,19.98,0,0,0,0,24.48,20.48,0,0,0,0,0,0,0

2,00:15-00:30,0,0,403.62,0,50.26,0,1.46,0,35.92,0,25.91,32.58,45.23,654.98,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,13.99,40.46,0,0,0,0,0,19.34,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,428.23,0,50.26,0,1.46,0,31.42,0,25.91,32.58,45.23,654.98,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,13.09,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,489.11,0,36.02,0,1.46,0,31.42,0,25.91,32.58,45.23,654.98,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,12.72,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,447.98,0,36.02,0,1.46,0,35.92,0,25.91,32.58,45.23,650.97,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,12.69,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,447.98,0,36.02,0,1.46,0,35.92,0,25.91,32.58,45.23,650.97,0,20.38,0,108.27,12.53,0,11.07,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,11.23,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,447.98,0,36.02,0,1.46,0,26.93,0,25.91,32.58,45.23,654.44,0,20.38,0,108.27,12.53,0,15.75,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,11.55,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,447.98,0,36.02,0,1.46,0,26.93,0,25.91,32.58,45.23,654.44,0,20.38,0,108.27,12.53,0,15.75,41.86,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,12.81,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,390.39,0,50.26,0,1.46,0,35.92,0,23.35,32.58,45.23,603.86,0,18.62,0,108.27,12.53,0,15.75,38.19,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,12.14,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,332.8,0,50.26,0,1.46,0,35.92,0,22.42,32.58,45.23,584.66,0,17.61,0,108.27,12.53,0,15.75,36.25,72.52,0,5.33,0,23,0,5.44,0,0,81.42,17.6,62.95,125.58,0,35.68,12.15,120.23,0,94.37,401.94,0,168.72,0,23.26,18.77,13.1,40.46,0,0,0,0,0,18.68,43.7,40.75,51.71,2.23,93.62,0,0,41.11,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0

