Column1,Block,NR/2025/32532/A/94330,NR/2025/32535/A/94335,NR/2025/32652/A/94376,NR/2025/32532/A/94331,NR/2025/32534/A/94332,NR/2025/32653/A/94375,NR/2025/32535/A/94334,NR/2025/32599/A/94067,NR/2025/32534/A/94333,NR/2025/32959/C,GNARE/NR/2024/12/20/3668,NR/2025/32931/C,NR/2025/32556/A/94481,NR/2025/32912/C,NR/2025/32598/A/94185,NR/2025/31046/A/94416,NR/2025/31047/A/94417,NR/2025/32262/A/94210,NR/2025/31041/A/94413,NR/2025/32954/C,NR/2025/32946/C,NR/2025/32956/C,NR/2025/31042/A/94415,NR/2025/32917/C,NR/2025/32397/A/93899,NR/2025/32948/C,NR/2025/32958/C,NR/2025/32948/C/Alternate/1,NR/2025/32455/A/94409,NR/2025/32916/C,NR/2025/32559/A/94480,NR/2025/29440/A/93940,NR/2025/32610/A/94445,NR/2025/32375/A/94437,NR/2025/29992/A/94037,NR/2025/32702/A/93993,NR/2025/32945/C,NR/2025/31421/A/94440,NR/2025/32909/C,NR/2025/32554/A/94423,NR/2025/32004/A/94488,NR/2025/32857/A/94369,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,Total
,,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,MES_Delhi,SECI_Trader,APPCPL,APPCPL,BYPL,PTC,PowerPulse,PowerPulse,TPTCL,PowerPulse,APPCPL,NVVNL,APPCPL,PowerPulse,PowerPulse,IEXL,NVVNL,APPCPL,NVVNL,MANIKARAN,PowerPulse,APPCPL,ITCLH,APPCPL,NVVNL,BYPL,DIAPL,NVVNL,NVVNL,PowerPulse,PowerPulse,APPCPL,GMRETL,MANIKARAN,APPCPL,APPCPL,PUNJAB,MANIKARAN,NDMC,PowerPulse,NDMC,NDMC,NVVNL,MANIKARAN,DELHI,MANIKARAN,BAWANA_GAS,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,KERALA_State,GoHP_NJPC_STATE,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MP_State,KERALA_State,HIMACHAL_STATE,MP_State,NA,NA,NA,MSEB_State,NA,MSEB_State,GOA_State,GOA_State,DELHI_UT,MP_State,NA,MSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,
,,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TS1PL_BKN,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,AEML,JPL2,KSEB,GoHP_NJPC,APL_Raigarh_TPP,APL_Raigarh_TPP,TPC_MSEB,MAHAN_ENERGEN,RKM_POWER,JPNIGRIE_JNSTPP,JPL2,MAHAN_ENERGEN,APL_Raigarh_TPP,A_A_Energy_MH_Bio,Kameng,RKM_POWER,Kameng,MBMP,MAHAN_ENERGEN,RKM_POWER,ITCWIND,RKM_POWER,JP_BINA,KSEB,GBHHPL,JP_BINA,JPNIGRIE_JNSTPP,APL_Raipur_TPP,APL_Raipur_TPP,AEML,JGCPL_BKN2,AEML,GOA_Beneficiary,GOA_Beneficiary,BAWANA_GAS,BLAPOWER_MP,SKS_Raigarh,Vidarbha_Industry_MH,TRN_ENERGY,JIPL,JHABUA_IPP,MBMP,CHANJUII,DBPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BLKMH,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,DTCP,OIDLWM3_AEROCITY,BRPL,OIDLWM2_AEROCITY,MES_Delhi,TPDDL,BYPL,NDMC,BYPL,BRPL,TPDDL,TPDDL,BYPL,TPDDL,NDMC,TPDDL,NDMC,TPDDL,TPDDL,MES_Delhi,TPDDL,NDMC,TPDDL,BRPL,TPDDL,NDMC,ITCLH,NDMC,TPDDL,BYPL,DIAPL,TPDDL,TPDDL,BRPL,BRPL,BYPL,MAX_HPTL,BRPL,BRPL,BRPL,PUNJAB,BRPL,NDMC,BRPL,NDMC,NDMC,BRPL,BRPL,TPDDL,BRPL,HARYANA,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North East-East-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.86,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.55

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,81.58,95.98,0,53.99,95.98,0,0,0,0,0,8.64,0,0,191.96,47.99,0,26.17,0.86,26.17,47.99,44.15,12.48,0,47.99,0,163.17,105.58,0,20.71,19.2,15.21,26.94,20.4,14.54,81.58,14.54,28.86,20.4,33.59,0,40.79,26.94,1440.55

