Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNARE/NR/2024/12/20/3668,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3925,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3733,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/3514,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/8738,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459
1,00:00-00:15,0,0,0,0,49.67,0,49.66,18.33,20,0,0,32.01,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,100.1,19.22,82.11,60.44,70.07,0,60,0,0,0,0,20,0,14.41,24.98,0,48.04,134.03,24.98,24.98

2,00:15-00:30,0,0,0,0,45.67,0,45.66,17.67,19.67,0,0,32.21,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,100.1,19.22,82.11,60.44,70.07,0,58.99,0,0,0,0,19.67,0,14.41,24.98,0,48.04,115.3,24.98,24.98

3,00:30-00:45,0,0,0,0,37.33,0,37.33,17.33,21.67,0,0,32.41,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,100.1,19.22,82.11,60.44,70.07,0,64.99,0,0,0,0,21.67,0,14.41,24.98,0,48.04,96.08,24.98,24.98

4,00:45-01:00,0,0,0,0,36.67,0,36.67,16,21.17,0,0,32.81,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,100.1,19.22,82.11,60.44,70.07,0,63.49,0,0,0,0,21.17,0,14.41,24.98,0,48.04,74.71,24.98,24.98

5,01:00-01:15,0,0,0,0,38.33,0,38.33,15,20.83,0,0,33.01,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,52.84,19.22,64.37,59.41,70.07,0,62.51,0,0,0,0,20.83,0,14.41,24.98,0,48.04,74.71,24.98,24.98

6,01:15-01:30,0,0,0,0,37.33,0,37.33,14,20.5,0,0,33.61,0,0,0,0,0,0,1.74,48.04,0,0,1.22,1.57,20.18,0,26.9,28.82,52.84,19.22,64.37,59.41,70.07,0,61.5,0,0,0,0,20.5,0,14.41,24.98,0,48.04,74.71,24.98,24.98

