Time,Block,WR/2024/21710/A/6997,NR/2024/18691/A/7004,NER/2024/2023/A/6969,NR/2024/18736/C,WR/2024/21675/A/6973,WR/2024/21740/A/7000,NR/2024/18388/A/6701,SR/2024/12085/C,Total
,,MANIKARAN,MANIKARAN,APPCPL,NVVNL,APPCPL,MANIKARAN,ITCLH,HPXL,Total

,,DELHI,DELHI,DELHI,NA,DELHI,DELHI,ANDHRA PRADESH,DELHI,
,,BRPL,BRPL,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,ITCWIND,BYPL,
,,GOA,HIMACHAL PRADESH,MANIPUR,DELHI,GOA,MAHARASHTRA,DELHI,TAMIL NADU,
,,GOA_Beneficiary,HP,Manipur_Ben,MES (Delhi),GOA_Beneficiary,AEML,ITCLH,TANGEDCO,
,,North-West,North-North,North-East-North East,West-North,North-West,North-West,South-West-North,North-East-South,
1,00:00-00:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

2,00:15-00:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

3,00:30-00:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

4,00:45-01:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

5,01:00-01:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

6,01:15-01:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

7,01:30-01:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

8,01:45-02:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

9,02:00-02:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

10,02:15-02:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

11,02:30-02:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

12,02:45-03:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

13,03:00-03:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

14,03:15-03:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

15,03:30-03:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

16,03:45-04:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

17,04:00-04:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

18,04:15-04:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

19,04:30-04:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

20,04:45-05:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

21,05:00-05:15,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

22,05:15-05:30,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

23,05:30-05:45,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

24,05:45-06:00,0.000000,0.000000,25.000000,0,0.000000,50.000000,0.390000,150.00,225.39

25,06:00-06:15,0.000000,162.260000,25.000000,0,0.000000,50.000000,0.530000,0.00,237.79

26,06:15-06:30,0.000000,162.260000,25.000000,0,0.000000,50.000000,0.530000,0.00,237.79

27,06:30-06:45,0.000000,162.260000,25.000000,0,0.000000,50.000000,0.530000,0.00,237.79

28,06:45-07:00,0.000000,162.260000,25.000000,0,0.000000,50.000000,0.530000,0.00,237.79

29,07:00-07:15,0.000000,162.260000,25.000000,0.28,0.000000,50.000000,0.580000,0.00,238.12

30,07:15-07:30,0.000000,162.260000,25.000000,0.68,0.000000,50.000000,0.580000,0.00,238.52

31,07:30-07:45,0.000000,162.260000,25.000000,1.09,0.000000,50.000000,0.580000,0.00,238.93

32,07:45:08:00,0.000000,162.260000,25.000000,1.53,0.000000,50.000000,0.580000,0.00,239.37

33,08:00-08:15,0.000000,162.260000,25.000000,2.19,0.000000,50.000000,0.970000,0.00,240.42

34,08:15-08:30,0.000000,162.260000,25.000000,2.59,0.000000,50.000000,0.970000,0.00,240.82

35,08:30-08:45,0.000000,162.260000,25.000000,3.46,0.000000,50.000000,0.970000,0.00,241.69

36,08:45:09:00,0.000000,162.260000,25.000000,4.2,0.000000,50.000000,0.970000,0.00,242.43

37,09:00:09:15,0.000000,162.260000,25.000000,4.83,0.000000,50.000000,0.970000,0.00,243.06

38,09:15-09:30,0.000000,162.260000,25.000000,5.43,0.000000,50.000000,0.970000,0.00,243.66

39,09:30-09:45,0.000000,162.260000,25.000000,5.98,0.000000,50.000000,0.970000,0.00,244.21

