Time,Block,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21183/A/29460,NR/28072024/28072024/IEX_240727-01742,NR/2024/21158/A/29201,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21339/A/29122,NR/2024/19779/A/29345,NR/2024/21142/A/29125,NR/2024/21108/A/29422,NR/2024/21567/A/29434,NR/2024/21227/A/29426,NR/2024/21141/A/29126,NR/2024/21150/A/29179,NR/2024/20711/A/29521,NR/2024/21173/A/29190,NR/2024/21238/A/29463,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21152/A/29097,NR/2024/21159/A/29183,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/22008/C,NR/30092023/31122025/SH-07,NR/2024/22003/C,NR/2024/21075/A/29462,NR/2024/21682/A/29499,NR/2024/21144/A/29152,NR/2024/21023/A/29154,NR/2024/20966/A/29098,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21099/A/29127,NR/2024/21113/A/29435,NR/2024/21982/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21076/A/29459,NR/2024/21146/A/29180,NR/2024/21153/A/29177,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20574/A/29406,NR/2024/22006/C,NR/2024/21103/A/29427,NR/2024/21715/A/29012,NR/2024/20573/A/29407,NR/2024/21999/C,NR/2024/21156/A/29181,NR/2024/20688/A/29192,NR/2024/21210/A/29124,NR/2024/21089/A/29436,NR/2024/22005/C,NR/2024/21062/A/29402,NR/2024/21160/A/29182,NR/2024/21199/A/29153,NR/2024/21997/C,NR/2024/20931/A/29388,NR/2024/21096/A/29428,NR/2024/21148/A/29178,NR/2024/21998/C,NR/2024/21072/A/29437,NR/2024/21087/A/29191,NR/2024/21186/A/29446,Total
,,TPTCL,TPTCL,PTC,NDMC,DELHI,MANIKARAN,IEXL,MSSH,INSTINCT,TPTCL,ITCLH,TPTCL,APPCPL,NVVNL,APPCPL,TPTCL,BAL234,TPDDL,GMRETL,MANIKARAN,APPCPL,IEXL,MHIL,INSTINCT,HPXL,BAWANA_GAS,IEXL,MANIKARAN,TPDDL,DTCP,INSTINCT,IEXL,NDMC,TPTCL,NVVNL,DIAPL,TPDDL,MEJA,MANIKARAN,BAL184,JHPL-DL,PUNJAB,AEL,PTC,PXIL,APPCPL,DIAPL,PTC,NVVNL,UHL,GMRETL,TPTCL,NVVNL,IEXL,PTC,BMDRC,INSTINCT,NVVNL,AEL,APPCPL,BAL224,NVVNL,NVVNL,GMRETL,NVVNL,Total

,,NA,NA,NA,NA,MAHARASHTRA,MP,KARNATAKA,HIMACHAL PRADESH,MAHARASHTRA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,MANIPUR,NA,NAGALAND,MAHARASHTRA,HIMACHAL PRADESH,NA,ODISHA,TAMIL NADU,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,NA,GOA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,UTTAR PRADESH,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,NA,NA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,KERALA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MP,
,,MPL,JITPL,SEILP2,SKS Raigarh,MSEB_Beneficiary,BLAPOWER_MP,KPTCL,SHPPBPL,JPL_DHULE,JITPL,ITCWIND,HP-GOVT,Manipur_Ben,TRN_ENERGY,Nagaland_Ben,TPC MSEB,SHPPBPL,JPL-2,GMRKEL (STU),MMS STEEL TN,Arunachal_Ben,NHCPL_HP,SHPPBPL,JPL,GBHHPL,BAWANA_GAS,RKM_POWER,GOA_Beneficiary,JHAJJAR,SHPPBPL,JPL,A_A_Energy_MH_Bio,JITPL,ACBIL,JPL-2,GBHHPL,CHANJUII,MEJA,AEML,SHPPBPL,SHPPBPL,BAWANA_GAS,APL_Raigarh TPP,HP,LAPL-UP,UTTARAKHAND,GBHHPL,HP,SORANG_HEP,SHPPBPL,RUVNL,SIMHAPURI,RKM_POWER,MCCPL,SEILP2,SHPPBPL,JPL_DHULE,SOLAPUR_SOLAR,APL_Raigarh TPP,KSEB,SHPPBPL,KAMENG,RKM_POWER,GBHHPL,JP BINA,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,MSSH,BRPL,BRPL,ITCLH,BRPL,BRPL,NDMC,BYPL,BYPL,BAL234,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),MHIL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,DTCP,BRPL,MES (Delhi),NDMC,BRPL,NDMC,DIAPL,TPDDL,DELHI,BYPL,BAL184,JHPL-DL,PUNJAB,BRPL,BYPL,BRPL,BYPL,DIAPL,BRPL,TPDDL,UHL,BYPL,BRPL,NDMC,BRPL,BRPL,BMDRC,BRPL,MES (Delhi),BRPL,BYPL,BAL224,TPDDL,NDMC,BRPL,TPDDL,
,,East-North,East-North,South-West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,East-North,South-West-North,North-North,North East-East-North,West-North,North East-East-North,West-North,North-North,West-North,East-North,South-West-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,East-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,West-North,South-East-North,North-North,West-North,West-North,West-North,South-West-North,North-North,North East-East-North,West-North,North-North,West-North,
1,00:00-00:15,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,48.230000,0.680000,72.340000,0.000000,0.630000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,38.580000,32.000000,192.920000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,19.770000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,24.120000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,2082.32

2,00:15-00:30,0.000000,96.460000,24.120000,8.770000,0.000000,21.220000,48.230000,0.680000,72.340000,0.000000,0.630000,48.230000,24.040000,8.770000,12.200000,47.710000,0.880000,48.230000,24.120000,2.890000,38.580000,1.930000,0.880000,96.460000,38.580000,32.000000,192.920000,11.720000,241.150000,0.480000,0.000000,4.820000,10.410000,24.120000,26.300000,1.930000,12.980000,0.000000,90.670000,0.360000,1.590000,32.000000,48.230000,12.060000,19.770000,84.090000,6.750000,36.170000,27.970000,0.610000,66.740000,48.230000,26.300000,24.120000,0.000000,0.970000,0.000000,0,0.000000,67.520000,0.520000,164.220000,26.300000,24.120000,48.230000,2082.32
