Time,Block,NR/2023/18179/C,WR/2023/20577/A/2114,NR/2023/18180/C,NR/2023/18074/A/2028,WR/2023/20256/A/2117,NR/2023/17525/A,WR/2023/19446/A,NER/2023/1770/C,NR/2023/17270/A,NR/2023/18062/A/2004,NR/2023/18105/A/2003,Total
,,TPDDL,APPCPL,NVVNL,ITCLH,MANIKARAN,APPCPL,MANIKARAN,PXIL,GMRETL,IEXL,IEXL,Total

,,HIMACHAL PRADESH,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,
,,CHANJUII,BRPL,SOLAPUR_SOLAR,ITCWIND,BRPL,BYPL,BYPL,BYPL,BYPL,SNJSUGARLTDAP,BSHP,
,,DELHI,GOA,DELHI,DELHI,GOA,HIMACHAL PRADESH,MAHARASHTRA,ARUNACHAL PRADESH,RAJASTHAN,DELHI,DELHI,
,,TPDDL,GOA_Beneficiary,MES (Delhi),ITCLH,GOA_Beneficiary,HP,AEML,Arunachal_Ben,RUVNL,MES (Delhi),MES (Delhi),
,,North-North,North-West,West-North,South-West-North,North-West,North-North,North-West,North-East-North East,North-North,South-East-North,North-North,
1,00:00-00:15,1.840000,0.000000,0,0.430000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.14

2,00:15-00:30,1.840000,0.000000,0,0.430000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.14

3,00:30-00:45,1.840000,0.000000,0,0.430000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.14

4,00:45-01:00,1.840000,0.000000,0,0.430000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.14

5,01:00-01:15,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

6,01:15-01:30,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

7,01:30-01:45,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

8,01:45-02:00,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

9,02:00-02:15,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

10,02:15-02:30,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

11,02:30-02:45,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

12,02:45-03:00,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

13,03:00-03:15,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

14,03:15-03:30,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

15,03:30-03:45,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

16,03:45-04:00,1.840000,0.000000,0,0.340000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.05

17,04:00-04:15,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

18,04:15-04:30,1.840000,0.000000,0,0.380000,0.000000,51.110000,75.000000,40.000000,0.000000,4.800000,0.960000,174.09

