Time,Block,NR/2024/18618/C,NR/2024/18388/A/4746,WR/2024/21351/A/4892,NER/2024/1934/A/4888,NR/2024/18436/A/4724,NR/2024/18445/A/4906,NER/2024/1922/A/4889,WR/2024/21355/A/4904,Total
,,NVVNL,ITCLH,APPCPL,APPCPL,IEXL,MANIKARAN,APPCPL,MANIKARAN,Total

,,NA,ANDHRA PRADESH,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,DELHI,
,,SOLAPUR_SOLAR,ITCWIND,BRPL,BYPL,A_A_Energy_MH_Bio,BRPL,BRPL,BRPL,
,,DELHI,DELHI,GOA,NAGALAND,DELHI,HIMACHAL PRADESH,MANIPUR,GOA,
,,MES (Delhi),ITCLH,GOA_Beneficiary,Nagaland_Ben,MES (Delhi),HP,Manipur_Ben,GOA_Beneficiary,
,,West-North,South-West-North,North-West,North-East-North East,West-East-North,North-North,North-East-North East,North-West,
1,00:00-00:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

2,00:15-00:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

3,00:30-00:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

4,00:45-01:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

5,01:00-01:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

6,01:15-01:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

7,01:30-01:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

8,01:45-02:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

9,02:00-02:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

10,02:15-02:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

11,02:30-02:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

12,02:45-03:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

13,03:00-03:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

14,03:15-03:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

15,03:30-03:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

16,03:45-04:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

17,04:00-04:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

18,04:15-04:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

19,04:30-04:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

20,04:45-05:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

21,05:00-05:15,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

22,05:15-05:30,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

23,05:30-05:45,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

24,05:45-06:00,0,0.390000,0.000000,20.000000,7.700000,0.000000,25.000000,0.000000,53.09

25,06:00-06:15,0,0.430000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.11

26,06:15-06:30,0,0.430000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.11

27,06:30-06:45,0,0.430000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.11

28,06:45-07:00,0,0.430000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.11

29,07:00-07:15,0,0.480000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.16

30,07:15-07:30,0.23,0.480000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.39

31,07:30-07:45,0.55,0.480000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,186.71

32,07:45:08:00,1.27,0.480000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,187.43

33,08:00-08:15,0.9,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,187.45

34,08:15-08:30,2,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,188.55

35,08:30-08:45,1.84,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,188.39

36,08:45:09:00,3.18,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,189.73

37,09:00:09:15,3.03,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,189.58

38,09:15-09:30,2.75,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,189.3

39,09:30-09:45,4.86,0.870000,0.000000,20.000000,7.700000,132.980000,25.000000,0.000000,191.41

