Block,Time Block,SALAL,SIMHST1,RSTPSU7,SEWA2,SASAN,KGSU1AND2,KGSU3AND4,KOLDAM,KHSTPP-II,KKNP,KKNPPU2,KHSTPP-I,KISHANGANGA,NTPL,NNTPP,RAPPD,PARBATI3,RIHAND3,PARBATI2,RAPPC,RIHAND2,RIHAND1,RAMPUR,RAPPB,RSTPSU1TO6,JHAJJAR,BSIUL,BRBCL,CHAMERA1,CHAMERA2,FSTPP I & II,DHAULIGNGA,DULHASTI,UNCHAHAR1,TelanganaSTPP,TANDA2,TEHRI,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,DADRI_GF,DADRI_RF,DADRI_LF,DADRT2,NLCIIST2,NLCTS2EXP,TALST2,TANAKPUR,TALA,KUDGI,NJPC,MAPS,NAPP,NLCEXP,NLCIIST1,CHAMERA3,KOTESHWR,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.11,0,0,18.17,327.76,0,0,2.31,140.54,0,0,42.28,8.3,0,0,28.84,22.13,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,14.42,26.97,46.93,20,10.53,57.21,20.81,0,5.31,34.72,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,47.77,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

2,00:15-00:30,39.11,0,0,18.17,327.76,0,0,2.31,140.54,0,0,42.28,8.3,0,0,28.84,22.13,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,14.42,26.97,46.93,20,10.53,57.21,20.81,0,5.31,34.72,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,47.77,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

3,00:30-00:45,39.11,0,0,18.17,327.76,0,0,2.31,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,13.08,26.97,46.93,20,10.53,57.21,20.81,0,5.31,34.72,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,47.77,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

4,00:45-01:00,40.22,0,0,18.17,327.76,0,0,0,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,14.16,26.97,46.93,20,10.53,57.21,20.81,0,5.31,34.72,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

5,01:00-01:15,76.32,0,0,18.17,327.76,0,0,0,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,14.11,26.97,31.28,20,10.53,57.21,20.81,0,5.31,33.34,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

6,01:15-01:30,76.32,0,0,18.17,327.76,0,0,0,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,13.4,26.97,31.28,20,10.53,57.21,20.81,0,5.31,33.34,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

7,01:30-01:45,76.32,0,0,18.17,327.76,0,0,0,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,11.58,26.97,31.28,20,10.53,57.21,20.81,0,5.31,33.34,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

8,01:45-02:00,76.32,0,0,18.17,327.76,0,0,0,140.54,0,0,42.28,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.38,18.81,10.36,26.97,31.28,20,10.53,57.21,20.81,0,5.31,22.22,0,0,2.13,0,0,37.08,26.61,0,0,0,42.78,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

9,02:00-02:15,76.32,0,0,18.17,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,9.62,26.97,31.28,20,10.53,57.21,20.81,0,5.31,22.22,0,0,2.13,0,0,37.08,26.61,0,0,0,42.32,0,50.34,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

10,02:15-02:30,76.32,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,10.3,26.97,31.28,20,10.53,57.21,20.81,0,5.31,11.11,0,0,2.13,0,0,37.08,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,662.08,0,0,0,0,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

11,02:30-02:45,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,9.62,26.97,31.28,20,10.53,57.21,20.81,0,5.31,11.11,0,0,2.13,0,0,37.08,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,662.08,0,0,0,6.03,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

12,02:45-03:00,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,10.66,26.97,31.28,20,10.53,57.21,20.81,0,5.31,11.11,0,0,2.13,0,0,37.08,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,662.08,0,0,0,6.03,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

13,03:00-03:15,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,13.03,26.97,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,662.08,0,0,0,6.03,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

14,03:15-03:30,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,13.79,26.97,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,662.08,0,0,0,6.03,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

15,03:30-03:45,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,18.81,14.42,26.97,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,601.83,0,0,0,6.03,0,0,72.15,0,24.78,0,0,22.43,10.03,0.96,0,144.55,0,0,0,0,0

16,03:45-04:00,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,12.54,14.42,26.97,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,553.76,0,0,0,6.03,0,0,72.15,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

17,04:00-04:15,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,2.87,0,0,431.4,12.54,14.42,26.97,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,505.68,0,0,0,0,0,0,72.15,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

18,04:15-04:30,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,1.87,0,0,421.78,12.54,14.42,13.45,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,457.61,0,0,0,0,0,0,47.38,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

19,04:30-04:45,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,1.87,0,0,421.78,12.54,14.42,13.45,31.28,20,10.53,57.21,20.81,0,5.31,0,0,0,2.13,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,403.85,0,0,0,0,0,0,47.38,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

20,04:45-05:00,51.39,0,0,12.12,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,1.87,0,0,421.78,12.54,14.42,13.45,15.64,20,10.53,57.21,20.81,0,5.31,0,0,0,1.63,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,403.85,0,0,0,0,0,0,47.38,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

21,05:00-05:15,51.39,0,0,6.06,327.76,0,0,0,142.59,0,0,43.24,8.3,0,0,28.84,18.88,125.75,18.06,66.41,119.78,44.71,1.87,0,0,421.78,12.54,14.42,13.45,15.64,20,10.53,57.21,20.81,0,5.31,11.11,0,0,1.63,0,0,33.98,26.61,0,0,0,42.32,0,47.77,0,0,0,0,0,403.85,0,0,0,0,0,0,47.38,0,24.78,0,0,11.22,10.03,0.96,0,144.55,0,0,0,0,0

