Time,Block,NR/2023/18096/C,NER/2023/1709/C,WR/2023/19446/A,NR/2023/17270/A,NR/2023/18062/A/1278,NR/2023/18074/A/1342,WR/2023/20256/A/1351,NR/2023/18094/C,WR/2023/20577/A/1346,NR/2023/17525/A,Total
,,SJVNL,IEXL,MANIKARAN,GMRETL,IEXL,ITCLH,MANIKARAN,TPDDL,APPCPL,APPCPL,Total

,,NA,DELHI,DELHI,DELHI,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,RSRPL_BKN,BYPL,BYPL,BYPL,SNJSUGARLTDAP,ITCWIND,BRPL,CHANJUII,BRPL,BYPL,
,,DELHI,ARUNACHAL PRADESH,MAHARASHTRA,RAJASTHAN,DELHI,DELHI,GOA,DELHI,GOA,HIMACHAL PRADESH,
,,NDMC,Arunachal_Ben,AEML,RUVNL,MES (Delhi),ITCLH,GOA_Beneficiary,TPDDL,GOA_Beneficiary,HP,
,,North-North,North-East-North East,North-West,North-North,South-East-North,South-West-North,North-West,North-North,North-West,North-North,
1,00:00-00:15,0,25.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,133.23

2,00:15-00:30,0,25.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,133.23

3,00:30-00:45,0,25.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,133.23

4,00:45-01:00,0,25.000000,75.000000,0.000000,4.820000,0.430000,0.000000,2.490000,0.000000,25.490000,133.23

5,01:00-01:15,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,133.19

6,01:15-01:30,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,133.19

7,01:30-01:45,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,133.19

8,01:45-02:00,0,25.000000,75.000000,0.000000,4.820000,0.390000,0.000000,2.490000,0.000000,25.490000,133.19

9,02:00-02:15,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.490000,0.000000,25.490000,133.14

10,02:15-02:30,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.490000,0.000000,25.490000,133.14

11,02:30-02:45,0,25.000000,75.000000,0.000000,4.820000,0.340000,0.000000,2.490000,0.000000,25.490000,133.14

