Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01122023/15122023/HP-15,NR/30092023/26122029/SH-06,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/08032047/L_NR_2021_14,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,WR/01102023/01102023/L_NR_2022_09,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25072045/L_NR_2021_15,NR/01122023/07122023/HP-18,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,33.650000,0.000000,52.870000,0,83.42,0,0,57.250000,30.760000,100,0,148.690000,96.130000,0,1.240000,1.450000,83.42,48.06,0.000000,1.890000,71.520000,33.34,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,32.18,33.33,0

2,00:15-00:30,33.650000,0.000000,52.870000,0,83.34,0,0,57.250000,30.760000,100,0,148.690000,96.130000,0,1.240000,1.450000,83.34,48.06,0.000000,1.890000,71.520000,33.34,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,31.84,33.33,0

3,00:30-00:45,33.650000,0.000000,52.870000,0,83.17,0,0,57.250000,25.950000,100,0,148.690000,96.130000,0,1.240000,1.450000,83.17,48.06,0.000000,1.890000,71.520000,33.34,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,31.62,33.33,0

4,00:45-01:00,33.650000,0.000000,52.870000,0,83.17,0,0,57.250000,25.950000,100,0,148.690000,96.130000,0,1.240000,1.450000,83.17,48.06,0.000000,1.890000,71.520000,33.34,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,31.34,33.33,0

5,01:00-01:15,33.650000,0.000000,52.870000,0,83.17,0,0,57.250000,25.950000,99.81,0,148.690000,96.130000,0,1.240000,1.450000,83.17,48.06,0.000000,1.890000,71.520000,33.27,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,31.01,33.27,0

6,01:15-01:30,33.650000,0.000000,52.870000,0,82.95,0,0,57.250000,25.950000,99.02,0,148.690000,96.130000,0,1.240000,1.450000,82.95,48.06,0.000000,1.890000,71.520000,32.99,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,30.01,33.01,0

7,01:30-01:45,33.650000,0.000000,52.870000,0,82.66,0,0,57.250000,25.950000,98.69,0,148.690000,96.130000,0,1.240000,1.450000,82.66,48.06,0.000000,1.890000,71.520000,32.88,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,29.62,32.9,0

8,01:45-02:00,33.650000,0.000000,52.870000,0,81.67,0,0,57.250000,25.950000,96.01,0,148.690000,96.130000,0,1.240000,1.450000,81.67,48.06,0.000000,1.890000,71.520000,32,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,28.34,32.01,0

9,02:00-02:15,33.650000,0.000000,52.870000,0,78.34,0,0,57.250000,25.950000,87.81,0,148.690000,96.130000,0,1.240000,1.370000,78.34,48.06,0.000000,1.890000,71.520000,29.27,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,20.84,29.27,0

10,02:15-02:30,33.650000,0.000000,52.870000,0,76.67,0,0,57.250000,25.950000,86.31,0,148.690000,96.130000,0,1.240000,1.370000,76.67,48.06,0.000000,1.890000,71.520000,28.77,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,20.18,28.77,0

11,02:30-02:45,33.650000,0.000000,52.870000,0,75.01,0,0,57.250000,25.950000,70.08,0,148.690000,96.130000,0,1.320000,1.370000,75.01,48.06,0.000000,1.890000,71.520000,23.36,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,14.84,23.36,0

12,02:45-03:00,33.650000,0.000000,52.870000,0,72.67,0,0,57.250000,25.950000,68.04,0,148.690000,96.130000,0,1.320000,1.370000,72.67,48.06,0.000000,1.890000,71.520000,22.68,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,14.01,22.68,0

13,03:00-03:15,33.650000,0.000000,52.870000,0,60.01,0,0,57.250000,25.950000,49.35,0,148.690000,96.130000,0,1.320000,1.370000,60.01,48.06,0.000000,1.890000,71.520000,16.44,0,0,0.000000,7.01,25.950000,0.000000,0,24.030000,0,0,119.200000,0,122.930000,11.66,16.45,0

