Block,Time,RIHAND2,AURY_LF,RAMPUR,SINGRAULI_HYDRO,RIHAND1,DADRI_CRF,KOTESHWR,RAPPC,UNCHAHAR3,DHAULIGNGA,AURY_CRF,CHAMERA2,BSIUL,CHAMERA1,JHAJJAR,SINGRAULI,KOLDAM,RAPPB,KISHANGANGA,UNCHAHAR2,DULHASTI,ANTA_RF,URI,RIHAND3,PARBATI3,AURY_GF,ANTA_LF,TEHRI,NJPC,SEWA2,UNCHAHAR4,SALAL,DADRI_GF,DADRI_LF,ANTA_GF,DADRT2,CHAMERA3,AURY_RF,ANTA_CRF,URI2,UNCHAHAR1,DADRI_RF,NAPP,TANDA2,TANAKPUR,TALA,FSTPP I & II,KHSTPP-I,KHSTPP-II,BRBCL,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,40.892067,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,47.128435,119.980389,0.000000,0.000000,0.000000,44.008272,136.163107,0.000000,0.000000,83.425558,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,8.557164,19.149808,39.457064,95.409468,19.403955,404.937225,74.71,0,0,0,0,0

2,00:15-00:30,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,40.892067,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,47.128435,119.980389,0.000000,0.000000,0.000000,44.008272,136.163107,0.000000,0.000000,83.425558,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,8.557164,19.149808,39.457064,95.409468,19.403955,404.937225,74.71,0,0,0,0,0

3,00:30-00:45,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,40.892067,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,44.008272,136.163107,0.000000,0.000000,83.425558,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,8.557164,19.149808,39.457064,95.409468,18.961563,404.937225,74.71,0,0,0,0,0

4,00:45-01:00,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,40.892067,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,29.338848,136.163107,0.000000,0.000000,83.425558,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,8.557164,19.149808,39.457064,95.409468,18.586965,404.937225,74.71,0,0,0,0,0

5,01:00-01:15,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,27.209259,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,29.338848,147.004704,0.000000,0.000000,78.916068,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,7.130970,19.149808,39.457064,95.409468,17.365517,402.754275,74.71,0,0,0,0,0

6,01:15-01:30,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,27.209259,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,16.197489,147.004704,0.000000,0.000000,78.916068,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,24.014080,18.835463,0.000000,37.923954,0.000000,12.925392,7.130970,19.149808,39.457064,95.409468,16.976393,402.754275,74.71,0,0,0,0,0

7,01:30-01:45,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,27.209259,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,16.197489,147.004704,0.000000,0.000000,78.916068,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,9.788348,18.835463,0.000000,37.923954,0.000000,12.303979,7.130970,19.149808,39.457064,95.409468,16.359565,402.754275,74.71,0,0,0,0,0

8,01:45-02:00,114.604875,0.000000,0.000000,1.057916,89.258400,0.000000,8.609555,24.746794,25.603675,26.529828,0.000000,38.332718,6.358497,27.209259,633.686227,135.158562,0.000000,0.000000,0.000000,41.126875,47.963347,0.000000,8.568806,119.980389,0.000000,0.000000,0.000000,16.197489,147.004704,0.000000,0.000000,78.916068,0.000000,0.000000,0.000000,666.313914,28.196736,0.000000,0.000000,9.788348,18.835463,0.000000,37.923954,0.000000,12.303979,7.130970,19.149808,41.223798,95.409468,16.203492,402.754275,74.71,0,0,0,0,0

