Time,Block,NR/2023/10487/A,NR/2023/12163/C,NR/2023/11342/A,NR/2023/12176/C,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11956/F,NR/2023/12173/C,NR/2023/11862/F,NR/2023/11476/A,NR/2023/11941/F,NR/2023/10613/A,NR/2023/11960/F,NR/2023/11959/F,NR/2023/11952/F,NR/2023/12158/D,NR/2023/10236/A,NR/2023/11958/F,NR/2023/11961/F,NR/2023/11962/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/10229/A,NR/2023/10344/A,NR/2023/12174/C,NR/2023/12157/D,NR/2023/12153/D,NR/2023/12155/D,Total
,,TPTCL,GBHHPL,IEXL,TPDDL,SHPPBPL,SHPPBPL,SHPPBPL,PXIL,APPCPL,IEXL,NVVNL,APPCPL,SHPPBPL,SHPPBPL,KEIPL,NVVNL,NVVNL,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,HPXL,NVVNL,BYPL,PXIL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,NA,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,MANIPUR,NA,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,MEGHALAYA,DELHI,NA,NA,NA,
,,APNRL,GBHHPL,NAVABHARAT,CHANJUII,SHPPBPL,SHPPBPL,SHPPBPL,BYPL,Manipur_Ben,JSPL_DCPP,SKS Raigarh,Nagaland_Ben,SHPPBPL,SHPPBPL,Meghalaya_Ben,KAMENG,ILFS,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,B_S_ISPAT_MH,JPNIGRIE_JNSTPP,Meghalaya_Ben,BYPL,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,
,,TPDDL,DIAPL,BRPL,TPDDL,UHL,BAL184,BAL224,ASIL_UP,STT,BRPL,NDMC,BYPL,MAX-HPTL,BMDRC,BYPL,TPDDL,BRPL,AISHER,JHPL-DL,MHIL,BAL234,NDMC,BRPL,BYPL,AMBASTL,BRPL,MES (Delhi),BYPL,
,,East-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,South-West-North,North-North,North-North,North-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

2,00:15-00:30,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

3,00:30-00:45,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

4,00:45-01:00,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

5,01:00-01:15,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

6,01:15-01:30,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

7,01:30-01:45,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

8,01:45-02:00,41.560000,25.480000,115.980000,15.040000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,709.96

9,02:00-02:15,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,749.87

10,02:15-02:30,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,749.87

11,02:30-02:45,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,749.87

12,02:45-03:00,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,749.87

13,03:00-03:15,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.4

14,03:15-03:30,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.4

15,03:30-03:45,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.4

16,03:45-04:00,41.560000,25.480000,115.980000,14.950000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.4

17,04:00-04:15,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.31

18,04:15-04:30,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.31

19,04:30-04:45,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.31

20,04:45-05:00,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,62.820000,12.660000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,713.31

21,05:00-05:15,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.65

22,05:15-05:30,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.65

23,05:30-05:45,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.65

24,05:45-06:00,41.560000,25.480000,115.980000,14.860000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.65

25,06:00-06:15,41.560000,25.480000,115.980000,14.760000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.55

26,06:15-06:30,41.560000,25.480000,115.980000,14.760000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.55

27,06:30-06:45,41.560000,25.480000,115.980000,14.760000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,660.55

28,06:45-07:00,41.560000,25.480000,115.980000,14.760000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,3.5,0,1.5,665.55

29,07:00-07:15,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,17.5,0,7.5,685.46

30,07:15-07:30,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,30.8,0.1,13.2,704.56

31,07:30-07:45,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,40.6,0.42,17.4,718.88

32,07:45:08:00,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,62.820000,0.000000,0.640000,0.640000,0.000000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,57.4,0.86,24.6,743.32

33,08:00-08:15,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,62.820000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,70,1.17,30,761.63

34,08:15-08:30,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,62.820000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,84,1.64,36,782.1

35,08:30-08:45,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,98,2.51,42,740.15

36,08:45:09:00,41.560000,25.480000,115.980000,14.670000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,115.5,2.99,49.5,765.63

37,09:00:09:15,41.560000,27.520000,115.980000,14.570000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,127.4,3.76,54.6,785.34

38,09:15-09:30,41.560000,27.520000,115.980000,14.570000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,140,4.53,60,804.11

39,09:30-09:45,41.560000,27.520000,115.980000,14.570000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,155.4,4.73,66.6,826.31

40,09:45-10:00,41.560000,27.520000,115.980000,14.570000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,161,5.21,69,834.79

41,10:00-10:15,41.560000,27.520000,115.980000,14.490000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,168,5.59,72,845.09

42,10:15-10:30,41.560000,27.520000,115.980000,14.490000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,175,5.69,75,855.19

43,10:30-10:45,41.560000,27.520000,115.980000,14.490000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,177.1,5.69,75.9,858.19

44,10:45-11:00,41.560000,27.520000,115.980000,14.490000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,178.5,6.17,76.5,860.67

45,11:00-11:15,41.560000,27.520000,115.980000,14.390000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,178.5,6.94,76.5,861.34

46,11:15-11:30,41.560000,27.520000,115.980000,14.390000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,182,7.14,78,866.54

47,11:30-11:45,41.560000,27.520000,115.980000,14.390000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,182,7.81,78,867.21

48,11:45-12:00,41.560000,27.520000,115.980000,14.390000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,182,8.01,78,867.41

49,12:00-12:15,41.560000,27.520000,115.980000,14.300000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,182,8.1,78,867.41

50,12:15-12:30,41.560000,27.520000,115.980000,14.300000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.2,78.9,870.51

51,12:30-12:45,41.560000,27.520000,115.980000,14.300000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.29,78.9,870.6

52,12:45-13:00,41.560000,27.520000,115.980000,14.300000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.58,78.9,870.89

53,13:00-13:15,41.560000,27.520000,115.980000,14.210000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,9.02,78.9,871.24

54,13:15-13:30,41.560000,27.520000,115.980000,14.210000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.68,78.9,870.9

55,13:30-13:45,41.560000,27.520000,115.980000,14.210000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.79,78.9,871.01

56,13:45-14:00,41.560000,27.520000,115.980000,14.210000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,184.1,8.68,78.9,870.9

57,14:00-14:15,41.560000,27.520000,115.980000,14.120000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,178.5,8.11,76.5,862.24

58,14:15-14:30,41.560000,27.520000,115.980000,14.120000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,176.4,8.05,75.6,859.18

59,14:30-14:45,41.560000,27.520000,115.980000,14.120000,0.420000,0.360000,0.350000,0.000000,2.900000,48.320000,0.000000,0.000000,0.660000,0.660000,0.000000,67.080000,214.830000,0.560000,0.690000,0.420000,0.710000,6.770000,42.970000,12.250000,0.000000,175,8.1,75,857.23

